bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
315.23,0,0,3.33,62,1761815949512.683,edge2,1
514.02,0,1,3.5,59,1761815950513.681,edge2,1
533.69,0,1,3.4,60,1761815951512.304,edge2,1
670.3,0,3,3.4,60,1761815952512.672,edge2,1
654.03,0,0,3.4,61,1761815953512.061,edge2,1
554.48,0,0,3.5,60,1761815954512.341,edge2,1
566.84,0,1,3.5,60,1761815955512.227,edge2,1
512.75,0,1,3.29,60,1761815956513.484,edge2,1
16279.2,0,2,3.29,59,1761815957512.045,edge2,1
8453.73,0,2,3.29,60,1761815958512.161,edge2,1
792.26,0,0,3.38,60,1761815959512.46,edge2,1
796.38,0,0,3.38,60,1761815960512.033,edge2,1
3520.7,0,2,3.38,60,1761815961512.186,edge2,1
11652.17,0,3,3.56,60,1761815962512.065,edge2,1
4279.68,0,1,3.56,60,1761815963512.128,edge2,1
4521.6,0,1,3.6,60,1761815964512.072,edge2,1
4279.03,0,0,3.6,60,1761815965512.082,edge2,1
4679.3,0,0,3.6,60,1761815966512.185,edge2,1
4159.85,0,0,3.73,60,1761815967513.038,edge2,1
5113.54,0,0,3.73,60,1761815968512.028,edge2,1
5127.74,0,0,3.73,60,1761815969512.074,edge2,1
6003.61,0,0,3.92,60,1761815970512.361,edge2,1
7120.94,0,0,3.92,60,1761815971512.244,edge2,1
6857.21,0,0,3.77,60,1761815972512.249,edge2,1
6317.23,0,0,3.77,60,1761815973512.404,edge2,1
6076.88,0,1,3.77,60,1761815974512.161,edge2,1
5666.32,0,0,3.71,60,1761815975513.215,edge2,1
5726.91,0,0,3.71,60,1761815976512.05,edge2,1
5756.36,0,0,3.71,60,1761815977512.115,edge2,1
5681.74,0,0,3.6,60,1761815978513.326,edge2,1
5568.69,0,1,3.6,60,1761815979512.248,edge2,1
5877.27,0,0,4,60,1761815980514.409,edge2,1
5555.89,0,0,4,60,1761815981512.168,edge2,1
5538.23,0,1,4,60,1761815982512.096,edge2,1
5841.15,0,1,4.06,60,1761815983512.133,edge2,1
5960.57,0,1,4.06,60,1761815984512.532,edge2,1
5515.09,0,0,4.06,60,1761815985512.174,edge2,1
5973.63,0,1,4.11,60,1761815986512.156,edge2,1
