bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
632.42,4,19,134.67,60,1761843847092.233,edge1,2
894.95,-2,24,141,65,1761843848092.387,edge1,2
856.77,2,26,146.2,58,1761843849091.576,edge1,2
1101.3,-1,28,146.2,58,1761843850091.342,edge1,2
1267.27,-3,31,151,63,1761843851091.509,edge1,2
1538.6,13,29,151,58,1761843852091.64,edge1,2
2176.88,-11,25,151,61,1761843853091.455,edge1,2
3333.12,89,24,146.29,57,1761843854091.61,edge1,2
33666.88,224,13,146.29,61,1761843855091.573,edge1,2
12815.35,-313,25,146.29,58,1761843856091.481,edge1,2
879.54,2,26,143.13,64,1761843857091.559,edge1,2
619.41,-5,28,143.13,58,1761843858091.841,edge1,2
8803.95,120,16,131.44,56,1761843859091.428,edge1,2
21039.83,-84,13,131.44,61,1761843860091.466,edge1,2
9088.96,-13,15,131.44,60,1761843861091.861,edge1,2
8553.7,6,13,129.3,60,1761843862091.658,edge1,2
10381.96,-7,15,129.3,61,1761843863091.445,edge1,2
9084.25,10,17,129.3,60,1761843864091.491,edge1,2
8387.02,17,19,120.09,60,1761843865091.338,edge1,2
10537.64,-12,22,120.09,62,1761843866091.365,edge1,2
10734.1,32,17,122,59,1761843867091.464,edge1,2
12434.84,4,18,122,59,1761843868091.542,edge1,2
15048.63,-34,11,122,60,1761843869092.103,edge1,2
13892.84,3,17,117.31,57,1761843870092.986,edge1,2
13405.61,19,18,117.31,56,1761843871094.473,edge1,3
12464.88,-27,14,117.31,65,1761843872091.418,edge1,3
11330.27,9,11,111.79,59,1761843873091.504,edge1,3
11550.93,2,17,111.79,60,1761843874094.777,edge1,3
11950.43,-17,18,114.07,61,1761843875091.407,edge1,3
11055.93,30,13,114.07,59,1761843876091.599,edge1,3
12011.75,-15,14,114.07,60,1761843877091.38,edge1,3
12024.51,-13,19,116.75,60,1761843878092.548,edge1,3
11381,-22,22,116.75,59,1761843879091.661,edge1,3
11566.03,44,17,116.75,62,1761843880091.372,edge1,3
12027.49,-35,18,112.06,61,1761843881091.448,edge1,3
12180.87,12,18,112.06,59,1761843882091.358,edge1,3
11388.27,-6,17,112.39,59,1761843883094.078,edge1,3
11603.66,25,15,112.39,60,1761843884091.538,edge1,3
13978.96,-5,16,112.39,58,1761843885091.475,edge1,3
12799.72,-16,12,111.84,61,1761843886091.378,edge1,3
12417.55,15,18,111.84,60,1761843887091.77,edge1,3
12007.7,4,16,111.84,62,1761843888092.921,edge1,3
10809.95,-6,15,113.8,58,1761843889091.796,edge1,3
