bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
316.31,0,2,10,61,1761833441749.008,edge2,2
495.57,0,2,10,60,1761833442748.373,edge2,2
516.87,0,2,11,59,1761833443748.345,edge2,2
639.7,0,2,11,61,1761833444748.179,edge2,2
711.27,0,2,11,60,1761833445749.398,edge2,2
495.13,0,2,9.83,60,1761833446748.247,edge2,2
585.54,0,3,9.83,60,1761833447751.838,edge2,2
469.33,0,1,9.57,60,1761833448750.088,edge2,2
15959.41,0,3,9.57,59,1761833449753.305,edge2,2
8695.5,0,3,9.57,59,1761833450749.039,edge2,2
774.16,0,3,9.38,60,1761833451748.252,edge2,2
764.88,0,3,9.38,60,1761833452748.522,edge2,2
2724.69,0,2,9.38,60,1761833453751.672,edge2,2
12052.17,0,4,9.33,60,1761833454751.061,edge2,2
4595.12,0,4,9.33,60,1761833455749.989,edge2,2
4259.95,0,2,9.4,60,1761833456748.192,edge2,2
4612.13,0,2,9.4,60,1761833457748.451,edge2,2
4679.3,0,3,9.4,60,1761833458749.113,edge2,2
4205.83,0,2,9.45,60,1761833459749.578,edge2,2
5102.87,0,2,9.45,60,1761833460752.249,edge2,2
5118.75,0,2,9.45,60,1761833461750.911,edge2,2
5960.93,0,2,9.5,60,1761833462748.292,edge2,2
7076.49,0,3,9.5,60,1761833463748.273,edge2,2
6877.18,0,2,9.38,59,1761833464748.245,edge2,2
6341.34,0,3,9.38,61,1761833465751.479,edge2,2
6066.03,0,2,9.38,60,1761833466748.33,edge2,2
5692.96,0,2,9.64,60,1761833467748.186,edge2,2
5706.1,0,4,9.64,60,1761833468750.944,edge2,2
5779.49,0,3,9.64,60,1761833469751.584,edge2,2
5666.37,0,3,9.53,58,1761833470750.819,edge2,2
5569.22,0,1,9.53,62,1761833471748.553,edge2,2
5846.41,0,1,9.13,60,1761833472748.663,edge2,2
5589.42,0,2,9.13,60,1761833473750.61,edge2,2
5526.27,0,2,9.13,60,1761833474748.229,edge2,2
5850.7,0,1,9.12,60,1761833475748.277,edge2,2
5911.03,0,4,9.12,59,1761833476748.417,edge2,2
5516.22,0,2,9.12,60,1761833477753.077,edge2,2
5940.88,0,3,9.44,59,1761833478749.225,edge2,2
6655.4,0,4,9.44,60,1761833479749.844,edge2,2
6242.2,0,3,9.74,61,1761833480749.31,edge2,2
5992.71,0,3,9.74,60,1761833481748.193,edge2,2
5908.11,0,3,9.74,59,1761833482749.067,edge2,2
5542.8,0,4,9.5,61,1761833483748.546,edge2,2
5204.02,0,4,9.5,59,1761833484749.187,edge2,2
4872.74,0,3,9.48,61,1761833485748.436,edge2,2
4310.51,0,2,9.48,57,1761833486749.17,edge2,2
2745.14,0,2,9.48,61,1761833487750.652,edge2,2
2664.43,0,3,9.36,59,1761833488748.459,edge2,2
3254.98,0,4,9.36,59,1761833489752.482,edge2,2
3253.46,0,4,9.36,62,1761833490748.463,edge2,2
3131.88,0,4,9.91,60,1761833491748.972,edge2,2
3448.02,0,4,9.91,59,1761833492750.79,edge2,2
3666.7,0,3,9.83,61,1761833493753.713,edge2,2
3959.11,0,3,9.83,60,1761833494748.374,edge2,2
4516.87,0,3,9.83,60,1761833495748.487,edge2,2
4917.51,0,2,9.96,58,1761833496748.59,edge2,2
4487.96,0,3,9.96,62,1761833497748.312,edge2,2
4592.83,0,3,9.96,57,1761833498748.603,edge2,2
4712.86,0,3,10,60,1761833499748.578,edge2,2
4176.71,0,4,10,61,1761833500750.784,edge2,2
3260.15,0,4,10.22,60,1761833501748.982,edge2,2
2971.38,0,3,10.22,59,1761833502749.102,edge2,2
3063.2,0,4,10.22,59,1761833503749.633,edge2,2
3683.73,0,3,10.11,59,1761833504748.489,edge2,2
4661.41,0,4,10.11,58,1761833505753.365,edge2,2
5042.1,0,2,10.11,61,1761833506748.166,edge2,2
4842.51,0,2,9.9,60,1761833507751.487,edge2,2
5173.55,0,2,9.9,60,1761833508749.069,edge2,2
4495.27,0,2,9.83,60,1761833509750.769,edge2,2
5096.19,0,3,9.83,60,1761833510748.305,edge2,2
4655.83,0,4,9.83,59,1761833511748.365,edge2,2
4566.76,0,3,9.77,55,1761833512749.428,edge2,2
4810.4,0,3,9.77,56,1761833513749.07,edge2,2
4690.94,0,4,9.77,50,1761833514751.788,edge2,2
4443.19,0,3,9.84,53,1761833515750.029,edge2,2
4918.67,0,3,9.84,55,1761833516749.377,edge2,2
3989.95,0,4,9.85,50,1761833517752.169,edge2,2
3432.84,0,7,9.85,60,1761833518748.393,edge2,2
3833.05,0,5,9.85,57,1761833519750.599,edge2,2
4805.75,0,4,10.35,54,1761833520748.47,edge2,2
7084.4,0,4,10.35,45,1761833521752.645,edge2,2
8026.68,0,5,10.35,46,1761833522750.394,edge2,2
7934.84,0,2,10.46,47,1761833523749.992,edge2,2
7716.37,0,5,10.46,46,1761833524751.617,edge2,2
7523.8,0,6,10.86,44,1761833525754.871,edge2,2
6291.6,0,4,10.86,47,1761833526752.09,edge2,2
4448.08,0,4,10.86,61,1761833527748.366,edge2,2
4909.68,0,3,11.08,56,1761833528756.297,edge2,2
5027.99,0,3,11.08,52,1761833529748.26,edge2,2
5994.66,0,3,11.08,53,1761833530748.407,edge2,2
6403.27,0,4,11.11,43,1761833531749.759,edge2,2
7153.61,0,5,11.11,53,1761833532748.54,edge2,2
6472.08,0,6,11.26,55,1761833533749.914,edge2,2
4968.61,0,6,11.26,47,1761833534750.243,edge2,2
4178.23,0,6,11.26,55,1761833535748.523,edge2,2
3560.89,0,6,11.2,51,1761833536755.109,edge2,2
2328.95,0,6,11.2,49,1761833537748.694,edge2,3
1737.29,0,4,11.2,67,1761833538748.235,edge2,3
2220.37,0,2,11.34,59,1761833539748.615,edge2,3
2930.39,0,3,11.34,61,1761833540751,edge2,3
2998.09,0,3,11.36,60,1761833541748.158,edge2,3
3443.42,0,6,11.36,59,1761833542749.122,edge2,3
3388.73,0,6,11.36,54,1761833543748.502,edge2,3
4134.32,0,5,11.63,41,1761833544748.354,edge2,3
3778.98,0,5,11.63,46,1761833545749.046,edge2,3
3049.62,0,5,11.63,49,1761833546750.791,edge2,3
1884.99,0,5,11.73,51,1761833547752.435,edge2,3
1916.9,0,5,11.73,51,1761833548749.694,edge2,3
1937.16,0,5,11.58,46,1761833549749.452,edge2,3
3384.02,0,7,11.58,50,1761833550750.586,edge2,3
2794.73,0,19,11.58,39,1761833551749.444,edge2,3
3024.28,0,18,11.54,30,1761833552749.267,edge2,3
2173.53,0,33,11.54,18,1761833553748.176,edge2,3
3642.9,0,26,11.54,25,1761833554750.079,edge2,3
2525.31,0,31,11.94,20,1761833555750.987,edge2,3
2632.81,0,31,11.94,23,1761833556748.317,edge2,3
2056.15,0,53,13.04,11,1761833557749.304,edge2,3
4490.05,0,29,13.04,33,1761833558750.675,edge2,3
3217.36,0,19,13.04,33,1761833559750.372,edge2,3
1455.52,0,52,13.2,18,1761833560751.302,edge2,3
338.06,0,1,4.67,61,1761833859871.458,edge2,2
503.26,0,2,6,60,1761833860870.86,edge2,2
518.7,0,2,6,60,1761833861870.564,edge2,2
714.09,0,3,6,60,1761833862870.512,edge2,2
677.51,0,3,6,60,1761833863870.374,edge2,2
586.01,0,1,6.17,60,1761833864870.556,edge2,2
560.23,0,2,6.17,60,1761833865870.264,edge2,2
1852.94,0,4,6.14,59,1761833866870.393,edge2,2
16032.65,0,5,6.14,59,1761833867871.496,edge2,2
7287.77,0,3,6.14,58,1761833868871.072,edge2,2
784.55,0,1,6.38,60,1761833869870.361,edge2,2
692.87,0,2,6.38,61,1761833870871.355,edge2,2
4609.22,0,3,6.38,57,1761833871870.552,edge2,2
11123.33,0,2,7.11,61,1761833872870.475,edge2,2
4589.91,0,3,7.11,61,1761833873870.315,edge2,2
4519.62,0,4,7.6,60,1761833874870.286,edge2,2
4452.2,0,2,7.6,60,1761833875871.008,edge2,2
4619.26,0,1,7.6,60,1761833876870.384,edge2,2
4160.82,0,2,7.64,60,1761833877870.237,edge2,2
5105.98,0,2,7.64,60,1761833878870.819,edge2,2
5125.2,0,3,7.64,60,1761833879870.692,edge2,2
6056.09,0,4,7.5,60,1761833880870.315,edge2,2
7148.52,0,3,7.5,59,1761833881870.175,edge2,2
6804.14,0,4,8.46,61,1761833882872.258,edge2,2
6320.78,0,2,8.46,61,1761833883871.328,edge2,2
6086.12,0,3,8.46,60,1761833884870.334,edge2,2
5645.07,0,3,8.29,59,1761833885870.996,edge2,2
5720.05,0,2,8.29,61,1761833886870.506,edge2,2
5758.33,0,2,8.29,59,1761833887870.867,edge2,2
5695.93,0,2,8.07,59,1761833888872.656,edge2,2
5542.15,0,2,8.07,62,1761833889870.176,edge2,2
5902.7,0,1,8.06,60,1761833890870.109,edge2,2
5515.52,0,1,8.06,60,1761833891870.1,edge2,2
5556.23,0,0,8.06,60,1761833892870.448,edge2,2
5809.5,0,1,7.88,60,1761833893870.565,edge2,2
5959.81,0,2,7.88,60,1761833894874.469,edge2,2
5484.34,0,3,7.88,60,1761833895870.616,edge2,2
6033.38,0,3,8.11,59,1761833896872.486,edge2,2
