bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
219.37,-1,15,15.67,40,1761840880652.256,edge3,2
281.54,0,12,17.25,39,1761840881648.191,edge3,2
309.06,0,19,25,36,1761840882649.686,edge3,2
438.2,0,14,25,42,1761840883649.745,edge3,2
574.97,0,12,24.83,44,1761840884651.515,edge3,2
548.15,0,13,24.83,42,1761840885649.792,edge3,2
688.83,0,13,24.83,45,1761840886649.073,edge3,2
397.36,0,14,28.71,43,1761840887649.519,edge3,2
314.28,0,11,28.71,45,1761840888648.047,edge3,2
238.59,0,13,28.71,42,1761840889649.301,edge3,2
240.34,0,11,26.5,42,1761840890649.568,edge3,2
9479.12,0,21,26.5,42,1761840891648.579,edge3,2
10972.09,5,22,26.89,23,1761840892648.495,edge3,2
12539.76,-5,23,26.89,22,1761840893647.744,edge3,2
10973.79,0,20,26.89,26,1761840894649.517,edge3,2
789.09,0,14,25.6,40,1761840895647.754,edge3,2
542.86,0,15,25.6,38,1761840896648.543,edge3,2
570.01,0,13,25.6,41,1761840897647.906,edge3,2
211.72,0,14,26.18,41,1761840898647.905,edge3,2
1010.99,7,15,26.18,39,1761840899649.069,edge3,2
10490.91,-7,21,28.58,24,1761840900647.838,edge3,2
9114.15,1,23,28.58,22,1761840901647.743,edge3,2
6041.76,6,21,28.58,28,1761840902649.775,edge3,2
4134.91,-4,20,27.69,30,1761840903648.746,edge3,2
3454.06,0,16,27.69,30,1761840904647.825,edge3,2
3236.9,-2,18,27.69,28,1761840905651.287,edge3,2
3280.06,2,22,29.07,26,1761840906647.958,edge3,2
2885.91,-2,21,29.07,26,1761840907647.881,edge3,2
2863.27,-1,21,29.13,27,1761840908648.5,edge3,2
5036.83,3,19,29.13,30,1761840909647.736,edge3,2
5921.59,2,19,29.13,44,1761840910647.782,edge3,2
6111.82,-5,20,30.19,40,1761840911647.707,edge3,2
6642.61,4,16,30.19,40,1761840912647.744,edge3,2
6781.13,-3,19,29.06,42,1761840913647.717,edge3,2
6427.77,9,24,29.06,31,1761840914649.433,edge3,2
5022.61,-9,25,29.06,22,1761840915649.391,edge3,2
5950.3,7,22,29.72,26,1761840916647.737,edge3,2
5666.83,-3,22,29.72,26,1761840917647.787,edge3,2
5752.65,-4,19,29.72,27,1761840918648.471,edge3,2
4710.99,0,19,31.58,27,1761840919647.898,edge3,2
4546.2,-1,22,31.58,25,1761840920649.709,edge3,2
4083.27,0,26,30.5,22,1761840921647.763,edge3,2
4122.14,0,22,30.5,23,1761840922647.908,edge3,2
3868.05,0,26,30.5,21,1761840923648.186,edge3,2
3797.38,0,25,32.33,23,1761840924647.729,edge3,2
4318.12,0,24,32.33,24,1761840925651.288,edge3,2
4930.77,0,21,32.33,26,1761840926649.063,edge3,2
4414.98,6,26,31.91,22,1761840927648.4,edge3,2
3799.66,1,23,31.91,20,1761840928652.117,edge3,2
4480.34,-6,24,32.3,25,1761840929647.817,edge3,2
3336.04,2,30,32.3,17,1761840930647.877,edge3,2
3921.68,0,26,32.3,22,1761840931648.179,edge3,2
3147.79,-3,29,31.88,17,1761840932648.121,edge3,2
3768.8,0,29,31.88,21,1761840933647.987,edge3,2
4252.51,0,28,31.88,19,1761840934647.779,edge3,2
4289.92,2,28,31.8,19,1761840935648.007,edge3,2
3373.45,-2,29,31.8,20,1761840936647.975,edge3,2
3965.11,0,28,31.65,20,1761840937648.496,edge3,2
3666.16,0,25,31.65,21,1761840938647.923,edge3,2
3284.73,0,33,31.65,15,1761840939647.999,edge3,2
3760.71,2,26,31.52,21,1761840940648.135,edge3,2
4021.42,-2,23,31.52,22,1761840941650.403,edge3,2
3199.21,0,33,31.52,17,1761840942651.821,edge3,2
3267.89,0,32,32.39,16,1761840943647.952,edge3,2
3105.92,0,33,32.39,19,1761840944648.426,edge3,2
5991.74,4,25,31.86,28,1761840945654.251,edge3,2
8097.33,3,22,31.86,37,1761840946647.725,edge3,2
