bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
341.61,-2,6,10,63,1761883299055.542,edge3,1
480.27,0,5,11.25,60,1761883300055.496,edge3,1
671.38,0,8,13.4,59,1761883301055.21,edge3,1
799.34,0,7,13.4,60,1761883302054.974,edge3,1
787.2,0,6,11.83,60,1761883303055.037,edge3,1
476.05,0,6,11.83,60,1761883304055.126,edge3,1
427.73,0,5,11.83,60,1761883305055.105,edge3,1
563.02,0,5,12.86,60,1761883306055.12,edge3,1
25620.28,6,6,12.86,53,1761883307055.04,edge3,1
19281.38,-6,9,12.86,65,1761883308057.387,edge3,1
1073.8,0,6,12.63,63,1761883309055.214,edge3,1
593.33,0,6,12.63,60,1761883310057.37,edge3,1
4159.96,1,6,12.78,59,1761883311056.246,edge3,1
22158.43,2,8,12.78,59,1761883312055.398,edge3,1
7941.25,0,8,12.78,61,1761883313055.267,edge3,1
7217.77,-3,8,12.4,60,1761883314055.286,edge3,1
8024.04,4,8,12.4,58,1761883315056.376,edge3,1
7744.59,-1,8,12.4,62,1761883316055.414,edge3,1
7370.36,4,5,12.91,59,1761883317055.449,edge3,1
8879.31,-7,7,12.91,61,1761883318055.018,edge3,1
9163.92,5,9,13.83,60,1761883319057.755,edge3,1
10351.49,-1,10,13.83,59,1761883320055.605,edge3,1
12709.81,-1,8,13.83,61,1761883321055.367,edge3,1
12336.38,2,8,14.54,58,1761883322056.075,edge3,1
11520.19,4,6,14.54,62,1761883323055.008,edge3,1
10676.66,-2,9,14.54,60,1761883324054.951,edge3,1
9938.25,1,7,14.86,60,1761883325054.986,edge3,1
10000.63,1,7,14.86,60,1761883326056.502,edge3,1
10156.38,-1,7,14.6,60,1761883327055.038,edge3,1
9768.05,-8,7,14.6,60,1761883328055.025,edge3,1
9341.41,0,9,14.6,57,1761883329055.079,edge3,1
10603.16,1,8,15.19,62,1761883330055.361,edge3,1
9850.68,2,6,15.19,60,1761883331055.18,edge3,1
9424.23,-1,7,15.12,61,1761883332056.176,edge3,1
10166.45,6,5,15.12,60,1761883333055.795,edge3,1
10104.97,-1,8,15.12,59,1761883334055.093,edge3,1
9671.73,-5,10,15.17,60,1761883335055.091,edge3,1
10406.57,4,9,15.17,59,1761883336056.628,edge3,1
10481.28,-5,6,15.17,56,1761883337055.269,edge3,1
10794.47,0,9,15.37,57,1761883338056.215,edge3,1
11278.16,-1,7,15.37,64,1761883339055.589,edge3,1
10760.77,9,8,15.15,64,1761883340055.076,edge3,1
9338.3,-7,8,15.15,59,1761883341055.522,edge3,1
8881.63,-2,6,15.15,59,1761883342056.747,edge3,1
8467.41,1,8,15.71,61,1761883343055.372,edge3,1
7495.13,-1,7,15.71,60,1761883344055.33,edge3,1
4475.76,0,6,15.71,59,1761883345060.348,edge3,1
4233.63,0,7,15.86,59,1761883346055.085,edge3,1
5357.02,0,6,15.86,61,1761883347055.267,edge3,1
5337.27,1,7,16.22,60,1761883348056.213,edge3,1
5225.26,-1,5,16.22,60,1761883349057.254,edge3,1
5695.23,2,8,16.22,59,1761883350056.32,edge3,1
6114.42,-2,6,16.63,60,1761883351055.655,edge3,1
6133.57,0,6,16.63,57,1761883352055.646,edge3,1
6961.16,3,8,16.63,56,1761883353055.29,edge3,1
8404.61,-3,9,16.76,60,1761883354061.102,edge3,1
8034.38,6,9,16.76,62,1761883355056.039,edge3,1
7929.61,-2,7,17.12,62,1761883356056.1,edge3,1
7720.2,-4,7,17.12,60,1761883357058.927,edge3,1
6589.06,5,10,17.12,56,1761883358056.902,edge3,1
5835.83,-3,8,17.26,65,1761883359055.244,edge3,1
5195.95,-2,7,17.26,63,1761883360054.964,edge3,1
4696.36,4,6,17.26,60,1761883361055.026,edge3,1
6221.02,-1,7,17.32,60,1761883362055.013,edge3,1
7568.47,0,7,17.32,60,1761883363054.972,edge3,1
8709.91,6,7,17.41,60,1761883364055.062,edge3,1
7822.69,-9,6,17.41,58,1761883365055.429,edge3,1
8159.9,4,7,17.41,55,1761883366060.959,edge3,1
7251.39,-4,5,17.8,57,1761883367057.53,edge3,1
8058.36,0,8,17.8,58,1761883368058.941,edge3,1
8112.39,0,8,17.8,57,1761883369056.858,edge3,1
7727.48,3,7,17.71,58,1761883370058.399,edge3,1
7741.03,-3,6,17.71,60,1761883371055.836,edge3,1
7366.95,1,7,17.59,60,1761883372055.146,edge3,1
7042.52,0,5,17.59,59,1761883373062.656,edge3,1
6151.6,-1,9,17.59,53,1761883374058.362,edge3,1
6282.06,0,8,17.67,61,1761883375055.972,edge3,1
5576.78,0,8,17.67,63,1761883376055.511,edge3,1
6077.98,2,8,17.67,63,1761883377055.542,edge3,1
6780.29,-1,8,18.12,55,1761883378059.3,edge3,1
8631.66,2,6,18.12,44,1761883379057.511,edge3,1
11110.91,8,6,18.09,51,1761883380056.101,edge3,1
9568.17,-2,8,18.09,41,1761883381057.625,edge3,1
11559.6,-9,7,18.09,48,1761883382059.362,edge3,1
10804.54,2,5,18.31,44,1761883383059.301,edge3,1
9900.62,-2,8,18.31,49,1761883384056.958,edge3,1
9924.71,3,7,18.31,46,1761883385056.366,edge3,1
8673.07,-2,7,18.49,52,1761883386055.583,edge3,1
6659.35,2,7,18.49,54,1761883387058.378,edge3,1
6933.84,-1,6,18.66,52,1761883388056.324,edge3,1
8026.03,-2,7,18.66,53,1761883389055.963,edge3,1
8506.59,3,8,18.66,51,1761883390055.14,edge3,1
7835.87,0,6,18.46,46,1761883391056.843,edge3,1
10275.37,0,7,18.46,51,1761883392056.932,edge3,1
9446.78,1,8,18.46,45,1761883393055.206,edge3,1
10997.18,-4,8,18.45,46,1761883394058.637,edge3,1
9580.96,4,9,18.45,75,1761883395055.015,edge3,1
9703.09,0,9,18.44,89,1761883396055.775,edge3,1
