bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
284.45,-5,12,78,64,1762535653143.11,edge1,1
829.31,2,22,89,63,1762535654142.539,edge1,1
836.79,-3,29,108.6,60,1762535655142.508,edge1,1
1168.95,2,21,108.6,58,1762535656142.849,edge1,1
1259.35,-2,22,108.6,55,1762535657142.471,edge1,1
999.7,6,23,103,62,1762535658142.326,edge1,1
2205.91,-2,26,103,61,1762535659142.515,edge1,1
1751.38,1,27,103,61,1762535660143.167,edge1,1
18489.95,126,12,115.29,54,1762535661142.793,edge1,1
29448.44,-120,16,115.29,56,1762535662142.339,edge1,1
1521.08,-4,24,108.75,53,1762535663142.435,edge1,1
977.34,-4,32,108.75,63,1762535664142.559,edge1,1
389.01,-3,29,108.75,58,1762535665142.845,edge1,1
21653.52,91,10,106.33,57,1762535666142.463,edge1,1
13073.91,-51,14,106.33,61,1762535667142.62,edge1,1
8185.35,-4,15,96.5,57,1762535668142.891,edge1,1
8433.27,-3,16,96.5,62,1762535669144.837,edge1,1
11080.08,-14,16,96.5,60,1762535670142.565,edge1,1
8621.92,17,18,102.27,61,1762535671142.593,edge1,1
9093.88,7,13,102.27,59,1762535672142.447,edge1,1
9790.47,-3,15,102.27,60,1762535673143.152,edge1,1
12038.71,12,18,105.25,59,1762535674142.475,edge1,1
14047.48,-16,16,105.25,60,1762535675144.827,edge1,1
14792.98,-4,11,105.77,58,1762535676145.676,edge1,1
13621.6,13,16,105.77,59,1762535677147.967,edge1,1
12650.77,9,17,105.77,63,1762535678143.182,edge1,1
11970.84,-12,14,98.57,61,1762535679142.357,edge1,1
11298.08,-13,13,98.57,60,1762535680142.227,edge1,1
12364.77,-3,12,98.57,60,1762535681143.65,edge1,1
11130,10,16,102.4,57,1762535682142.454,edge1,1
11580.58,0,13,102.4,61,1762535683143.555,edge1,1
11230.88,-3,13,101.06,59,1762535684144.101,edge1,1
12342.92,-7,14,101.06,60,1762535685142.584,edge1,1
10937.68,20,18,101.06,59,1762535686142.704,edge1,1
11623.77,9,18,101.53,61,1762535687142.571,edge1,1
11770.76,-13,12,101.53,59,1762535688143.345,edge1,1
12030.42,10,15,101.53,60,1762535689142.972,edge1,1
11606.02,14,16,99.28,59,1762535690142.791,edge1,1
13446.88,-2,14,99.28,59,1762535691143.63,edge1,1
13151.79,-26,10,99.47,61,1762535692144.108,edge1,1
12277.98,7,14,99.47,61,1762535693142.504,edge1,1
11929.14,4,16,99.47,58,1762535694142.811,edge1,1
12267.45,-9,16,97.45,62,1762535695147.672,edge1,1
10554.24,-14,15,97.45,60,1762535696142.461,edge1,1
10065.53,10,18,97.45,59,1762535697142.686,edge1,1
9489.99,-18,16,98.48,60,1762535698142.814,edge1,1
6371.77,4,16,98.48,60,1762535699142.514,edge1,1
5085.49,3,14,101.32,60,1762535700143.803,edge1,1
5677.05,-3,17,101.32,61,1762535701142.596,edge1,1
6744.77,6,18,101.32,60,1762535702143.157,edge1,1
6197.47,-6,22,103.22,60,1762535703142.699,edge1,1
6396.48,-1,18,103.22,59,1762535704143.152,edge1,1
7473.64,7,15,103.22,59,1762535705142.363,edge1,1
7104.45,3,18,106.83,61,1762535706142.529,edge1,1
8618.59,1,15,106.83,59,1762535707142.535,edge1,1
10026.99,-3,12,104.6,62,1762535708146.971,edge1,1
9240.29,2,13,104.6,61,1762535709142.243,edge1,1
9317.19,-15,19,104.6,58,1762535710145.933,edge1,1
8987.42,14,17,108.19,61,1762535711142.598,edge1,1
9302.05,1,15,108.19,59,1762535712142.739,edge1,1
7240.35,-3,14,108.19,60,1762535713142.411,edge1,1
6075.74,-9,14,106.04,60,1762535714143.658,edge1,1
5829.61,4,19,106.04,59,1762535715143.745,edge1,1
6706.26,2,21,105.5,59,1762535716142.488,edge1,1
8411.38,5,17,105.5,60,1762535717149.345,edge1,1
9628.11,1,20,105.5,59,1762535718142.743,edge1,1
10407.85,16,18,103,61,1762535719142.292,edge1,1
10303.08,-5,14,103,59,1762535720143.914,edge1,1
9158.23,12,14,103,61,1762535721144.015,edge1,1
9393.23,-17,16,103.93,60,1762535722142.873,edge1,1
10150.02,-8,14,103.93,60,1762535723142.301,edge1,1
9465.48,17,16,105.26,60,1762535724142.929,edge1,1
9123.26,-22,16,105.26,59,1762535725142.678,edge1,1
8192.95,9,12,105.26,59,1762535726144.645,edge1,1
8603.95,2,14,105.88,59,1762535727146.085,edge1,1
8351.54,-21,17,105.88,62,1762535728142.394,edge1,1
8251.95,10,15,105.88,60,1762535729144.139,edge1,1
6552.48,-9,16,108.24,61,1762535730142.459,edge1,1
7081.05,5,18,108.24,59,1762535731144.837,edge1,1
7496.34,3,12,105.91,60,1762535732143.39,edge1,1
12479.45,26,11,105.91,60,1762535733142.654,edge1,1
15107.8,18,17,105.91,60,1762535734143.291,edge1,1
16381.68,1,15,108,60,1762535735142.629,edge1,1
15679.84,5,16,108,59,1762535736142.999,edge1,1
15583.76,-5,10,107.5,61,1762535737142.861,edge1,1
14493.85,-15,13,107.5,60,1762535738142.377,edge1,1
10241.52,-12,15,107.5,60,1762535739144.11,edge1,1
8581.3,-6,16,105.81,54,1762535740142.445,edge1,1
10340.25,2,19,105.81,66,1762535741142.578,edge1,1
11467.34,5,19,105.81,58,1762535742142.67,edge1,1
12692.93,10,20,108.11,61,1762535743144.635,edge1,1
13795.86,15,11,108.11,58,1762535744143.068,edge1,1
14651.58,-20,10,106.18,62,1762535745142.673,edge1,1
10310.72,-1,13,106.18,59,1762535746142.552,edge1,1
9340.3,-25,17,106.18,59,1762535747146.396,edge1,1
6940.38,14,19,108.15,61,1762535748143.737,edge1,1
6057.91,-25,18,108.15,59,1762535749142.543,edge1,1
3641.77,-5,23,108.15,61,1762535750143.974,edge1,1
3229.3,5,19,107.59,62,1762535751144.338,edge1,1
5410.19,-2,25,107.59,60,1762535752142.588,edge1,1
5659.05,4,20,107.95,60,1762535753142.382,edge1,1
6317.27,10,19,107.95,60,1762535754142.76,edge1,1
6965.8,-3,20,107.95,60,1762535755142.626,edge1,1
7977.73,14,19,107.95,63,1762535756142.625,edge1,1
7349.05,-13,16,107.95,56,1762535757146.777,edge1,1
6939.48,4,21,107.95,60,1762535758142.44,edge1,1
4406.17,-12,18,111.41,58,1762535759142.591,edge1,1
3678.14,11,26,111.41,62,1762535760142.443,edge1,1
3416.77,-21,20,113.13,63,1762535761142.514,edge1,1
4902.67,29,16,113.13,54,1762535762142.593,edge1,1
9690.65,24,13,113.13,63,1762535763142.579,edge1,1
13987.34,-13,14,111.63,59,1762535764143.078,edge1,1
16184.38,32,11,111.63,61,1762535765143.478,edge1,1
14968.64,-22,17,111.63,60,1762535766142.565,edge1,1
10117.23,-16,21,111.94,59,1762535767142.375,edge1,1
11475.84,1,17,111.94,60,1762535768142.59,edge1,1
10945.48,18,14,112.27,61,1762535769142.244,edge1,1
11985.63,-26,14,112.27,58,1762535770142.522,edge1,1
14203.5,7,12,112.27,59,1762535771143.665,edge1,1
12787.75,19,14,110.67,60,1762535772142.929,edge1,1
12463.34,27,13,110.67,60,1762535773142.752,edge1,1
12484.88,-37,14,110.67,59,1762535774142.614,edge1,1
9219.63,1,17,110.64,61,1762535775142.311,edge1,1
8984.23,-20,19,110.64,62,1762535776142.558,edge1,1
8639.49,-11,10,112.39,59,1762535777142.491,edge1,1
8064.3,-6,20,112.39,57,1762535778143.824,edge1,1
6233.71,26,17,112.39,63,1762535779144.15,edge1,1
