bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
93.96,-1,24,21,21,1761844801802.55,edge3,3
65.34,0,40,40.5,14,1761844802802.459,edge3,3
114.15,0,35,38.6,18,1761844803802.557,edge3,3
278.36,0,29,38.6,22,1761844804802.219,edge3,3
224.23,0,27,44.5,24,1761844805802.416,edge3,3
253.62,0,37,44.5,24,1761844806802.592,edge3,3
130.75,0,40,44.5,20,1761844807802.588,edge3,3
179.78,0,38,40.43,21,1761844808802.336,edge3,3
233.51,0,32,40.43,19,1761844809802.366,edge3,3
301.37,0,36,40.43,21,1761844810802.33,edge3,3
292.77,0,38,41.25,19,1761844811802.297,edge3,3
328.3,0,34,41.25,21,1761844812802.708,edge3,3
246.24,0,43,39.56,18,1761844813803.556,edge3,3
314.03,0,36,39.56,20,1761844814802.303,edge3,3
218.99,0,39,39.56,19,1761844815802.602,edge3,3
167.59,0,37,39.4,21,1761844816802.385,edge3,3
172.55,0,33,39.4,21,1761844817802.437,edge3,3
124.84,0,37,39.4,20,1761844818802.327,edge3,3
164,0,30,37.18,21,1761844819802.688,edge3,3
91.49,0,36,37.18,21,1761844820802.279,edge3,3
90.34,0,38,36.25,21,1761844821802.309,edge3,3
86.12,0,43,36.25,20,1761844822802.374,edge3,3
135.84,0,30,36.25,21,1761844823802.325,edge3,3
4074.48,0,40,34.92,20,1761844824802.325,edge3,3
4938.06,0,51,34.92,13,1761844825802.419,edge3,3
4584.44,0,64,34.92,10,1761844826802.521,edge3,3
5648.51,0,63,34.93,12,1761844827802.459,edge3,3
5861.43,0,58,34.93,12,1761844828802.496,edge3,3
5886.34,0,64,36.6,10,1761844829804.025,edge3,3
10048.35,0,52,36.6,12,1761844830802.798,edge3,3
2750.83,0,44,36.6,17,1761844831802.794,edge3,3
509.28,0,34,35,22,1761844832802.355,edge3,3
328.05,0,38,35,19,1761844833802.497,edge3,3
341.12,0,41,35,17,1761844834802.454,edge3,3
309.43,0,36,35.71,13,1761844835802.256,edge3,3
1634.81,0,32,35.71,6,1761844836802.327,edge3,3
7716.81,0,42,34.44,8,1761844837802.426,edge3,3
7721.76,0,35,34.44,8,1761844838802.332,edge3,3
3036.91,0,54,34.44,20,1761844839802.36,edge3,3
3889.19,0,52,34.32,20,1761844840802.485,edge3,3
2344.2,0,48,34.32,21,1761844841802.383,edge3,3
2481.71,0,47,34.32,13,1761844842802.462,edge3,3
1453.3,0,57,36.45,11,1761844843802.368,edge3,3
1380.32,0,62,36.45,13,1761844844806.236,edge3,3
2099.32,0,43,35.71,16,1761844845802.404,edge3,3
2563.8,0,37,35.71,7,1761844846802.306,edge3,3
2712.04,0,41,35.71,8,1761844847802.303,edge3,3
2593.3,0,47,37.36,5,1761844848802.317,edge3,3
2313.27,0,42,37.36,6,1761844849802.666,edge3,3
2860.95,0,39,37.35,6,1761844850802.426,edge3,3
2478.96,0,42,37.35,8,1761844851802.356,edge3,3
2127.34,0,44,37.35,8,1761844852802.336,edge3,3
2642.73,0,42,38.5,8,1761844853802.343,edge3,3
3403.76,0,36,38.5,6,1761844854802.363,edge3,3
3859.09,0,35,38.5,5,1761844855802.358,edge3,2
6775.97,0,29,37.84,8,1761844856802.491,edge3,2
6911.58,0,29,37.84,11,1761844857802.497,edge3,2
5942.18,0,27,38.23,13,1761844858802.366,edge3,2
6043.96,0,24,38.23,19,1761844859802.439,edge3,2
6327.07,0,23,38.23,14,1761844860802.54,edge3,2
5569.83,0,25,37.67,13,1761844861802.653,edge3,2
5046.73,0,26,37.67,14,1761844862802.85,edge3,2
5329.87,0,26,37.67,13,1761844863802.373,edge3,2
6127.49,0,26,37.43,15,1761844864802.819,edge3,2
5902.88,0,23,37.43,11,1761844865802.656,edge3,2
5585.22,0,23,36.62,11,1761844866802.439,edge3,2
5234.58,0,19,36.62,13,1761844867802.382,edge3,2
4439.8,0,26,36.62,9,1761844868802.354,edge3,2
6396.1,0,23,36,12,1761844869802.306,edge3,2
6243.66,0,27,36,12,1761844870802.382,edge3,2
5966.41,0,23,36,10,1761844871802.386,edge3,2
6290.34,0,20,36.81,11,1761844872803.694,edge3,2
5975.66,0,21,36.81,8,1761844873802.386,edge3,2
5593.45,0,20,36.03,10,1761844874802.306,edge3,2
6034.13,0,20,36.03,12,1761844875802.398,edge3,2
7958.62,0,16,36.03,11,1761844876802.856,edge3,2
6557.16,0,18,36.42,11,1761844877803.383,edge3,2
5611.89,0,23,36.42,12,1761844878802.335,edge3,2
5555.44,0,16,36.42,12,1761844879802.431,edge3,2
6479.14,0,20,35.65,11,1761844880803.391,edge3,2
5867.13,0,19,35.65,10,1761844881802.41,edge3,2
5581.95,0,20,35.54,13,1761844882802.354,edge3,2
7445.83,0,15,35.54,8,1761844883802.82,edge3,2
5311.59,0,18,35.54,11,1761844884802.361,edge3,2
5130.99,0,15,34.97,11,1761844885802.36,edge3,2
4556.71,0,20,34.97,15,1761844886802.29,edge3,2
4725.03,0,25,34.97,12,1761844887802.58,edge3,2
2030.53,0,24,34.7,55,1761844888802.531,edge3,2
1495.96,0,30,34.7,97,1761844889802.664,edge3,2
2016.54,0,24,34.08,88,1761844890802.868,edge3,2
2801.81,0,23,34.08,31,1761844891802.422,edge3,2
3033.14,0,23,34.08,30,1761844892802.432,edge3,2
2878.27,0,23,33.79,30,1761844893802.696,edge3,2
2725.86,0,22,33.79,30,1761844894804.048,edge3,2
3404.01,0,20,33.79,33,1761844895802.348,edge3,2
3283.67,0,16,34.5,30,1761844896802.455,edge3,2
2911.76,0,23,34.5,28,1761844897802.762,edge3,2
3340.39,0,21,34,29,1761844898802.474,edge3,2
3643.73,0,22,34,26,1761844899802.396,edge3,2
4182.55,0,26,34,26,1761844900802.309,edge3,2
3996.45,0,23,34.31,26,1761844901802.457,edge3,2
4369.02,0,23,34.31,32,1761844902802.652,edge3,2
3483.1,0,25,34.31,24,1761844903802.423,edge3,2
3430.31,0,26,33.91,24,1761844904802.474,edge3,2
3625.58,0,23,33.91,26,1761844905802.765,edge3,2
3503.83,0,23,34.07,25,1761844906802.329,edge3,2
3708.95,0,21,34.07,27,1761844907804.361,edge3,2
3309.1,0,25,34.07,27,1761844908803.343,edge3,2
2243.42,0,24,33.49,24,1761844909805.194,edge3,2
2014.17,0,31,33.49,23,1761844910803.309,edge3,2
2206.47,0,22,33.49,26,1761844911802.92,edge3,2
2021.44,0,24,33.7,24,1761844912803.262,edge3,2
2050.57,0,22,33.7,21,1761844913802.743,edge3,2
2288.13,0,31,33.36,20,1761844914803.122,edge3,2
3235.94,0,25,33.36,27,1761844915804.287,edge3,2
3535.12,0,25,33.36,24,1761844916802.363,edge3,2
4171.37,0,19,32.81,26,1761844917802.564,edge3,2
3965.55,0,21,32.81,25,1761844918802.371,edge3,2
4030.14,0,19,32.81,28,1761844919804.152,edge3,2
4121.73,0,24,33.31,25,1761844920803.29,edge3,2
3961.03,0,25,33.31,29,1761844921802.416,edge3,2
3820.84,0,22,33.02,27,1761844922804.305,edge3,2
3744.95,0,23,33.02,26,1761844923804.004,edge3,2
3944.78,0,26,33.02,25,1761844924802.574,edge3,2
3882.72,0,28,33.29,26,1761844925802.782,edge3,2
3524.98,0,29,33.29,25,1761844926802.364,edge3,2
4101.7,0,25,32.94,30,1761844927802.409,edge3,2
4008.88,0,21,32.94,27,1761844928802.376,edge3,2
3834.75,0,19,32.94,28,1761844929804.073,edge3,2
3677.43,0,21,32.7,27,1761844930806.691,edge3,2
3529.56,0,24,32.7,27,1761844931802.358,edge3,2
4036.09,0,22,32.7,30,1761844932802.583,edge3,2
3398.46,0,24,32.48,27,1761844933802.517,edge3,2
3349.75,0,20,32.48,29,1761844934802.455,edge3,2
4142.59,0,21,32.25,34,1761844935803.01,edge3,2
3512.73,0,23,32.25,29,1761844936802.748,edge3,2
4092.65,0,21,32.25,26,1761844937802.524,edge3,2
5468.04,0,27,32.73,28,1761844938802.44,edge3,2
6089.65,0,21,32.73,27,1761844939802.365,edge3,2
6611.54,0,25,32.73,25,1761844940802.933,edge3,2
6431.08,0,25,32.6,27,1761844941802.368,edge3,2
6533.62,0,20,32.6,26,1761844942802.435,edge3,2
6331.99,0,23,32.91,26,1761844943802.41,edge3,2
6146.48,0,25,32.91,25,1761844944802.6,edge3,2
8046.71,0,19,32.91,32,1761844945803.19,edge3,2
7055.09,0,18,32.63,32,1761844946802.338,edge3,2
6566.84,0,19,32.63,31,1761844947802.422,edge3,2
6098.48,0,19,32.63,36,1761844948802.432,edge3,2
5009.8,0,21,32.5,33,1761844949802.333,edge3,2
5711.08,0,21,32.5,33,1761844950802.788,edge3,2
6583.28,0,14,32.3,38,1761844951802.49,edge3,2
6876.4,0,24,32.3,34,1761844952802.706,edge3,2
7269.59,0,20,32.3,34,1761844953804.096,edge3,2
6645.05,0,18,32.18,30,1761844954802.453,edge3,2
7271.31,0,20,32.18,31,1761844955802.459,edge3,2
5918.95,0,21,32.18,31,1761844956802.547,edge3,2
5424.3,0,19,31.98,33,1761844957802.674,edge3,2
5256.73,0,19,31.98,33,1761844958802.558,edge3,2
4779.53,0,15,31.75,38,1761844959802.533,edge3,2
4071.48,0,20,31.75,35,1761844960802.471,edge3,2
2912.27,0,19,31.75,36,1761844961802.509,edge3,2
2176.99,0,21,32.05,37,1761844962804.291,edge3,2
2764.07,0,23,32.05,40,1761844963802.61,edge3,2
2997.14,0,21,32.05,34,1761844964802.354,edge3,2
3723.84,0,22,31.8,38,1761844965802.383,edge3,2
4248.26,0,16,31.8,39,1761844966802.472,edge3,2
3614.31,0,17,31.52,35,1761844967802.498,edge3,2
4892.1,0,25,31.52,35,1761844968803.128,edge3,2
4385.37,0,21,31.52,37,1761844969802.433,edge3,2
4219.68,0,18,31.26,36,1761844970802.403,edge3,2
3042.59,0,17,31.26,40,1761844971802.516,edge3,2
2276.02,0,18,31.26,42,1761844972802.398,edge3,2
2290.38,0,21,31.19,44,1761844973802.386,edge3,2
2226.41,0,18,31.19,41,1761844974802.36,edge3,2
4205.61,0,16,31,40,1761844975803.482,edge3,2
6225.2,0,17,31,39,1761844976802.39,edge3,2
5825.96,0,19,31,31,1761844977802.612,edge3,2
7438.96,0,17,30.65,33,1761844978802.413,edge3,2
8103.93,0,18,30.65,31,1761844979803.042,edge3,2
8738.55,0,16,30.65,35,1761844980804.145,edge3,2
6047.48,0,18,30.96,33,1761844981802.436,edge3,2
5360.56,0,15,30.96,39,1761844982803.154,edge3,2
6070.11,0,15,30.74,40,1761844983802.296,edge3,2
5924.23,0,15,30.74,36,1761844984802.499,edge3,2
5944.63,0,17,30.74,38,1761844985803.4,edge3,2
6687.38,0,17,30.92,40,1761844986802.299,edge3,2
7462.55,0,17,30.92,37,1761844987803.332,edge3,2
7731.32,0,17,30.92,38,1761844988802.391,edge3,2
7156.8,0,20,30.72,38,1761844989802.729,edge3,2
7340.01,0,20,30.72,38,1761844990802.404,edge3,2
7734.84,0,18,30.88,39,1761844991804.148,edge3,2
