bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
68.15,-1,31,40.33,13,1761846706469.148,edge3,3
57.52,0,43,39,13,1761846707468.541,edge3,3
84.63,0,41,49.6,16,1761846708469.319,edge3,3
103.05,0,56,49.6,16,1761846709468.769,edge3,3
168.07,0,54,49.6,13,1761846710468.797,edge3,3
185.12,0,52,47,16,1761846711468.455,edge3,3
129.87,0,45,47,15,1761846712468.558,edge3,3
106.8,0,56,51.71,16,1761846713468.481,edge3,3
127.7,0,45,51.71,15,1761846714468.988,edge3,3
119.48,0,49,51.71,16,1761846715469.877,edge3,3
118.3,0,48,48.75,16,1761846716468.797,edge3,3
173.37,0,48,48.75,16,1761846717468.907,edge3,3
188.81,0,52,48.75,15,1761846718468.441,edge3,3
256.84,0,53,48.67,15,1761846719468.807,edge3,3
209.29,0,57,48.67,13,1761846720473.278,edge3,3
210.45,0,57,46.6,14,1761846721468.364,edge3,3
284.85,0,52,46.6,16,1761846722468.633,edge3,3
201.46,0,55,46.6,13,1761846723468.774,edge3,3
133.23,0,60,46.82,13,1761846724470.536,edge3,3
193.61,0,51,46.82,17,1761846725469.394,edge3,3
172.33,0,37,46.82,15,1761846726468.508,edge3,3
108.3,0,52,51.17,15,1761846727469.327,edge3,3
123.45,0,43,51.17,16,1761846728468.54,edge3,3
92.16,0,53,50.54,15,1761846729469.335,edge3,3
81.2,0,55,50.54,15,1761846730468.484,edge3,3
94.12,0,56,50.54,16,1761846731470.586,edge3,3
82.52,0,49,52.86,15,1761846732468.75,edge3,3
84.74,0,45,52.86,16,1761846733468.677,edge3,3
89.79,0,39,52.86,15,1761846734468.322,edge3,3
91.48,0,39,50.87,15,1761846735470.884,edge3,3
5283.39,3,45,50.87,9,1761846736468.533,edge3,3
4977.78,-3,56,52.63,8,1761846737468.39,edge3,3
3997.68,0,64,52.63,15,1761846738470.454,edge3,3
3251.28,0,80,52.63,15,1761846739468.566,edge3,3
4639.61,0,72,51.12,14,1761846740468.608,edge3,3
4957.82,0,77,51.12,10,1761846741468.472,edge3,3
6879.63,0,72,51.12,10,1761846742468.412,edge3,3
6194.32,0,77,51.06,8,1761846743468.357,edge3,3
2535.02,0,70,51.06,10,1761846744469.308,edge3,3
391.77,0,65,52.89,15,1761846745468.602,edge3,3
289.16,0,65,52.89,5,1761846746468.548,edge3,3
165.38,0,49,52.89,4,1761846747468.472,edge3,3
745.73,0,45,52.3,4,1761846748469.638,edge3,3
