bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
39.7,0,55,39,9,1761883918562.327,edge3,5
35.72,0,74,34.6,8,1761883919562.401,edge3,5
21.73,0,110,34.6,5,1761883920562.241,edge3,5
16.81,0,137,34.6,4,1761883921562.292,edge3,5
71.7,0,110,37.17,9,1761883922562.086,edge3,5
48.47,0,121,37.17,7,1761883923562.387,edge3,5
26.14,0,150,43.57,5,1761883924562.125,edge3,5
80.96,0,132,43.57,8,1761883925562.141,edge3,5
43.5,0,141,43.57,6,1761883926564.13,edge3,5
62.93,0,121,43.75,7,1761883927563.771,edge3,5
29.07,0,155,43.75,4,1761883928565.149,edge3,5
43.35,0,147,43.75,6,1761883929562.283,edge3,5
52.1,0,146,47.11,7,1761883930562.549,edge3,5
47.48,0,140,47.11,7,1761883931562.085,edge3,5
50.67,0,138,44.5,6,1761883932562.221,edge3,5
14.1,0,151,44.5,3,1761883933562.204,edge3,5
67.26,0,145,44.5,9,1761883934562.152,edge3,5
38.67,0,159,46.91,4,1761883935562.204,edge3,5
34.8,0,174,46.91,5,1761883936562.037,edge3,5
57.55,0,147,44.08,8,1761883937562.808,edge3,5
34.52,0,154,44.08,5,1761883938562.112,edge3,5
42.98,0,159,44.08,4,1761883939562.643,edge3,5
65.74,0,137,44.62,9,1761883940562.053,edge3,5
34.27,0,150,44.62,5,1761883941562.081,edge3,5
44.13,0,150,44.62,6,1761883942562.057,edge3,5
89.02,0,121,43,7,1761883943563.09,edge3,5
108.66,0,121,43,6,1761883944562.186,edge3,5
99.79,0,107,42.27,6,1761883945562.145,edge3,5
52.16,0,121,42.27,7,1761883946562.537,edge3,6
26.59,0,140,42.27,7,1761883947562.424,edge3,6
199.63,0,123,45,6,1761883948562.67,edge3,6
182.74,0,94,45,7,1761883949562.264,edge3,6
66.96,0,124,45,6,1761883950562.221,edge3,6
42.95,0,134,44.35,7,1761883951562.113,edge3,6
85.95,0,140,44.35,7,1761883952566.475,edge3,6
100.53,0,123,46.61,7,1761883953562.081,edge3,6
33.2,0,167,46.61,6,1761883954562.169,edge3,6
90.2,0,157,46.61,7,1761883955562.506,edge3,6
67.93,0,166,45.21,5,1761883956562.137,edge3,6
61.58,0,167,45.21,5,1761883957562.229,edge3,6
174.09,0,145,45.21,8,1761883958562.225,edge3,6
47.54,0,171,46.25,3,1761883959564.411,edge3,6
65.6,0,171,46.25,5,1761883960565.786,edge3,6
28.47,0,215,44.81,2,1761883961562.269,edge3,6
41.76,0,199,44.81,3,1761883962562.219,edge3,6
67.84,0,212,44.81,5,1761883963565.654,edge3,6
54.02,0,222,45.09,4,1761883964562.255,edge3,6
64.36,0,189,45.09,7,1761883965562.435,edge3,6
41.56,0,199,45.09,3,1761883966562.138,edge3,6
30.24,0,205,43.78,4,1761883967562.062,edge3,6
34.38,0,200,43.78,5,1761883968562.09,edge3,6
43.34,0,167,43.33,6,1761883969562.774,edge3,6
38.98,0,171,43.33,5,1761883970562.134,edge3,6
11.63,0,220,43.33,2,1761883971562.369,edge3,6
13.3,0,240,44.6,2,1761883972562.529,edge3,6
18.84,0,263,44.6,3,1761883973575.349,edge3,6
7.88,0,276,44.6,1,1761883974563.537,edge3,6
42.39,0,291,44.04,4,1761883975562.754,edge3,6
15.38,0,301,44.04,2,1761883976562.186,edge3,7
7.28,0,324,45.07,1,1761883977562.61,edge3,7
23.32,0,328,45.07,4,1761883978562.199,edge3,7
6.72,0,344,45.07,1,1761883979562.118,edge3,7
10.41,0,391,43.96,2,1761883980562.23,edge3,7
7.21,0,409,43.96,1,1761883981562.076,edge3,7
12.16,0,382,43.96,2,1761883982562.817,edge3,7
31.34,0,361,44.34,4,1761883983563.292,edge3,7
12.1,0,391,44.34,2,1761883984563.892,edge3,7
12.06,0,401,46.47,2,1761883985566.596,edge3,7
11.94,0,421,46.47,2,1761883986562.293,edge3,7
6.55,0,431,46.47,1,1761883987562.02,edge3,7
21.73,0,424,46.42,3,1761883988562.08,edge3,7
17.55,0,412,46.42,2,1761883989570.217,edge3,7
11.73,0,389,46.42,2,1761883990563.66,edge3,7
11.04,0,410,48.34,2,1761883991562.118,edge3,7
