bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
68.42,0,25,18.33,11,1761883882461.794,edge3,4
54.1,0,47,29.75,11,1761883883461.402,edge3,4
67.96,0,43,27.6,13,1761883884461.341,edge3,4
66.02,0,55,27.6,15,1761883885461.474,edge3,4
142.6,0,65,27.6,13,1761883886461.907,edge3,4
191.95,0,61,27.67,14,1761883887461.249,edge3,4
94.38,0,68,27.67,11,1761883888461.749,edge3,4
69.76,0,77,33.14,11,1761883889461.294,edge3,4
92.76,0,66,33.14,12,1761883890461.353,edge3,4
103.12,0,61,33.14,13,1761883891461.755,edge3,4
114.41,0,54,31.75,12,1761883892466.284,edge3,4
106.7,0,65,31.75,13,1761883893461.43,edge3,4
137.87,0,50,31.75,14,1761883894462.206,edge3,4
138.88,0,61,36.44,14,1761883895465.152,edge3,4
166.49,0,67,36.44,12,1761883896461.803,edge3,4
269.34,0,55,33.8,13,1761883897461.145,edge3,4
189.02,0,48,33.8,15,1761883898461.396,edge3,4
174.64,0,59,33.8,13,1761883899461.453,edge3,4
121.4,0,68,35.64,13,1761883900463.271,edge3,4
337.59,0,57,35.64,14,1761883901461.219,edge3,4
216.34,0,54,35.64,14,1761883902461.304,edge3,4
180.15,0,51,33.58,14,1761883903461.22,edge3,4
120.8,0,50,33.58,14,1761883904461.389,edge3,4
90.01,0,64,34.08,14,1761883905461.323,edge3,4
127.82,0,52,34.08,14,1761883906461.265,edge3,4
95.99,0,58,34.08,14,1761883907462.258,edge3,4
95.06,0,53,37.43,14,1761883908461.343,edge3,4
106.95,0,44,37.43,13,1761883909463.38,edge3,4
114.07,0,42,37.43,14,1761883910461.418,edge3,4
39.02,0,59,37.07,13,1761883911461.638,edge3,5
82.89,0,59,37.07,13,1761883912461.31,edge3,5
91.44,0,49,38.88,14,1761883913461.279,edge3,5
1035.09,0,79,38.88,13,1761883914461.439,edge3,5
5439.4,2,63,38.88,5,1761883915461.217,edge3,5
7692.52,-1,46,37.47,3,1761883916461.239,edge3,5
3091.38,-1,56,37.47,3,1761883917467.314,edge3,5
4015.6,0,80,37.47,11,1761883918461.415,edge3,5
4063.73,0,97,38.67,13,1761883919461.278,edge3,5
2321.76,0,119,38.67,13,1761883920461.299,edge3,5
1521.66,0,143,37.53,11,1761883921462.444,edge3,5
8345.85,0,108,37.53,12,1761883922461.331,edge3,5
2420.42,0,144,37.53,12,1761883923461.215,edge3,5
1803.89,0,151,37.85,5,1761883924461.367,edge3,5
637.09,0,129,37.85,8,1761883925463.286,edge3,5
213.48,0,146,37.85,5,1761883926461.592,edge3,5
210.73,0,140,36.86,6,1761883927465.401,edge3,5
86.15,0,176,36.86,3,1761883928461.22,edge3,5
67.83,0,142,36.36,4,1761883929463.669,edge3,5
146.65,0,127,36.36,9,1761883930461.247,edge3,5
103.15,0,134,36.36,4,1761883931461.628,edge3,5
98.02,0,135,38.74,7,1761883932461.24,edge3,5
59.71,0,140,38.74,7,1761883933461.271,edge3,5
112.17,0,132,37.88,7,1761883934461.427,edge3,5
80.52,0,147,37.88,3,1761883935461.993,edge3,5
472.42,0,140,37.88,6,1761883936461.355,edge3,5
2965.5,20,146,39.52,6,1761883937461.391,edge3,5
2582.74,-20,162,39.52,4,1761883938461.541,edge3,5
2638.67,0,156,39.52,5,1761883939461.271,edge3,5
2820.88,0,145,38.46,7,1761883940461.828,edge3,5
2212.52,0,152,38.46,4,1761883941461.276,edge3,5
2290.73,0,143,38.85,6,1761883942461.353,edge3,5
2062.9,0,142,38.85,6,1761883943461.212,edge3,5
1882.66,7,133,38.85,6,1761883944461.333,edge3,5
1440.78,-2,120,37.71,6,1761883945464.329,edge3,5
