bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
384.66,-1,16,53.33,61,1761882183704.167,edge2,2
736.17,0,16,48.75,60,1761882184706.75,edge2,2
714.65,2,12,49.8,59,1761882185703.598,edge2,2
1094.4,-2,15,49.8,61,1761882186703.473,edge2,2
1137.84,-1,12,49.8,59,1761882187703.296,edge2,2
969.41,4,18,51.17,60,1761882188703.068,edge2,2
1753.73,0,16,51.17,59,1761882189708.194,edge2,2
1344.34,1,13,52.57,60,1761882190704.262,edge2,2
23317.22,51,8,52.57,50,1761882191705.766,edge2,2
23976.22,-55,14,52.57,53,1761882192704.774,edge2,2
1284.33,0,14,57.25,58,1761882193703.051,edge2,2
789.3,0,13,57.25,61,1761882194707.688,edge2,2
605.11,36,19,57.25,60,1761882195703.951,edge2,2
24301.71,-2,10,54.56,57,1761882196705.892,edge2,2
9772.98,-24,11,54.56,62,1761882197703.768,edge2,2
7901.11,11,13,53.7,60,1761882198704.395,edge2,2
7208.47,-9,12,53.7,58,1761882199704.403,edge2,2
10220.66,-1,13,53.7,61,1761882200703.528,edge2,2
7881.03,-1,12,52.27,61,1761882201707.625,edge2,2
8982.6,-3,11,52.27,58,1761882202704.513,edge2,2
9618.18,22,9,52.27,62,1761882203703.226,edge2,2
11028.39,-8,8,55.42,59,1761882204703.273,edge2,2
13149.49,7,10,55.42,60,1761882205705.036,edge2,2
13279.6,5,7,56.31,59,1761882206705.764,edge2,2
12366.72,-19,11,56.31,60,1761882207707.391,edge2,2
11432.52,-3,11,56.31,61,1761882208704.484,edge2,2
10920.02,0,12,56.43,60,1761882209703.228,edge2,2
10461.31,15,13,56.43,59,1761882210704.918,edge2,2
10956.76,-18,11,56.43,59,1761882211703.437,edge2,2
10509.43,20,10,57.53,54,1761882212703.068,edge2,2
10407.15,6,13,57.53,59,1761882213707.635,edge2,2
10719.57,-17,9,58.69,67,1761882214703.887,edge2,2
10918.16,-6,11,58.69,60,1761882215703.04,edge2,2
10291.33,5,9,58.69,60,1761882216702.937,edge2,2
10955.51,-6,10,61.12,60,1761882217702.931,edge2,2
