bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
82.56,0,27,19.67,13,1762534601825.809,edge3,3
86.91,0,35,25.75,18,1762534602822.155,edge3,3
114.15,0,36,36.2,21,1762534603821.996,edge3,3
244.21,0,33,36.2,21,1762534604822.808,edge3,3
187.9,0,34,35,22,1762534605822.169,edge3,3
213.49,1,37,35,20,1762534606822.606,edge3,3
152.63,-1,42,35,19,1762534607821.94,edge3,3
189.02,0,37,40.71,20,1762534608822.935,edge3,3
268.27,0,29,40.71,21,1762534609824.333,edge3,3
362.66,1,36,40.71,21,1762534610823.34,edge3,3
349.4,-1,38,40,21,1762534611821.975,edge3,3
247.37,0,40,40,20,1762534612822.105,edge3,3
282.23,0,44,42.33,18,1762534613824.117,edge3,3
382.37,0,30,42.33,22,1762534614823.114,edge3,3
264.84,0,32,42.33,21,1762534615822.349,edge3,3
149.27,0,39,40.3,22,1762534616824.169,edge3,3
149.43,0,37,40.3,20,1762534617822.179,edge3,3
169.19,0,33,40.3,22,1762534618821.964,edge3,3
105.16,0,40,40.45,20,1762534619822.619,edge3,3
100.6,0,38,40.45,20,1762534620825.373,edge3,3
115.3,0,37,43.5,21,1762534621824.321,edge3,3
122.48,0,33,43.5,21,1762534622822.5,edge3,3
87.09,0,34,43.5,21,1762534623824.408,edge3,3
3664.05,10,43,42.92,21,1762534624822.095,edge3,3
5469.05,-1,50,42.92,12,1762534625823.645,edge3,3
5727.79,-9,51,42.92,12,1762534626825.255,edge3,3
4495.59,7,60,45.79,10,1762534627823.122,edge3,3
6534.27,-6,54,45.79,13,1762534628822.003,edge3,3
6923.43,-1,51,43.93,11,1762534629821.92,edge3,3
7725.49,0,57,43.93,9,1762534630822.721,edge3,4
3095.39,0,50,43.93,16,1762534631821.917,edge3,4
508.04,2,40,45.31,20,1762534632822.407,edge3,4
370.01,-2,39,45.31,18,1762534633822.462,edge3,4
498.97,0,43,44,27,1762534634821.941,edge3,4
1078.83,0,37,44,4,1762534635823.292,edge3,4
6426.58,0,44,44,5,1762534636822.032,edge3,4
2575.49,15,77,44.89,7,1762534637823.385,edge3,4
3797.2,-15,80,44.89,14,1762534638822.209,edge3,4
3280.39,0,88,44.89,21,1762534639821.939,edge3,4
3477.09,0,79,44.05,21,1762534640821.954,edge3,4
2299.36,0,84,44.05,8,1762534641822.217,edge3,4
1710.77,0,91,44.65,7,1762534642822.22,edge3,4
1227.69,0,88,44.65,8,1762534643824.361,edge3,4
1334.75,0,84,44.65,9,1762534644821.959,edge3,4
1069.02,1,90,46.38,7,1762534645822.081,edge3,4
1520.98,1,76,46.38,11,1762534646826.411,edge3,4
1119.94,-2,75,46.38,8,1762534647825.558,edge3,4
