bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
376.11,0,14,70,59,1761845347130.631,edge2,3
324.34,0,33,67.5,28,1761845348130.902,edge2,3
466.64,2,34,69.8,34,1761845349130.383,edge2,3
128.16,-2,77,69.8,14,1761845350130.284,edge2,3
153.96,0,54,69.8,13,1761845351134.955,edge2,3
605.06,0,34,70,36,1761845352131.162,edge2,3
270.37,0,29,70,27,1761845353135.39,edge2,3
588.7,1,43,64.86,28,1761845354130.268,edge2,3
782.03,0,29,64.86,31,1761845355130.682,edge2,3
529.89,-1,17,64.86,39,1761845356130.453,edge2,3
244.46,0,26,65.25,33,1761845357130.749,edge2,3
242.66,0,42,65.25,31,1761845358130.655,edge2,3
147.8,0,57,65.25,21,1761845359130.541,edge2,3
308.89,0,33,61.56,35,1761845360130.486,edge2,3
85.17,0,63,61.56,18,1761845361130.351,edge2,3
211.06,0,55,61.9,32,1761845362130.389,edge2,3
5480.52,17,33,61.9,26,1761845363130.322,edge2,3
12806.68,-13,16,61.9,25,1761845364130.308,edge2,3
5315.27,-4,32,62.64,12,1761845365131.905,edge2,3
7997.42,0,39,62.64,14,1761845366130.517,edge2,3
11031.73,11,38,62.64,13,1761845367130.255,edge2,3
2482.17,-11,22,63.92,16,1761845368133.389,edge2,3
734.23,0,38,63.92,27,1761845369130.288,edge2,3
267.92,1,61,67.85,12,1761845370130.3,edge2,3
691.17,-1,32,67.85,40,1761845371130.516,edge2,3
337.39,0,28,67.85,14,1761845372132.401,edge2,3
347.68,0,60,64.93,22,1761845373130.803,edge2,3
738.81,5,60,64.93,30,1761845374130.265,edge2,3
4195.48,-24,25,64.73,25,1761845376130.488,edge2,3
1194.35,0,73,64.73,21,1761845377130.401,edge2,3
7788.24,2,38,64.69,28,1761845378130.252,edge2,3
5387.65,10,36,64.69,16,1761845379130.308,edge2,3
6216.74,-12,49,64.69,10,1761845380130.553,edge2,3
5605.11,3,31,64.59,11,1761845381130.405,edge2,3
6165.07,-2,18,64.59,2,1761845382130.552,edge2,3
4179.82,3,18,64.59,11,1761845383130.546,edge2,3
3069.67,-4,39,61.17,6,1761845384130.39,edge2,3
3134.23,0,54,61.17,8,1761845385130.416,edge2,3
3140.02,0,32,61.95,11,1761845386130.398,edge2,3
2957.25,3,63,61.95,7,1761845387130.283,edge2,3
8030.27,8,26,61.95,7,1761845388130.463,edge2,3
7161.96,-11,32,66.55,19,1761845389130.456,edge2,3
5595.61,0,22,66.55,8,1761845390130.517,edge2,3
3332.45,5,36,66.55,17,1761845391130.857,edge2,3
5788.92,-5,23,67.95,23,1761845392130.828,edge2,3
560.63,1,74,67.95,22,1761845393130.382,edge2,3
4419.67,8,29,68.86,22,1761845395130.746,edge2,3
5419.01,-9,22,68.86,16,1761845396130.425,edge2,3
1331.23,0,58,68.57,19,1761845397130.477,edge2,3
7401,4,36,68.57,17,1761845398130.355,edge2,3
