bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
401.52,-1,5,11.33,61,1761845804167.897,edge3,1
528.84,0,4,11,60,1761845805169.474,edge3,1
596.86,0,5,11.6,61,1761845806168.064,edge3,1
852.97,0,6,11.6,60,1761845807167.981,edge3,1
775.52,0,7,10,60,1761845808168.444,edge3,1
426.27,0,6,10,60,1761845809168.276,edge3,1
401.02,0,5,10,60,1761845810167.99,edge3,1
1097.67,23,5,10.29,60,1761845811167.68,edge3,1
29392.2,0,9,10.29,60,1761845812167.863,edge3,1
15037.23,-23,6,10.29,60,1761845813168.306,edge3,1
1051.63,0,6,11.5,60,1761845814169.801,edge3,1
618.5,0,4,11.5,60,1761845815167.745,edge3,1
6153.27,16,8,11.89,59,1761845816168.007,edge3,1
20323.28,-15,8,11.89,61,1761845817168.398,edge3,1
7728.45,-1,6,11.89,60,1761845818167.876,edge3,1
7136.91,3,6,12.2,60,1761845819167.97,edge3,1
8289.59,-2,7,12.2,60,1761845820167.915,edge3,1
7874.85,-1,7,12.2,59,1761845821168.264,edge3,1
7242.54,2,6,12.36,61,1761845822168.356,edge3,1
9092.63,-2,6,12.36,60,1761845823167.942,edge3,1
8750.59,2,7,13,59,1761845824167.98,edge3,1
10450.23,4,7,13,61,1761845825168.708,edge3,1
12413.61,0,7,13,60,1761845826167.875,edge3,1
12424.34,-5,6,13,59,1761845827168.562,edge3,1
11181.17,-1,6,13,61,1761845828167.877,edge3,1
10840.13,0,6,13,60,1761845829167.883,edge3,1
10108.38,0,6,13.07,59,1761845830167.833,edge3,1
9851.42,6,6,13.07,61,1761845831167.976,edge3,1
10099.73,-6,7,13.2,60,1761845832167.795,edge3,1
9713.66,2,7,13.2,59,1761845833169.338,edge3,1
9661.61,-1,7,13.2,60,1761845834167.772,edge3,1
10075.44,2,7,12.63,60,1761845835168.417,edge3,1
9710.29,2,6,12.63,61,1761845836167.807,edge3,1
9652.95,-5,7,13,59,1761845837168.005,edge3,1
10169.84,0,7,13,61,1761845838167.818,edge3,1
10216.16,2,8,13,59,1761845839167.657,edge3,1
9510.72,0,8,12.78,61,1761845840167.75,edge3,1
10516.51,-2,7,12.78,59,1761845841168.272,edge3,1
11720.83,4,8,12.78,60,1761845842168.008,edge3,1
10819.29,1,7,12.63,60,1761845843168.035,edge3,1
10515.28,-2,7,12.63,60,1761845844168.002,edge3,1
10433.58,1,6,12.4,60,1761845845167.878,edge3,1
9516.88,-3,8,12.4,60,1761845846167.873,edge3,1
8979.13,-1,8,12.4,60,1761845847167.914,edge3,1
8501.84,1,7,12.52,61,1761845848167.878,edge3,1
7295.13,-1,7,12.52,60,1761845849167.849,edge3,1
4356.23,1,6,12.52,59,1761845850167.911,edge3,1
4328.84,0,7,12.68,60,1761845851167.706,edge3,1
5312.71,-1,7,12.68,61,1761845852167.853,edge3,1
5243.66,1,8,12.61,60,1761845853167.946,edge3,1
4965.27,0,6,12.61,60,1761845854168.055,edge3,1
5721.66,3,6,12.61,60,1761845855168.46,edge3,1
6252.91,-4,8,12.37,60,1761845856167.835,edge3,1
6534.12,2,6,12.37,60,1761845857167.845,edge3,1
7829.48,0,6,12.37,60,1761845858167.905,edge3,1
8296.57,-2,7,12.32,60,1761845859167.674,edge3,1
7622.77,0,6,12.32,60,1761845860167.726,edge3,1
7739.71,1,6,12.35,60,1761845861167.847,edge3,1
7852.8,-1,6,12.35,60,1761845862167.7,edge3,1
6880.17,2,5,12.35,60,1761845863167.801,edge3,1
5195.22,-2,6,12.26,60,1761845864167.805,edge3,1
4651.77,1,7,12.26,60,1761845865168.017,edge3,1
4878.09,-1,6,12.26,60,1761845866167.91,edge3,1
6172.11,1,5,12.29,60,1761845867167.958,edge3,1
7575.47,2,7,12.29,60,1761845868167.851,edge3,1
8729.4,-1,7,12.1,60,1761845869168.006,edge3,1
8027.74,0,7,12.1,60,1761845870167.804,edge3,1
8513.66,0,7,12.1,60,1761845871167.875,edge3,1
7548.67,2,7,12.07,59,1761845872168.068,edge3,1
8507.71,-2,8,12.07,61,1761845873167.841,edge3,1
8073.61,-2,6,12.07,60,1761845874168.323,edge3,1
7780.12,0,6,11.97,60,1761845875167.897,edge3,1
7306,2,7,11.97,60,1761845876167.942,edge3,1
6988.42,-1,7,12.16,59,1761845877168.018,edge3,1
6858.43,0,7,12.16,61,1761845878167.707,edge3,1
7239.51,1,7,12.16,60,1761845879167.991,edge3,1
5945.73,0,5,12.15,60,1761845880168.369,edge3,1
5477.55,0,5,12.15,60,1761845881168.579,edge3,1
5916.55,-1,6,12.15,59,1761845882167.947,edge3,1
7874.4,13,7,12.03,59,1761845883167.898,edge3,1
11933.01,-1,9,12.03,61,1761845884168.497,edge3,1
14173.16,-12,7,12.09,60,1761845885167.836,edge3,1
13947.2,-1,8,12.09,59,1761845886168.075,edge3,1
13663.45,2,8,12.09,58,1761845887167.905,edge3,1
10912.17,3,10,12.03,50,1761845888169.151,edge3,2
13549.38,-3,8,12.03,73,1761845889167.761,edge3,2
7522.63,-2,6,12.03,60,1761845890168.452,edge3,2
8237.41,2,7,12.08,60,1761845891167.818,edge3,2
8888.87,-1,7,12.08,60,1761845892167.74,edge3,2
10247.95,1,7,11.87,60,1761845893168.596,edge3,2
6295.5,2,13,11.87,34,1761845894168.81,edge3,2
6058.95,-2,15,11.87,32,1761845895167.992,edge3,2
6132.1,6,15,12.74,29,1761845896169.016,edge3,2
6595.63,-4,15,12.74,32,1761845897167.937,edge3,2
6132.13,-1,15,12.74,32,1761845898170.757,edge3,2
5119.36,-3,14,12.93,33,1761845899170.769,edge3,2
4473.42,0,17,12.93,34,1761845900168.747,edge3,2
4193.25,0,14,13.85,32,1761845901167.917,edge3,2
3620.13,3,16,13.85,31,1761845902170.234,edge3,2
3080.38,0,17,13.85,31,1761845903168.565,edge3,2
3269.18,-3,17,14.24,33,1761845904167.986,edge3,2
2684.84,0,18,14.24,34,1761845905170.704,edge3,2
1501.73,0,17,14.24,34,1761845906167.846,edge3,2
1579.41,0,19,14.74,31,1761845907167.751,edge3,2
1156.22,0,17,14.74,30,1761845908167.864,edge3,2
1714.07,0,18,14.57,34,1761845909168.071,edge3,2
2468.77,1,16,14.57,32,1761845910168.131,edge3,2
3084.58,1,16,14.57,31,1761845911168.883,edge3,2
3006.51,-1,16,14.8,32,1761845912168.417,edge3,2
3205.34,1,14,14.8,32,1761845913167.991,edge3,2
2691.13,-1,17,14.8,32,1761845914167.865,edge3,2
3041.05,2,20,16,32,1761845915168.543,edge3,2
2650.48,-3,18,16,50,1761845916167.845,edge3,2
2876.18,0,22,16.11,30,1761845917167.754,edge3,2
3344.34,0,18,16.11,29,1761845918169.599,edge3,2
3600.27,3,14,16.11,36,1761845919169.102,edge3,2
3698.77,-3,18,16.88,33,1761845920168.348,edge3,2
3188.04,0,19,16.88,31,1761845921168.553,edge3,2
2710.27,0,16,16.88,35,1761845922167.851,edge3,2
1581.58,0,21,16.88,30,1761845923169.548,edge3,2
2479.96,0,20,16.88,27,1761845924168.219,edge3,2
2767.8,4,28,17.16,29,1761845925167.951,edge3,2
5889.89,-3,15,17.16,20,1761845926167.766,edge3,2
7461.78,2,15,17.16,18,1761845927167.82,edge3,2
8640.53,1,18,17.02,24,1761845928168.632,edge3,2
5675.58,-2,21,17.02,28,1761845929169.346,edge3,2
6435.73,2,22,17.27,31,1761845930168.933,edge3,2
5570.48,-4,23,17.27,28,1761845931167.956,edge3,2
4301.98,6,26,17.27,32,1761845932167.82,edge3,2
3775.79,-5,24,18.4,31,1761845933168.532,edge3,2
3181.23,1,22,18.4,30,1761845934168.165,edge3,2
3429.82,-2,25,18.4,35,1761845935167.914,edge3,2
4434.24,7,18,18.57,34,1761845936168.284,edge3,2
3226.88,-7,27,18.57,35,1761845937168.072,edge3,2
3307.05,3,24,19.56,36,1761845938169.642,edge3,2
3902.95,1,23,19.56,34,1761845939168.385,edge3,2
4747.1,-4,19,19.56,36,1761845940167.841,edge3,2
4471.05,4,22,19.48,27,1761845941168.734,edge3,2
4878.23,-3,19,19.48,22,1761845942170.337,edge3,2
4401.83,-1,32,19.48,20,1761845943168.525,edge3,2
3932.07,0,27,19.82,20,1761845944168.289,edge3,2
3615.61,0,21,19.82,20,1761845945169.613,edge3,2
4048.13,0,30,19.97,18,1761845946172.73,edge3,2
2764.16,0,37,19.97,16,1761845947167.945,edge3,2
3822.2,2,32,19.97,20,1761845948168.192,edge3,2
4043.1,-2,34,20.15,19,1761845949168.868,edge3,2
2792.67,0,35,20.15,17,1761845950167.98,edge3,2
2636.64,2,34,20.15,18,1761845951168.622,edge3,2
3697.41,-2,26,21.25,23,1761845952170.39,edge3,2
3388.88,1,26,21.25,22,1761845953168.394,edge3,2
2605.33,1,31,21.18,18,1761845954172.052,edge3,2
2457.77,-2,29,21.18,18,1761845955168.957,edge3,2
2785.76,1,25,21.18,22,1761845956168.62,edge3,2
2486.27,5,27,22.03,21,1761845957167.979,edge3,2
2231.17,-5,28,22.03,19,1761845958168.627,edge3,2
3738.18,1,25,22.03,28,1761845959168.602,edge3,2
5044.08,-1,31,21.79,41,1761845960170.276,edge3,2
5269.01,-1,27,21.79,18,1761845961169.927,edge3,2
4940.52,1,28,22.11,18,1761845962168.334,edge3,2
4189.88,1,20,22.11,15,1761845963171.033,edge3,2
4565.64,-2,27,22.11,14,1761845964168.319,edge3,2
2596.99,0,29,22.17,15,1761845965168.053,edge3,2
4683.64,0,24,22.17,17,1761845966168.016,edge3,2
4454.63,4,25,22.17,18,1761845967169.663,edge3,2
3768.72,-4,21,22.55,18,1761845968170.231,edge3,2
4090.55,11,17,22.55,16,1761845969173.109,edge3,2
4351.63,-11,23,22.66,17,1761845970167.844,edge3,2
3061.29,5,24,22.66,21,1761845971170.255,edge3,2
5369.08,3,21,22.66,21,1761845972167.855,edge3,2
4630.16,-8,27,22.81,11,1761845973169.992,edge3,2
1759.84,2,27,23.3,58,1761845978168.262,edge3,2
1490.49,-6,33,23.3,44,1761845979167.949,edge3,2
1488.25,0,29,23.3,21,1761845980168.316,edge3,2
1728.16,2,28,23.79,19,1761845981170.609,edge3,2
1360.41,-2,23,23.79,20,1761845982170.467,edge3,2
1576.63,1,28,23.79,23,1761845983167.934,edge3,2
1644.83,-1,26,23.83,18,1761845984168.316,edge3,2
1852.41,0,28,23.83,22,1761845985169.442,edge3,2
1945.6,0,32,24.18,22,1761845986167.888,edge3,2
2330.7,2,29,24.18,18,1761845987169.668,edge3,2
2478.89,-1,30,24.18,20,1761845988170.698,edge3,2
2531.6,3,25,24.34,23,1761845989169.166,edge3,2
1538.8,-4,26,24.34,18,1761845990167.964,edge3,2
1226.87,2,28,24.34,28,1761845991172.357,edge3,2
1479.6,-2,26,24.53,18,1761845992169.015,edge3,2
1461.43,0,26,24.53,22,1761845993167.984,edge3,2
1418.79,0,33,25.38,19,1761845994169.531,edge3,2
1067.32,1,33,25.38,22,1761845995169.89,edge3,2
1308.93,-1,30,25.38,22,1761845996167.848,edge3,2
1501.88,0,20,25.34,21,1761845997168.039,edge3,2
992.66,0,27,25.34,20,1761845998172.24,edge3,2
1402.95,0,30,25.34,18,1761845999169.525,edge3,2
1060.89,0,29,25.99,22,1761846000168.86,edge3,2
1175.06,0,27,25.99,19,1761846001169.73,edge3,2
1028.59,2,37,26.03,23,1761846002171.444,edge3,2
1972.07,-2,30,26.03,23,1761846003170.816,edge3,2
2713.79,0,31,26.03,20,1761846004169.135,edge3,2
2546.57,0,26,26.64,21,1761846005168.022,edge3,2
2372.51,0,30,26.64,19,1761846006168.504,edge3,2
2000.64,0,28,26.51,20,1761846007170.929,edge3,2
1740.89,0,29,26.51,21,1761846008168.501,edge3,2
1363.9,4,28,26.51,19,1761846009169.351,edge3,2
1674.88,0,32,26.56,20,1761846010168.143,edge3,2
2097.24,-1,30,26.56,20,1761846011170.433,edge3,2
2373.8,3,26,26.56,21,1761846012167.952,edge3,2
2414.91,-6,31,27.43,19,1761846013171.685,edge3,2
2477.84,0,31,27.43,21,1761846014167.976,edge3,2
2694.37,0,32,27.58,19,1761846015168.961,edge3,2
2383.47,0,33,27.58,18,1761846016169.807,edge3,2
2688.23,0,33,27.58,19,1761846017168.424,edge3,2
3069.2,7,31,28.2,18,1761846018169.183,edge3,2
4203.13,-7,27,28.2,19,1761846019169.662,edge3,2
4491.99,1,26,28.2,20,1761846020170.044,edge3,2
3577.4,-1,27,28.26,18,1761846021172.389,edge3,2
3446.07,0,37,28.26,15,1761846022173.58,edge3,2
2916.47,0,32,28.63,21,1761846023167.897,edge3,2
2364.52,2,24,28.63,19,1761846024168.86,edge3,2
2999.6,-1,27,28.63,18,1761846025168.7,edge3,2
3711.93,-1,23,28.52,21,1761846026168.57,edge3,2
3162.31,2,27,28.52,18,1761846027167.938,edge3,2
3145.71,7,23,28.52,19,1761846028169.481,edge3,2
5072.85,-9,27,28.84,19,1761846029171.197,edge3,2
5278.3,0,30,28.84,18,1761846030167.915,edge3,2
4700.73,0,31,29.51,18,1761846031173.358,edge3,2
4562.53,5,29,29.51,19,1761846032167.973,edge3,2
4129.21,-5,33,29.51,17,1761846033169.089,edge3,2
4622.56,0,35,29.62,19,1761846034171.827,edge3,2
3891.65,0,31,29.62,18,1761846035169.696,edge3,2
4053.07,0,28,29.62,18,1761846036168.087,edge3,2
3790.66,0,32,30.14,20,1761846037169.967,edge3,2
3566.17,0,33,30.14,16,1761846038173.544,edge3,2
3748.73,0,34,30.13,19,1761846039169.638,edge3,2
3341.68,0,34,30.13,17,1761846040171.148,edge3,2
3631.82,0,34,30.13,17,1761846041167.831,edge3,2
3746.67,7,32,30.64,17,1761846042172.992,edge3,2
5754.94,-4,27,30.64,22,1761846043168.361,edge3,2
4005.82,-3,38,30.64,15,1761846044170.781,edge3,2
6236.74,0,33,30.69,21,1761846045168.417,edge3,2
6458.11,0,34,30.69,18,1761846046167.954,edge3,2
5488.16,2,31,31,18,1761846047168.878,edge3,2
