bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
19.99,0,50,72,4,1761885134500.297,edge3,6
8.59,0,111,60.8,1,1761885135499.376,edge3,6
14.14,0,141,60.8,4,1761885136499.332,edge3,6
12.73,0,160,60.8,3,1761885137499.286,edge3,6
40.55,0,129,58.17,6,1761885138499.264,edge3,6
42.3,0,149,58.17,5,1761885139499.462,edge3,6
16.97,0,179,62.14,5,1761885140499.412,edge3,6
27.02,0,169,62.14,5,1761885141499.443,edge3,6
18.75,0,178,62.14,5,1761885142499.299,edge3,6
9.01,0,197,70.5,3,1761885143499.284,edge3,6
42.05,0,174,70.5,6,1761885144499.566,edge3,6
36.11,0,183,70.5,5,1761885145499.742,edge3,6
56.59,0,143,71.67,6,1761885146499.429,edge3,6
61.89,0,139,71.67,6,1761885147499.924,edge3,6
22.6,0,160,65.2,6,1761885148499.341,edge3,6
22.73,0,185,65.2,5,1761885149499.26,edge3,6
22.07,0,220,65.2,4,1761885150499.216,edge3,6
15.03,0,246,64.73,2,1761885151499.336,edge3,6
26.71,0,241,64.73,4,1761885152499.924,edge3,6
13.89,0,246,60.42,2,1761885153499.539,edge3,6
26.79,0,241,60.42,4,1761885154499.31,edge3,6
20.88,0,278,60.42,3,1761885155499.457,edge3,6
6.95,0,290,59.08,1,1761885156499.266,edge3,6
49.15,0,279,59.08,5,1761885157499.724,edge3,6
14.44,0,297,59.08,2,1761885158500.043,edge3,6
32.13,0,279,61.21,4,1761885159499.351,edge3,6
13.9,0,303,61.21,2,1761885160499.68,edge3,6
6.03,0,308,59.67,1,1761885161499.247,edge3,6
13.63,0,339,59.67,2,1761885162499.727,edge3,6
13.62,0,374,59.67,2,1761885163499.193,edge3,6
19.55,0,346,60.44,3,1761885164499.253,edge3,6
26.98,0,338,60.44,4,1761885165499.264,edge3,6
20.63,0,342,60.44,2,1761885166499.901,edge3,6
13.06,0,358,58,2,1761885167499.397,edge3,6
27.31,0,347,58,4,1761885168499.493,edge3,6
14.4,0,357,58.39,2,1761885169499.841,edge3,6
21.44,0,330,58.39,3,1761885170499.353,edge3,6
19.84,0,361,58.39,3,1761885171501.252,edge3,6
6.14,0,338,55.95,1,1761885172499.387,edge3,6
38.66,0,296,55.95,6,1761885173499.301,edge3,6
12.85,0,330,55.95,2,1761885174499.566,edge3,6
85.88,0,246,55.55,8,1761885175499.531,edge3,6
14.63,0,273,55.55,2,1761885176499.304,edge3,6
35.2,0,286,57.52,3,1761885177499.578,edge3,6
28.09,0,266,57.52,4,1761885178499.807,edge3,6
33.73,0,265,57.52,3,1761885179501.45,edge3,6
6.45,0,303,56.82,2,1761885180499.299,edge3,6
28.18,0,311,56.82,2,1761885181499.589,edge3,6
52.57,0,272,56.82,4,1761885182499.767,edge3,6
39.9,0,298,58.39,3,1761885183499.298,edge3,6
18.98,0,301,58.39,2,1761885184499.392,edge3,6
42.75,0,296,56.79,3,1761885185499.24,edge3,6
68.53,0,233,56.79,8,1761885186499.347,edge3,6
27.46,0,258,56.79,2,1761885187499.694,edge3,6
31.65,0,254,57.48,3,1761885188499.355,edge3,6
145.71,0,247,57.48,5,1761885189499.196,edge3,6
64.7,0,230,57.48,4,1761885190499.578,edge3,6
83.65,0,217,55.81,3,1761885191503.353,edge3,6
42.94,0,188,55.81,4,1761885192499.311,edge3,6
32.34,0,229,56.11,4,1761885193499.25,edge3,6
24.02,0,264,56.11,3,1761885194499.498,edge3,6
