bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
324.88,0,5,11.33,62,1761884973490.396,edge3,1
571.38,0,5,11.5,58,1761884974490.835,edge3,1
639.44,0,7,12.4,61,1761884975490.182,edge3,1
845.82,0,6,12.4,60,1761884976490.042,edge3,1
838.44,0,5,12.17,60,1761884977490.09,edge3,1
443.12,0,7,12.17,60,1761884978489.909,edge3,1
386.06,0,6,12.17,60,1761884979491.345,edge3,1
494.23,0,5,13.43,60,1761884980490.924,edge3,1
29075.36,16,8,13.43,60,1761884981489.855,edge3,1
15788.29,-16,6,13.43,60,1761884982489.912,edge3,1
999.31,1,5,13.13,60,1761884983490.313,edge3,1
621.95,-1,5,13.13,60,1761884984489.963,edge3,1
5054.01,30,7,13.33,60,1761884985490.257,edge3,1
21255.16,-21,7,13.33,60,1761884986489.957,edge3,1
7853.97,-9,6,13.33,60,1761884987489.816,edge3,1
7357.75,0,7,13.4,60,1761884988489.889,edge3,1
8153.51,0,7,13.4,60,1761884989490.006,edge3,1
7868.94,2,5,13.4,60,1761884990490.428,edge3,1
7102.1,-2,6,13.18,60,1761884991489.86,edge3,1
8853.61,1,7,13.18,60,1761884992489.979,edge3,1
9063.55,0,5,12.92,60,1761884993489.878,edge3,1
10504.1,5,8,12.92,60,1761884994490.283,edge3,1
12535.68,-3,8,12.92,59,1761884995489.958,edge3,1
12077.15,-1,8,12.31,59,1761884996490.055,edge3,1
11234.02,-1,8,12.31,61,1761884997489.867,edge3,2
10857.16,3,7,12.31,60,1761884998489.783,edge3,2
9815.74,-4,7,12.57,60,1761884999489.992,edge3,2
9975.14,0,7,12.57,60,1761885000490.481,edge3,2
10174.37,9,6,12.47,60,1761885001490.025,edge3,2
8738.69,-4,11,12.47,54,1761885002490.55,edge3,2
5687.99,-5,15,12.47,36,1761885003490.109,edge3,2
6976.92,4,13,12.81,43,1761885004490.088,edge3,2
7204.15,2,14,12.81,42,1761885005489.907,edge3,2
7278.33,-1,12,13.06,43,1761885006490.079,edge3,2
6288.63,-5,14,13.06,40,1761885007490.479,edge3,2
7138.86,7,12,13.06,43,1761885008490.059,edge3,2
6693.63,-3,16,12.56,39,1761885009489.924,edge3,2
6759.01,1,15,12.56,41,1761885010489.876,edge3,2
6433.2,-5,16,12.56,37,1761885011490.629,edge3,2
5713.39,2,17,12.79,35,1761885012490.342,edge3,2
5341.73,1,19,12.79,33,1761885013490.029,edge3,2
6548.49,0,18,14.4,38,1761885014490.661,edge3,2
8118.7,0,17,14.4,43,1761885015489.947,edge3,2
7391.26,3,18,14.4,38,1761885016489.973,edge3,2
6988.03,-4,15,14.24,38,1761885017490.019,edge3,2
5852.95,4,20,14.24,33,1761885018489.902,edge3,2
6260.77,-4,21,14.24,35,1761885019490.535,edge3,2
6206.26,4,17,15.18,36,1761885020489.974,edge3,2
6474.98,-5,17,15.18,37,1761885021489.948,edge3,2
6315.24,4,16,15.13,39,1761885022490.05,edge3,2
5906.86,1,16,15.13,38,1761885023489.968,edge3,2
5969.06,-4,16,15.13,41,1761885024489.955,edge3,2
5192.41,2,16,15.46,37,1761885025489.881,edge3,2
5429.33,-2,17,15.46,40,1761885026490.14,edge3,2
4017.62,2,19,15.46,36,1761885027490.081,edge3,3
4490.92,-4,16,15.16,57,1761885028489.85,edge3,3
4394.63,2,15,15.16,59,1761885029489.962,edge3,3
4771.2,0,15,14.92,55,1761885030489.894,edge3,3
4994.91,0,14,14.92,54,1761885031489.797,edge3,3
4719.06,0,17,14.92,55,1761885032492.111,edge3,3
1854.67,1,32,16.74,22,1761885033490.444,edge3,3
1938.43,-3,32,16.74,21,1761885034490.007,edge3,3
1962.61,2,34,16.74,21,1761885035490.149,edge3,3
1850.78,-2,34,16.86,19,1761885036490.118,edge3,3
1957.29,0,34,16.86,19,1761885037490.224,edge3,3
2474.2,1,29,17.76,23,1761885038491.314,edge3,3
2180.81,-1,30,17.76,22,1761885039490.122,edge3,3
2336.1,2,29,17.76,22,1761885040490.376,edge3,3
2182.34,1,34,20.33,21,1761885041491.564,edge3,3
2200.31,-3,36,20.33,19,1761885042491.19,edge3,3
2515.27,2,37,20.33,20,1761885043492.617,edge3,3
2344.7,-2,29,20.65,20,1761885044489.866,edge3,3
2361.67,1,47,20.65,16,1761885045490.305,edge3,3
3335.21,1,34,22.41,24,1761885046489.894,edge3,3
2522.84,0,35,22.41,19,1761885047490.149,edge3,3
3359.2,-1,34,22.41,23,1761885048492.254,edge3,3
3041.32,0,36,22.09,21,1761885049490.54,edge3,3
2874.98,-1,34,22.09,20,1761885050490.005,edge3,3
2875.59,0,37,22.09,19,1761885051489.904,edge3,3
2560.07,0,33,23.06,18,1761885052490.066,edge3,3
2925.06,0,35,23.06,18,1761885053490.759,edge3,3
3369.44,2,34,22.54,24,1761885054489.872,edge3,3
2471.37,-2,34,22.54,21,1761885055492.105,edge3,3
1668.27,2,43,22.54,16,1761885056494.875,edge3,3
1712.03,-2,40,23.53,19,1761885057490.996,edge3,4
2558.45,1,28,23.53,28,1761885058490.389,edge3,4
2478.73,0,29,23.53,27,1761885059489.797,edge3,4
3035.88,0,28,23.22,28,1761885060490.062,edge3,4
2824.57,2,34,23.22,24,1761885061489.821,edge3,4
2954.92,-3,36,23.89,22,1761885062494.565,edge3,4
1343.83,0,52,23.89,10,1761885063490.001,edge3,4
1335.58,1,73,23.89,8,1761885064490.02,edge3,4
1875.87,-1,55,25.49,13,1761885065490.626,edge3,4
2447.47,0,51,25.49,15,1761885066490.268,edge3,4
2031.54,4,53,25.49,13,1761885067489.995,edge3,4
2390.74,-4,46,26.27,16,1761885068490.251,edge3,4
1555.56,0,52,26.27,11,1761885069489.785,edge3,4
1766.79,1,61,27.17,10,1761885070489.937,edge3,4
1915.33,0,60,27.17,12,1761885071490.627,edge3,4
1857.84,3,54,27.17,14,1761885072490.744,edge3,4
1782.64,0,57,26.81,12,1761885073490.75,edge3,4
1223.64,-1,74,26.81,9,1761885074489.967,edge3,4
1587.23,0,67,26.81,11,1761885075489.85,edge3,4
1695.14,-3,64,27.28,10,1761885076490.201,edge3,4
1566.63,7,63,27.28,12,1761885077489.932,edge3,4
1348.91,-7,68,27.07,9,1761885078491.975,edge3,4
1552.24,0,72,27.07,10,1761885079490.923,edge3,4
1631.72,0,70,27.07,12,1761885080490.111,edge3,4
1887.91,3,67,27.6,13,1761885081489.852,edge3,4
1506.52,-3,68,27.6,11,1761885082489.856,edge3,4
1193.71,3,82,27.6,9,1761885083489.99,edge3,4
1415.74,2,83,29.22,10,1761885084490.128,edge3,4
1928.98,1,63,29.22,13,1761885085491.442,edge3,4
1851.55,-6,66,29.26,13,1761885086489.892,edge3,4
1834.52,2,53,29.26,13,1761885087489.952,edge3,4
1471.39,-2,63,29.26,10,1761885088490.157,edge3,4
1625.63,5,66,30.46,10,1761885089490.067,edge3,4
1504.72,3,64,30.46,10,1761885090489.886,edge3,4
1439.47,-1,63,30.35,10,1761885091490.424,edge3,4
1474.99,-4,70,30.35,9,1761885092490.014,edge3,5
2044.02,-3,55,30.35,16,1761885093490.442,edge3,5
2007.02,0,46,31.16,15,1761885094489.846,edge3,5
1797.6,0,48,31.16,14,1761885095489.798,edge3,5
1673.05,1,64,31.16,11,1761885096489.864,edge3,5
2005.16,1,56,31,12,1761885097489.855,edge3,5
751.19,-2,79,31,6,1761885098490.111,edge3,5
594.49,0,99,31.37,6,1761885099490.474,edge3,5
871.58,0,104,31.37,6,1761885100490.336,edge3,5
1082.38,2,96,31.37,8,1761885101490.434,edge3,5
720.13,-2,99,30.85,7,1761885102490.029,edge3,5
918.52,6,101,30.85,7,1761885103489.817,edge3,5
554.2,-6,121,30.85,4,1761885104490.064,edge3,5
322.46,6,158,31,2,1761885105490.346,edge3,5
1006.87,-6,138,31,7,1761885106489.863,edge3,5
409.67,0,171,31,3,1761885107491.621,edge3,5
791.85,3,149,32.05,6,1761885108490.042,edge3,5
1087.59,-3,118,32.05,9,1761885109490.093,edge3,5
476.68,0,148,31.95,3,1761885110489.885,edge3,5
939.5,0,141,31.95,6,1761885111490.126,edge3,5
940.74,4,144,31.95,4,1761885112489.837,edge3,5
755.59,-4,150,32.53,5,1761885113492.802,edge3,5
1063,0,134,32.53,5,1761885114490.363,edge3,5
1020.73,11,156,32.36,5,1761885115489.904,edge3,5
1259.64,-11,150,32.36,5,1761885116489.903,edge3,5
1165.8,0,153,32.36,5,1761885117489.876,edge3,5
916.45,0,179,32.8,3,1761885118492.653,edge3,5
2082.38,0,142,32.8,9,1761885119489.884,edge3,5
1098.27,0,151,32.8,4,1761885120489.806,edge3,5
1323.98,8,149,33.88,5,1761885121489.818,edge3,5
2357.77,-8,132,33.88,8,1761885122490.501,edge3,5
1087.82,0,146,34.28,4,1761885123489.82,edge3,5
1075.24,13,160,34.28,4,1761885124490.02,edge3,5
1580.45,-13,156,34.28,6,1761885125489.914,edge3,5
1542.08,9,138,35.16,6,1761885126489.894,edge3,5
1200.15,-1,145,35.16,5,1761885127494.819,edge3,6
1102.94,-8,157,35.16,4,1761885128490.329,edge3,6
1365.72,0,168,35.19,5,1761885129491.096,edge3,6
2027.25,0,128,35.19,8,1761885130490.366,edge3,6
1311.52,0,142,35.73,5,1761885131490.369,edge3,6
1189.91,0,160,35.73,4,1761885132493.644,edge3,6
1022.82,0,178,35.73,4,1761885133489.824,edge3,6
767.13,0,194,35.65,3,1761885134490.197,edge3,6
304.54,0,203,35.65,1,1761885135489.787,edge3,6
856.84,0,254,35.65,3,1761885136490.428,edge3,6
583.54,0,236,36.27,2,1761885137490.146,edge3,6
2253.19,0,189,36.27,9,1761885138489.849,edge3,6
1261.52,0,183,35.94,4,1761885139490.301,edge3,6
1002.28,0,190,35.94,3,1761885140491.266,edge3,6
995.76,0,213,35.94,4,1761885141490.118,edge3,6
1154.07,0,206,36.22,4,1761885142489.869,edge3,6
271.88,0,235,36.22,1,1761885143494.333,edge3,6
2107.77,4,190,36.22,7,1761885144489.955,edge3,6
614.24,-4,218,35.94,3,1761885145489.891,edge3,6
1832.92,6,180,35.94,6,1761885146490.322,edge3,6
1448.01,-6,150,36.06,7,1761885147491.67,edge3,6
442.35,0,189,36.06,2,1761885148489.979,edge3,6
579.34,0,203,36.06,3,1761885149489.774,edge3,6
566.61,0,232,36.7,2,1761885150490.017,edge3,6
194.3,0,253,36.7,1,1761885151489.848,edge3,6
1179.43,0,241,36.7,5,1761885152489.806,edge3,6
752.56,0,248,36.51,3,1761885153489.882,edge3,6
903.07,0,248,36.51,4,1761885154489.935,edge3,6
428.97,0,263,37.05,2,1761885155490.196,edge3,6
236.46,0,288,37.05,1,1761885156491.701,edge3,6
598.54,0,312,37.05,3,1761885157497.18,edge3,6
420.62,0,322,36.76,2,1761885158489.729,edge3,6
1097.57,0,281,36.76,5,1761885159490.234,edge3,6
431.9,0,295,36.76,2,1761885160489.804,edge3,6
186.22,0,320,37,1,1761885161489.772,edge3,6
367.72,0,319,37,2,1761885162490.366,edge3,6
464.22,0,350,37.91,2,1761885163489.774,edge3,6
633.9,0,330,37.91,4,1761885164489.768,edge3,6
640.47,0,301,37.91,4,1761885165490.214,edge3,6
351.49,0,318,37.91,2,1761885166489.887,edge3,6
120.05,0,345,37.91,1,1761885167493.044,edge3,6
476.93,0,335,37.91,3,1761885168490.669,edge3,6
136.47,0,356,38.56,1,1761885169489.825,edge3,6
605.47,0,341,38.56,3,1761885170491.014,edge3,6
466.35,0,358,38.35,3,1761885171489.827,edge3,6
354.47,0,351,38.35,2,1761885172490.151,edge3,6
885.14,0,289,38.35,5,1761885173489.832,edge3,6
343.7,0,320,39,2,1761885174489.837,edge3,6
1119.13,0,249,39,7,1761885175492.314,edge3,6
225.99,0,272,39,1,1761885176491.325,edge3,6
524.66,2,295,38.93,2,1761885177495.385,edge3,6
781.16,-2,268,38.93,5,1761885178492.332,edge3,6
487.15,4,279,39.2,2,1761885179490.999,edge3,6
192.02,-4,279,39.2,1,1761885180489.852,edge3,6
538.86,5,314,39.2,3,1761885181490.583,edge3,6
717.38,-5,309,38.8,4,1761885182493.338,edge3,6
446.56,0,321,38.8,2,1761885183489.855,edge3,6
343.1,0,339,38.94,2,1761885184490.776,edge3,6
466.99,0,313,38.94,2,1761885185490.307,edge3,6
1302.4,0,253,38.94,7,1761885186490.124,edge3,6
643.54,6,260,39.56,2,1761885187489.811,edge3,6
762.52,-6,256,39.56,4,1761885188490.749,edge3,6
723.27,0,242,39.56,4,1761885189489.89,edge3,6
939.73,0,223,40.91,4,1761885190491.025,edge3,6
