bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
176.32,2,11,101.67,64,1764507109521.369,edge1,1
858.94,4,30,99,59,1764507110519.339,edge1,1
812.16,-4,34,106.4,62,1764507111518.846,edge1,1
985.09,6,33,106.4,57,1764507112518.781,edge1,1
1264.46,-5,23,106.4,60,1764507113519.104,edge1,1
1020.05,1,37,118.5,58,1764507114520.443,edge1,1
1689.62,4,28,118.5,63,1764507115518.75,edge1,1
1733.3,1,26,118.5,61,1764507116518.91,edge1,1
12952.17,160,18,120.57,57,1764507117518.919,edge1,1
34562.13,-150,11,120.57,60,1764507118519.075,edge1,1
2150.43,-11,22,113.13,65,1764507119518.843,edge1,1
1239.03,-8,27,113.13,53,1764507120519.321,edge1,1
470.33,4,32,113.13,60,1764507121518.897,edge1,1
17195.52,103,15,100.89,59,1764507122518.773,edge1,1
15803.23,-50,18,100.89,59,1764507123518.766,edge1,1
8326.23,-22,22,101.9,59,1764507124521.341,edge1,1
8634.69,-12,15,101.9,63,1764507125518.868,edge1,1
10416.35,24,17,101.9,57,1764507126518.82,edge1,1
9111.55,-13,14,102,63,1764507127519.221,edge1,1
8741.36,-2,17,102,59,1764507128518.831,edge1,1
10114.29,-17,18,102,61,1764507129518.751,edge1,1
11724.66,35,18,106.17,60,1764507130518.862,edge1,1
12848.98,-16,12,106.17,59,1764507131519.463,edge1,1
15082.25,42,15,105.77,61,1764507132518.794,edge1,1
13897.78,-59,16,105.77,59,1764507133518.837,edge1,1
12652.61,12,15,105.77,61,1764507134518.907,edge1,1
11731.61,31,17,110.86,59,1764507135518.925,edge1,1
11547.95,-25,15,110.86,61,1764507136518.867,edge1,1
12051.88,-11,17,110.86,59,1764507137518.748,edge1,1
11352.56,40,16,110.73,60,1764507138518.863,edge1,1
11549.06,-28,18,110.73,60,1764507139518.924,edge1,1
10939.72,20,16,107.75,60,1764507140518.864,edge1,1
12650.17,-15,13,107.75,61,1764507141519.006,edge1,1
10584.71,13,20,107.75,57,1764507142518.913,edge1,1
11580.07,-19,19,105.35,62,1764507143518.963,edge1,1
11567.99,12,18,105.35,58,1764507144518.853,edge1,1
12097.66,-11,17,105.35,61,1764507145518.781,edge1,1
11349.78,7,14,109.06,60,1764507146518.776,edge1,1
12713.44,-5,15,109.06,61,1764507147518.787,edge1,1
13482.98,-4,13,112.05,54,1764507148518.837,edge1,1
12700.48,-5,12,112.05,65,1764507149522.585,edge1,1
11612.21,17,17,112.05,60,1764507150518.971,edge1,1
11855.94,15,18,113.5,58,1764507151518.842,edge1,1
10872.09,-41,21,113.5,60,1764507152519.455,edge1,1
10770.91,21,18,113.5,60,1764507153518.973,edge1,1
9677.42,12,21,109.24,60,1764507154518.802,edge1,1
7220.09,-41,26,109.24,61,1764507155519.085,edge1,1
4985.03,1,23,108.64,60,1764507156518.809,edge1,1
5506.85,24,21,108.64,60,1764507157518.858,edge1,1
6714.2,-20,22,108.64,58,1764507158519.13,edge1,1
6333.89,6,19,106.3,61,1764507159519.002,edge1,1
6270.3,7,29,106.3,57,1764507160519.061,edge1,1
7152.97,3,19,106.3,64,1764507161518.91,edge1,1
7407.93,1,18,104.46,59,1764507162518.919,edge1,1
8035.83,6,19,104.46,60,1764507163518.82,edge1,1
9870.55,-6,16,103.44,60,1764507164519.308,edge1,1
9380.44,-16,21,103.44,58,1764507165518.904,edge1,1
9127.32,32,16,103.44,62,1764507166518.802,edge1,1
9182.69,-9,18,99.58,57,1764507167518.906,edge1,1
9326.55,7,21,99.58,62,1764507168518.825,edge1,1
7551.18,-13,17,99.58,59,1764507169519.143,edge1,1
5970.22,-10,18,101.56,58,1764507170518.735,edge1,1
5876.73,-2,17,101.56,59,1764507171518.806,edge1,1
6251.53,23,24,98.04,60,1764507172521.037,edge1,1
7924.56,-1,18,98.04,62,1764507173519.008,edge1,1
10103.37,-14,20,98.04,59,1764507174518.884,edge1,1
9873.76,35,17,101.28,60,1764507175518.982,edge1,1
9889.45,-15,18,101.28,58,1764507176518.873,edge1,1
10274.37,-29,18,101.28,59,1764507177518.744,edge1,1
9265.56,28,16,100.83,58,1764507178518.8,edge1,1
9758.83,-8,15,100.83,59,1764507179518.866,edge1,1
9475.29,-26,19,99.32,60,1764507180519.438,edge1,1
9265.12,11,19,99.32,61,1764507181518.841,edge1,1
8139.05,1,18,99.32,61,1764507182522.284,edge1,1
8684.09,-3,19,96.31,59,1764507183518.968,edge1,1
8201.58,14,17,96.31,61,1764507184518.983,edge1,1
8911.12,-9,19,96.31,60,1764507185518.977,edge1,1
6292.91,-3,21,97.39,61,1764507186519.034,edge1,1
7214.95,-2,17,97.39,59,1764507187518.848,edge1,1
7242.2,14,18,97.88,61,1764507188518.819,edge1,1
11419.76,4,15,97.88,60,1764507189518.832,edge1,1
14583.92,13,12,97.88,59,1764507190518.884,edge1,1
16466.8,12,15,98.54,59,1764507191518.923,edge1,1
15875.85,-6,16,98.54,61,1764507192518.951,edge1,1
15513.68,7,15,98.54,59,1764507193519.293,edge1,1
14721.05,-27,13,98.97,60,1764507194518.852,edge1,1
11185.07,-7,17,98.97,59,1764507195519.98,edge1,1
8701.44,-8,15,98.08,57,1764507196519.476,edge1,1
9942.52,15,19,98.08,63,1764507197519.032,edge1,1
11167.73,-3,16,98.08,58,1764507198518.77,edge1,1
12376.89,36,16,98.42,61,1764507199518.877,edge1,1
14049.77,-31,10,98.42,61,1764507200518.903,edge1,1
14557.51,-11,17,98.42,59,1764507201519.454,edge1,1
10910.72,25,15,100.33,59,1764507202518.88,edge1,1
9678.45,-31,12,100.33,59,1764507203518.857,edge1,1
7636.53,-7,23,99.55,62,1764507204518.868,edge1,1
6748.69,-17,22,99.55,60,1764507205520.123,edge1,1
3680.18,14,21,99.55,58,1764507206518.847,edge1,1
3138.91,-4,28,98.22,59,1764507207518.934,edge1,1
5168.88,-8,25,98.22,60,1764507208519.009,edge1,1
5706.65,12,22,97.26,61,1764507209519.039,edge1,1
5984.34,1,19,97.26,59,1764507210518.903,edge1,1
7018.39,-9,20,97.26,60,1764507211519.459,edge1,1
7440.42,45,19,95.53,60,1764507212519.338,edge1,1
7567.48,-18,19,95.53,58,1764507213519.531,edge1,1
7690.3,-10,14,95.53,61,1764507214518.948,edge1,1
4971.38,-14,19,96.61,61,1764507215519.245,edge1,1
3448.35,4,18,96.61,60,1764507216518.818,edge1,1
3529.2,-8,23,95.4,59,1764507217519.078,edge1,1
4145.97,1,21,95.4,60,1764507218519.184,edge1,1
9081.9,20,26,95.4,60,1764507219519.017,edge1,1
13086.81,30,17,96.35,56,1764507220519.04,edge1,1
15879.31,3,12,96.35,61,1764507221518.733,edge1,1
16174.13,-22,13,96.35,59,1764507222518.762,edge1,1
10113.72,20,19,97,60,1764507223519.272,edge1,1
11556.52,-8,21,97,58,1764507224518.771,edge1,1
10447.23,-10,16,95.9,63,1764507225518.874,edge1,1
11781.77,13,20,95.9,60,1764507226518.959,edge1,1
14076.55,12,15,95.9,59,1764507227518.968,edge1,1
12916.55,-15,13,96.18,61,1764507228518.936,edge1,1
12644.09,-15,12,96.18,61,1764507229519.038,edge1,1
12822.95,-5,16,96.18,59,1764507230518.79,edge1,1
9306.93,-2,15,95.16,60,1764507231518.858,edge1,1
9365.03,7,13,95.16,60,1764507232518.826,edge1,1
8774.8,-12,21,95.49,60,1764507233519.9,edge1,1
8199.44,18,15,95.49,59,1764507234519.255,edge1,1
6360.57,-20,19,95.49,61,1764507235518.958,edge1,1
7529.33,19,15,96.5,60,1764507236518.836,edge1,1
6699.3,-20,23,96.5,56,1764507237518.878,edge1,1
7715.31,3,17,96.5,64,1764507238519.018,edge1,1
6589.63,-6,16,97.09,59,1764507239518.937,edge1,1
7065.45,-4,13,97.09,61,1764507240518.911,edge1,1
5479.62,3,21,96.26,60,1764507241520.035,edge1,1
6886.1,7,22,96.26,58,1764507242518.874,edge1,1
6161.66,5,21,96.26,62,1764507243518.737,edge1,1
11335.15,9,17,96.42,59,1764507244518.926,edge1,1
8994.26,-8,16,96.42,61,1764507245519.008,edge1,1
10627.66,15,15,96.42,57,1764507246518.852,edge1,1
10557.32,-1,16,96,61,1764507247519.058,edge1,1
13430.66,-23,16,96,61,1764507248518.966,edge1,1
11100.41,40,18,97.98,60,1764507249518.782,edge1,1
8137.77,-46,18,97.98,59,1764507250518.783,edge1,1
5127.15,-1,19,97.98,60,1764507251518.854,edge1,1
4534.41,14,22,98.09,60,1764507252519.302,edge1,1
4591.79,-21,17,98.09,60,1764507253519.13,edge1,1
4463.89,11,21,98.09,60,1764507254519.006,edge1,1
5337.16,6,18,98.36,59,1764507255519.21,edge1,1
6138.5,13,15,98.36,59,1764507256518.878,edge1,1
7175.7,-7,17,98.27,61,1764507257518.954,edge1,1
5750.23,-18,20,98.27,56,1764507258518.813,edge1,1
3573.03,-4,15,98.27,65,1764507259518.912,edge1,1
3662.9,8,18,97.31,60,1764507260519.595,edge1,1
4413.3,-2,18,97.31,60,1764507261519.501,edge1,1
3376.55,4,20,97.31,60,1764507262518.812,edge1,1
3619.24,-17,31,96.85,60,1764507263519.379,edge1,1
2886.95,17,26,96.85,59,1764507264519.05,edge1,1
3531.91,-12,22,96.95,60,1764507265519.015,edge1,1
3309.44,2,22,96.95,61,1764507266518.802,edge1,1
3086.05,1,26,96.95,60,1764507267519.984,edge1,1
4655.09,1,21,96.3,60,1764507268518.941,edge1,1
7543.24,17,16,96.3,59,1764507269518.859,edge1,1
6611.93,0,23,96.3,60,1764507270519.004,edge1,1
5586.73,-15,25,95.91,61,1764507271519.233,edge1,1
4235.03,11,21,95.91,58,1764507272518.85,edge1,1
5433.44,-1,18,96.53,62,1764507273518.976,edge1,1
6774.8,30,24,96.53,56,1764507274518.754,edge1,1
7482.33,-41,21,96.53,63,1764507275518.793,edge1,1
8649.73,35,18,97,59,1764507276518.886,edge1,1
9906.5,-8,15,97,61,1764507277518.96,edge1,1
13992.64,-3,14,97,58,1764507278518.919,edge1,1
12690.23,-7,13,97.19,60,1764507279518.949,edge1,1
7909.61,-17,17,97.19,59,1764507280518.931,edge1,1
9631.61,20,15,96.16,59,1764507281518.983,edge1,1
9633.63,0,16,96.16,63,1764507282518.949,edge1,1
14957.81,60,13,96.16,56,1764507283518.82,edge1,1
16801.36,-61,15,95.83,62,1764507284518.803,edge1,1
14053.6,9,14,95.83,59,1764507285518.787,edge1,1
14175.48,35,15,96.06,60,1764507286518.903,edge1,1
13030.86,-18,14,96.06,60,1764507287519.003,edge1,1
12633.34,-1,17,96.06,60,1764507288518.887,edge1,1
12899.22,6,16,96.65,59,1764507289519.098,edge1,1
15406.91,1,14,96.65,61,1764507290518.949,edge1,1
17740.04,-31,11,96.65,60,1764507291519.076,edge1,1
20169.52,29,11,95.93,60,1764507292518.803,edge1,1
15117.05,-20,18,95.93,61,1764507293519.005,edge1,1
11101.15,-13,15,96.19,59,1764507294518.823,edge1,1
9364.01,-1,17,96.19,58,1764507295519.368,edge1,1
9192.07,7,17,96.19,62,1764507296519.222,edge1,1
7894.44,0,14,96.11,58,1764507297521.309,edge1,1
8329.58,-7,19,96.11,59,1764507298518.739,edge1,1
8438.95,8,22,96.11,57,1764507299518.785,edge1,1
6901.01,-3,17,95.68,63,1764507300519.033,edge1,1
5554.74,-7,21,95.68,60,1764507301518.787,edge1,1
4165.18,-13,21,95.99,59,1764507302518.949,edge1,1
4365.65,4,25,95.99,61,1764507303518.767,edge1,1
3927.76,3,23,95.99,60,1764507304518.932,edge1,1
2995.38,-12,21,96.53,58,1764507305518.83,edge1,1
2347.45,-3,25,96.53,60,1764507306519.139,edge1,1
2567.9,-1,27,96.53,60,1764507307518.911,edge1,1
2344.72,3,28,96.11,63,1764507308518.839,edge1,1
2450.3,0,22,96.11,61,1764507309518.765,edge1,1
2621.49,-2,23,95.45,59,1764507310518.831,edge1,1
2296.42,10,25,95.45,59,1764507311518.738,edge1,1
3584.52,2,21,95.45,58,1764507312518.931,edge1,1
4323.13,-5,23,96.69,62,1764507313518.862,edge1,1
6536.3,12,16,96.69,56,1764507314518.844,edge1,1
5920.16,-1,22,96.69,63,1764507315519.263,edge1,1
4338.78,-15,17,96.9,62,1764507316518.997,edge1,1
3493.84,3,21,96.9,60,1764507317518.985,edge1,1
2753.15,3,25,97.52,59,1764507318520.014,edge1,1
3127.42,2,19,97.52,62,1764507319518.762,edge1,1
4031.35,19,21,97.52,57,1764507320518.901,edge1,1
4595.38,-24,24,97.27,62,1764507321518.845,edge1,1
2975.73,-2,23,97.27,60,1764507322518.908,edge1,1
3699.85,14,25,97.27,58,1764507323518.822,edge1,1
5293.88,15,20,97.32,59,1764507324519.169,edge1,1
7985.17,-8,20,97.32,61,1764507325518.979,edge1,1
8196.75,-1,18,98.22,60,1764507326519.154,edge1,1
7345.41,9,18,98.22,62,1764507327518.849,edge1,1
11453.7,4,13,98.22,57,1764507328518.84,edge1,1
12511.38,25,12,98.34,58,1764507329519.02,edge1,1
14917.2,19,16,98.34,63,1764507330519.23,edge1,1
13394.22,-45,13,98.34,62,1764507331519.33,edge1,1
11725.97,5,17,98.49,57,1764507332519.036,edge1,1
9118.67,-13,14,98.49,63,1764507333518.913,edge1,1
8885.08,2,15,98.69,59,1764507334518.915,edge1,1
9043.27,-3,18,98.69,60,1764507335518.929,edge1,1
11240.55,7,16,98.69,61,1764507336518.918,edge1,1
10387.04,6,17,98.53,58,1764507337518.911,edge1,1
7456.74,-3,20,98.53,60,1764507338518.874,edge1,1
10924.72,20,19,98.53,58,1764507339518.809,edge1,1
10521.46,-10,20,98.58,61,1764507340518.928,edge1,1
9019.9,-30,20,98.58,60,1764507341518.968,edge1,1
9021.03,6,19,97.66,61,1764507342518.74,edge1,1
7434.91,4,21,97.66,62,1764507343519.284,edge1,1
7449.49,-6,18,97.66,58,1764507344518.749,edge1,1
