bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
238.7,0,18,38,46,1764583743866.553,edge2,3
415.65,0,28,38.5,32,1764583744866.457,edge2,3
289.85,3,46,56.4,23,1764583745866.266,edge2,3
607.94,2,27,56.4,43,1764583746866.31,edge2,3
906.82,-4,21,56.4,45,1764583747866.33,edge2,3
668.35,1,27,52.67,43,1764583748866.998,edge2,3
975.5,-1,18,52.67,47,1764583749866.501,edge2,3
354.03,-1,47,59.86,37,1764583750866.715,edge2,3
503.04,1,39,59.86,45,1764583751866.25,edge2,3
319.91,-1,33,59.86,35,1764583752866.397,edge2,3
253.8,0,36,64.75,35,1764583753867.258,edge2,4
224.69,0,42,64.75,32,1764583754866.308,edge2,4
7228.52,46,17,64.75,41,1764583755866.216,edge2,4
14151.84,5,15,61.44,29,1764583756866.239,edge2,4
6014.53,-51,15,61.44,12,1764583757866.263,edge2,4
9930.13,1,46,59.1,13,1764583758866.468,edge2,4
6879.32,-1,45,59.1,10,1764583759867.388,edge2,4
696.36,0,77,59.1,3,1764583760866.375,edge2,4
319.65,0,110,57.36,4,1764583761867.14,edge2,4
355.11,0,85,57.36,8,1764583762866.318,edge2,4
117.65,0,138,57.36,3,1764583763866.349,edge2,4
91.91,0,153,63.83,4,1764583764867.219,edge2,4
45.2,0,159,63.83,2,1764583765866.359,edge2,4
256.84,0,146,62.85,12,1764583766866.271,edge2,4
154.09,0,113,62.85,7,1764583767866.342,edge2,4
80.1,0,156,62.85,5,1764583768867.07,edge2,4
46.24,0,154,65.71,3,1764583769866.638,edge2,4
53.57,0,203,65.71,5,1764583770868.413,edge2,4
147.86,0,223,69.53,10,1764583772866.286,edge2,4
108.28,1,240,69.53,3,1764583773866.704,edge2,4
80.18,-1,179,66.94,11,1764583774866.301,edge2,4
17.88,0,182,66.94,3,1764583775866.299,edge2,4
12.9,0,241,66.94,1,1764583776866.806,edge2,4
11.64,0,217,69.12,3,1764583777866.505,edge2,4
112.45,1,196,69.12,10,1764583778866.287,edge2,4
138.46,-1,150,69.12,9,1764583779871.368,edge2,4
38.88,0,193,71,4,1764583780866.367,edge2,4
161.21,0,151,71,10,1764583781866.271,edge2,4
53.46,0,116,73.26,10,1764583782867.632,edge2,4
15.14,0,139,73.26,3,1764583783866.258,edge2,4
42.28,0,159,73.26,7,1764583784866.636,edge2,4
38.22,0,158,69.8,6,1764583785866.424,edge2,4
6.22,0,198,69.8,1,1764583786867.206,edge2,4
19.79,0,246,69.8,3,1764583787866.357,edge2,4
31.02,0,225,68.62,5,1764583788866.411,edge2,4
39.67,0,226,68.62,7,1764583789866.425,edge2,4
23.87,0,233,68.14,4,1764583790866.482,edge2,4
19.63,0,233,68.14,4,1764583791866.242,edge2,4
40.05,0,197,68.14,6,1764583792867.082,edge2,4
43.05,0,205,67.35,7,1764583793866.432,edge2,4
40.23,0,262,67.35,7,1764583795866.253,edge2,4
87.85,0,159,68.92,8,1764583796866.428,edge2,4
387.82,0,177,68.92,7,1764583797867.109,edge2,4
91.53,2,235,68.96,4,1764583798866.238,edge2,4
49.73,1,277,68.96,1,1764583799866.584,edge2,4
3408.48,-3,176,68.96,11,1764583800866.365,edge2,4
2956.09,0,193,70.85,4,1764583801866.242,edge2,4
4481.33,0,122,70.85,8,1764583802866.786,edge2,4
1975.69,13,147,70,6,1764583803866.222,edge2,4
911.73,-13,179,70,3,1764583804866.281,edge2,4
1595.8,0,193,70,3,1764583805866.361,edge2,4
1827.84,0,223,70.04,6,1764583807866.678,edge2,3
4334.48,0,156,70.04,13,1764583808868.234,edge2,3
5260.03,19,76,69.03,10,1764583809866.282,edge2,3
4591.38,-19,76,69.03,6,1764583810868.096,edge2,3
5509.83,10,91,69.03,2,1764583811866.639,edge2,3
598.39,-3,125,70.17,3,1764583812866.775,edge2,3
4809.33,-7,75,70.17,1,1764583813868.688,edge2,3
2923.52,0,99,70.58,3,1764583815866.244,edge2,3
348.09,35,146,70.58,2,1764583816866.617,edge2,3
8883.33,-12,55,69.91,1,1764583817866.237,edge2,3
4418.63,-23,64,69.91,2,1764583818867.056,edge2,3
5483.08,44,93,68.94,3,1764583819866.579,edge2,3
5810.28,-27,66,68.94,3,1764583821866.456,edge2,3
4378.26,12,72,68.18,2,1764583822866.659,edge2,3
7159.23,16,99,68.18,1,1764583823866.503,edge2,3
4543.5,-28,68,68.18,3,1764583824866.499,edge2,3
2527.44,19,57,69.4,3,1764583825866.272,edge2,3
3190.1,31,41,69.79,1,1764583833866.736,edge2,3
1321.42,-31,90,69.79,2,1764583834869.23,edge2,3
6143.5,-4,44,69.69,2,1764583835866.382,edge2,3
3474.42,7,51,69.69,4,1764583836866.331,edge2,3
3143.38,-19,43,69.48,1,1764583843866.298,edge2,3
1251.61,-9,45,69.28,4,1764583846866.235,edge2,3
2317.36,8,60,69.28,2,1764583847866.324,edge2,3
1816.69,-8,45,69.28,122,1764583848866.396,edge2,3
2509.97,0,47,69.8,120,1764583849866.451,edge2,3
1103.66,20,78,69.8,10,1764583850866.365,edge2,3
3430.3,1,64,69.98,29,1764583851866.347,edge2,3
1838.91,-19,64,69.98,16,1764583852866.758,edge2,3
1975.42,-2,52,69.98,14,1764583853866.49,edge2,3
4732.35,22,60,71.76,30,1764583854866.391,edge2,3
3891.43,-2,38,71.76,24,1764583855866.41,edge2,3
