bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
358.66,0,4,2,60,1764517347367.473,edge3,1
497.81,0,1,2.25,61,1764517348368.009,edge3,1
539.01,0,1,3,60,1764517349367.091,edge3,1
707.91,0,2,3,60,1764517350367.005,edge3,1
670.55,0,3,3.33,60,1764517351367.182,edge3,1
600.63,0,1,3.33,60,1764517352369.172,edge3,1
586.15,0,1,3.33,60,1764517353367.14,edge3,1
1997.65,0,2,3.14,59,1764517354367.409,edge3,1
16147.95,0,2,3.14,59,1764517355368.362,edge3,1
7260.55,0,2,3.14,61,1764517356366.976,edge3,1
765.95,0,2,3.13,60,1764517357367.101,edge3,1
895.08,0,1,3.13,60,1764517358367.099,edge3,1
4417.89,0,2,3,60,1764517359367.389,edge3,1
10847.95,0,2,3,60,1764517360367.711,edge3,1
4192.88,0,1,3,60,1764517361367.401,edge3,1
4533.09,0,1,3.1,60,1764517362369.402,edge3,1
4343.2,0,1,3.1,59,1764517363367.074,edge3,1
4667.31,0,1,3.1,60,1764517364367.444,edge3,1
4189.17,0,2,3.09,60,1764517365367.479,edge3,1
5111.39,0,1,3.09,60,1764517366366.92,edge3,1
5132.04,0,1,3.17,60,1764517367367.987,edge3,1
6075.06,0,1,3.17,60,1764517368366.943,edge3,1
7151.84,0,1,3.17,60,1764517369366.883,edge3,1
6797,0,1,3.46,59,1764517370367.188,edge3,1
6299.38,0,1,3.46,61,1764517371367.243,edge3,1
6070.34,0,1,3.46,59,1764517372367.067,edge3,1
5652.22,0,1,3.5,61,1764517373366.959,edge3,1
5739.25,0,1,3.5,60,1764517374366.931,edge3,1
5751.67,0,1,3.47,60,1764517375367.542,edge3,1
5700.07,0,1,3.47,59,1764517376367.055,edge3,1
5574.84,0,1,3.47,60,1764517377367.015,edge3,1
5894.91,0,1,3.5,60,1764517378367.011,edge3,1
5526.36,0,1,3.5,60,1764517379367.457,edge3,1
5565.13,0,1,3.47,60,1764517380366.914,edge3,1
5799.96,0,1,3.47,60,1764517381367.268,edge3,1
5965.68,0,2,3.47,60,1764517382371.481,edge3,1
5493.18,0,1,3.5,60,1764517383367.954,edge3,1
6009.08,0,1,3.5,60,1764517384367.063,edge3,1
6664.33,0,1,3.5,60,1764517385366.955,edge3,1
6224.98,0,2,3.47,59,1764517386367.06,edge3,1
5992.7,0,2,3.47,61,1764517387367.114,edge3,1
5908.07,0,1,3.45,61,1764517388367.296,edge3,1
5522.48,0,1,3.45,59,1764517389368.571,edge3,1
5204.93,0,1,3.45,60,1764517390366.842,edge3,1
4854.69,0,1,3.52,60,1764517391367.609,edge3,1
4224.91,0,1,3.52,60,1764517392367.505,edge3,1
2690.89,0,1,3.52,60,1764517393367.033,edge3,1
2674.95,0,1,3.45,60,1764517394367.331,edge3,1
3283.76,0,1,3.45,60,1764517395366.977,edge3,1
3240.28,0,1,3.43,60,1764517396367.024,edge3,1
3125.1,0,1,3.43,60,1764517397367.044,edge3,1
3480.95,0,1,3.43,60,1764517398367.122,edge3,1
3726.25,0,1,3.42,60,1764517399367.695,edge3,1
3932.52,0,1,3.42,61,1764517400367.076,edge3,1
4581.83,0,1,3.42,60,1764517401367.802,edge3,1
4923.45,0,1,3.44,60,1764517402367.094,edge3,1
4510.78,0,1,3.44,60,1764517403366.989,edge3,1
4589.83,0,1,3.5,60,1764517404366.924,edge3,1
4748.16,0,1,3.5,60,1764517405366.974,edge3,1
4084.73,0,1,3.5,60,1764517406367.571,edge3,1
3207.25,0,1,3.52,60,1764517407368.359,edge3,1
2994.05,0,1,3.52,60,1764517408367.925,edge3,1
3082.93,0,1,3.52,60,1764517409367.014,edge3,1
3745.76,0,1,3.46,60,1764517410367.025,edge3,1
4746.33,0,1,3.46,60,1764517411366.965,edge3,1
5087.84,0,1,3.55,60,1764517412367.553,edge3,1
4833.36,0,1,3.55,60,1764517413367.015,edge3,1
5168.55,0,1,3.55,60,1764517414367.052,edge3,1
4493.69,0,1,3.53,60,1764517415367.072,edge3,1
5121.73,0,1,3.53,60,1764517416367.538,edge3,1
4653.83,0,1,3.53,60,1764517417367.089,edge3,1
4566.88,0,1,3.52,60,1764517418367.245,edge3,1
4854.51,0,1,3.52,60,1764517419367.004,edge3,1
4664.62,0,1,3.53,60,1764517420367.055,edge3,1
4485.46,0,1,3.53,60,1764517421367.504,edge3,1
4807.58,0,1,3.53,60,1764517422367.265,edge3,1
