UE_ID,Avg_FPS,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,MOS,Samples
UE1,59.85,8365.73,149.48,1.73,3.73,26
UE2,59.93,8376.65,53.05,0.18,4.05,67
UE3,60.00,9660.03,111.75,0.90,3.99,42
UE4,59.81,8378.12,112.94,0.14,4.06,271
UE5,59.88,6311.47,54.61,1.00,3.52,16
UE6,59.78,7848.92,56.90,0.01,4.10,548
UE7,60.00,4337.53,3.87,0.00,3.63,28
UE8,59.82,4275.83,7.30,0.02,3.84,539
UE9,59.14,8112.73,53.26,0.79,3.85,28
UE10,59.82,7809.44,61.08,0.01,4.09,847
UE11,58.93,9106.21,100.11,0.43,4.08,111
UE12,59.24,8640.87,112.76,0.15,4.05,332
OVERALL,59.68,7601.96,73.09,0.45,3.92,2855
