bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
328.8,-1,14,128.67,72,1764675969386.595,edge1,2
851.79,0,27,112.75,58,1764675970384.931,edge1,2
781.29,2,23,107.6,60,1764675971385.269,edge1,2
1185.52,0,29,107.6,62,1764675972385.148,edge1,2
1221.03,-1,27,107.6,56,1764675973385.301,edge1,2
863.73,12,27,108.5,60,1764675974384.947,edge1,2
2177.85,-10,22,108.5,63,1764675975385.194,edge1,2
1606.58,5,33,105,61,1764675976385.005,edge1,2
19828.99,129,14,105,54,1764675977384.889,edge1,2
28295.38,-129,23,105,64,1764675978384.919,edge1,2
1526.44,-2,26,110.13,54,1764675979385.396,edge1,2
1097.66,-7,29,110.13,63,1764675980385.87,edge1,2
452.63,2,26,110.13,58,1764675981385.195,edge1,2
22788.48,63,11,117.44,55,1764675982384.979,edge1,2
11959.74,-41,11,117.44,63,1764675983385.463,edge1,2
8278.31,8,21,117.3,61,1764675984385.221,edge1,2
8267.62,8,17,117.3,63,1764675985385.062,edge1,2
11142.38,-7,20,117.3,58,1764675986384.965,edge1,2
8712.05,13,17,123.73,57,1764675987384.976,edge1,2
9505.8,-11,17,123.73,63,1764675988385.103,edge1,2
10059.73,14,15,123.73,59,1764675989385.529,edge1,2
11978.55,-17,12,117,62,1764675990384.937,edge1,2
14130.72,25,14,117,60,1764675991385.056,edge1,2
14420.07,10,17,110.08,58,1764675992385.413,edge1,2
13362.67,-26,13,110.08,61,1764675993385.058,edge1,2
12941.21,8,12,110.08,61,1764675994385.25,edge1,2
11923.71,-8,18,113.21,56,1764675995384.932,edge1,2
11098.67,-9,15,113.21,63,1764675996384.911,edge1,2
