UE_ID,Avg_FPS,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,MOS,Samples
UE1,60.18,8599.55,113.40,1.07,3.82,28
UE2,59.94,9129.37,100.81,0.43,4.06,70
UE3,59.57,9764.52,105.16,0.68,4.00,44
UE4,58.44,8482.11,112.31,0.24,4.03,272
UE5,59.95,6950.69,120.93,25.37,3.57,19
UE6,33.05,2611.54,9.66,0.00,2.40,551
UE7,59.53,8762.73,94.23,1.30,3.86,30
UE8,59.90,7767.32,57.45,0.03,4.09,543
UE9,37.12,2381.85,9.53,0.00,2.65,32
UE10,44.55,3939.02,22.87,0.00,2.97,850
UE11,59.61,9267.88,106.20,0.45,4.09,114
UE12,16.81,1616.99,32.13,0.00,1.41,336
OVERALL,50.72,6606.13,73.72,2.46,3.41,2889
