UE_ID,Avg_FPS,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,MOS,Samples
UE1,59.96,4332.60,5.10,0.00,3.62,28
UE2,59.97,8406.48,56.73,0.20,4.06,70
UE3,59.50,9796.41,98.16,0.77,4.01,44
UE4,56.59,4169.45,6.59,0.00,3.71,273
UE5,59.95,6647.35,61.51,1.05,3.62,19
UE6,59.67,8538.76,100.54,1.09,4.09,551
UE7,43.20,2832.81,12.39,0.00,2.98,30
UE8,59.87,7853.90,56.77,0.01,4.10,543
UE9,59.81,8980.78,143.94,16.41,3.84,32
UE10,47.77,3942.06,11.23,0.00,3.40,851
UE11,59.67,8546.81,64.85,0.03,4.11,114
UE12,59.67,8636.95,101.24,0.18,4.08,335
OVERALL,55.75,6563.90,53.10,0.44,3.80,2890
