UE_ID,Avg_FPS,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,MOS,Samples
UE1,59.96,4332.40,4.91,0.00,3.62,28
UE2,48.44,3739.58,5.00,0.00,3.36,70
UE3,44.75,3896.89,9.44,0.00,3.14,44
UE4,32.20,2666.72,13.20,0.00,2.45,273
UE5,43.47,2476.05,6.63,0.00,2.68,19
UE6,13.29,1187.09,29.20,0.00,1.42,541
UE7,16.53,284.20,40.65,0.00,1.04,30
UE8,11.43,1030.39,43.78,0.00,1.26,542
UE9,7.12,55.76,35.61,0.00,1.00,32
UE10,35.42,3544.94,39.44,0.00,2.42,807
UE11,5.73,290.99,46.73,0.00,1.00,113
UE12,7.60,714.77,46.51,0.00,1.11,326
OVERALL,22.11,2006.11,34.97,0.00,2.04,2825
