UE_ID,Avg_FPS,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,MOS,Samples
UE1,60.04,4350.00,4.47,0.00,3.63,28
UE2,48.64,3749.88,5.53,0.00,3.36,70
UE3,46.25,3813.06,10.23,0.00,3.18,44
UE4,31.78,2651.48,13.26,0.00,2.42,260
UE5,44.42,2570.61,7.48,0.00,2.79,19
UE6,32.95,3574.92,18.34,0.00,2.43,544
UE7,16.23,212.06,19.50,0.00,1.02,30
UE8,27.42,2473.08,27.54,0.00,2.19,179
UE9,7.78,63.73,46.59,0.00,1.00,32
UE10,42.83,3585.00,26.92,0.00,2.65,212
UE12,27.40,1949.18,23.77,0.00,1.84,158
OVERALL,33.76,3016.58,19.67,0.00,2.41,1576
