bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
68.15,0,29,20.33,11,1764606545402.093,edge3,4
44.2,0,56,29.5,11,1764606546401.747,edge3,4
30.13,0,81,26.4,6,1764606547401.659,edge3,4
33.63,0,90,26.4,7,1764606548402.287,edge3,4
25.27,0,108,26.4,6,1764606549401.929,edge3,4
63.33,0,101,28,9,1764606550404.434,edge3,4
60.02,0,104,28,8,1764606551409.856,edge3,4
66.06,0,92,36.29,8,1764606552401.554,edge3,4
45.83,0,106,36.29,9,1764606553401.334,edge3,4
60.87,0,103,36.29,7,1764606554404.957,edge3,4
50.59,0,117,37.25,8,1764606555401.585,edge3,4
100.79,0,82,37.25,9,1764606556401.267,edge3,4
59.64,0,95,37.25,9,1764606557401.952,edge3,4
53.59,0,100,40.56,8,1764606558401.415,edge3,4
62.29,0,102,40.56,9,1764606559401.432,edge3,4
71.23,0,94,37.7,9,1764606560402.006,edge3,4
45.97,0,108,37.7,9,1764606561402.036,edge3,4
40.59,0,121,37.7,7,1764606562401.343,edge3,4
84.27,0,98,34.55,9,1764606563401.289,edge3,4
52.51,0,106,34.55,8,1764606564402.037,edge3,4
67.05,0,108,33.25,8,1764606565401.965,edge3,4
105.2,0,96,33.25,9,1764606566407.267,edge3,4
52.36,0,113,33.25,7,1764606567401.498,edge3,4
73.73,0,119,34.31,6,1764606568401.741,edge3,4
128.9,0,101,34.31,10,1764606569402.353,edge3,4
68.03,0,128,34.31,5,1764606570402.132,edge3,4
89.91,0,107,39.14,10,1764606571410.875,edge3,4
87.03,0,114,39.14,7,1764606572401.574,edge3,4
48.7,0,127,38.93,5,1764606573401.246,edge3,4
88.39,0,121,38.93,8,1764606574401.497,edge3,4
82.13,0,111,38.93,7,1764606575404.736,edge3,4
101.02,0,107,42.25,9,1764606576402.716,edge3,4
129.81,0,128,42.25,6,1764606577403.099,edge3,4
66.41,0,122,42.25,7,1764606578401.612,edge3,4
117.41,0,96,41.12,11,1764606579401.345,edge3,4
38.59,0,97,41.12,5,1764606580402.553,edge3,4
96.63,0,103,41.39,10,1764606581401.497,edge3,4
46.09,0,111,41.39,7,1764606582401.454,edge3,4
42.77,0,120,41.39,6,1764606583401.671,edge3,4
72.7,0,107,39.63,10,1764606584401.491,edge3,4
46.38,0,114,39.63,7,1764606585403.023,edge3,4
80.86,0,86,39.63,9,1764606586404.868,edge3,4
71.14,0,92,40.3,8,1764606587406.731,edge3,4
99.05,0,62,40.3,9,1764606588402.245,edge3,3
85.41,0,56,39.19,7,1764606589401.721,edge3,3
79.26,0,58,39.19,8,1764606590401.709,edge3,3
88.04,0,45,39.19,8,1764606591401.258,edge3,3
89.34,0,40,37.59,8,1764606592401.454,edge3,3
