bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
285.26,0,11,4.67,56,1764657982275.445,edge3,2
566.34,0,12,14,57,1764657983274.269,edge3,2
788.33,0,15,12.2,58,1764657984274.356,edge3,3
599.91,0,20,12.2,32,1764657985274.285,edge3,3
534.96,0,15,13.83,35,1764657986274.083,edge3,3
564.99,0,17,13.83,35,1764657987274.241,edge3,3
444.79,0,16,13.83,33,1764657988274.364,edge3,3
489.28,0,15,12.57,34,1764657989274.99,edge3,3
293.02,0,29,12.57,20,1764657990284.472,edge3,3
297.93,0,39,12.57,18,1764657991277.989,edge3,3
237.45,0,44,15.88,16,1764657992274.391,edge3,3
244.64,0,41,15.88,17,1764657993274.222,edge3,3
279.93,0,39,14.67,19,1764657994274.444,edge3,3
353.13,0,31,14.67,24,1764657995274.779,edge3,3
294.4,0,34,14.67,20,1764657996283.336,edge3,3
1822.05,0,51,15.1,11,1764657997274.537,edge3,3
1926.38,0,74,15.1,7,1764657998274.592,edge3,3
1668,0,89,15.1,6,1764657999274.254,edge3,3
1711.8,0,100,17.55,6,1764658000274.254,edge3,3
1486.55,0,103,17.55,6,1764658001278.415,edge3,3
2042.25,0,100,17.17,7,1764658002274.269,edge3,3
2008.43,0,94,17.17,8,1764658003274.165,edge3,3
2741.6,0,85,17.17,10,1764658004274.866,edge3,3
2717.47,0,84,18.31,8,1764658005276.401,edge3,3
2440.59,0,111,18.31,5,1764658006279.029,edge3,3
2781.13,0,112,18.31,6,1764658007278.537,edge3,3
1248.04,0,100,22.14,9,1764658008274.5,edge3,3
393.53,0,82,22.14,12,1764658009274.762,edge3,3
192.79,0,76,21,10,1764658010274.896,edge3,3
236.97,0,62,21,14,1764658011274.291,edge3,3
105.72,0,72,21,12,1764658012274.717,edge3,3
127.95,0,66,20.31,11,1764658013279.272,edge3,3
103.7,0,61,20.31,12,1764658014275.807,edge3,3
154.83,0,68,19.47,13,1764658015274.26,edge3,3
297.95,0,38,19.47,14,1764658016276.681,edge3,3
131.46,0,52,19.47,15,1764658017274.49,edge3,3
36.21,0,75,21.83,14,1764658018278.079,edge3,3
