bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
441.88,0,16,67,61,1764596275886.241,edge2,2
733.45,-1,18,58,62,1764596276887.068,edge2,2
701.09,1,15,53.8,59,1764596277885.571,edge2,2
1052.98,1,16,53.8,60,1764596278885.635,edge2,2
1117.27,-1,14,53.8,58,1764596279886.161,edge2,2
982.73,1,20,51,60,1764596280888.046,edge2,2
1640.98,1,12,51,61,1764596281885.552,edge2,2
1314.27,1,14,46.71,60,1764596282886.361,edge2,2
24599.72,72,12,46.71,57,1764596283885.527,edge2,2
22077.16,-70,14,46.71,61,1764596284886.006,edge2,2
984.96,-6,20,51.75,57,1764596285890.015,edge2,2
488.95,2,12,51.75,59,1764596286886.057,edge2,2
1374.52,14,16,51.75,59,1764596287885.954,edge2,2
24392.27,5,10,53.44,60,1764596288885.495,edge2,2
9603.78,-5,13,53.44,61,1764596289887.094,edge2,2
7624.23,-12,12,56.2,60,1764596290886.423,edge2,2
7355.23,8,11,56.2,60,1764596291885.863,edge2,2
10280.81,2,12,56.2,59,1764596292888.008,edge2,2
7905.38,-2,13,55.91,61,1764596293885.986,edge2,2
9190.77,2,8,55.91,61,1764596294888.857,edge2,2
9637.51,14,9,55.91,60,1764596295889.896,edge2,2
10889.77,3,9,55.5,60,1764596296886.629,edge2,2
13479.39,-10,11,55.5,58,1764596297885.478,edge2,2
13206.63,5,12,56.92,61,1764596298886.824,edge2,2
12245.7,-11,9,56.92,59,1764596299889.135,edge2,2
11475.96,13,11,56.92,62,1764596300886.288,edge2,2
10814.39,-13,12,56.86,60,1764596301885.429,edge2,2
10301.48,10,11,56.86,59,1764596302888.201,edge2,2
11271.16,-13,10,56.86,61,1764596303886.728,edge2,2
10521.38,7,11,58.73,59,1764596304887.881,edge2,2
10429.09,-7,14,58.73,60,1764596305885.486,edge2,2
10646.16,19,12,62.5,61,1764596306888.182,edge2,2
10934.27,-7,14,62.5,59,1764596307885.56,edge2,2
10306.96,-2,10,62.5,60,1764596308886.345,edge2,2
11204.71,-6,9,62.12,60,1764596309888.18,edge2,2
10689.17,4,10,62.12,60,1764596310886.04,edge2,2
10905.35,-11,12,62.12,60,1764596311888.011,edge2,2
10646.5,6,11,61.61,61,1764596312886.422,edge2,2
12557.53,0,11,61.61,58,1764596313885.516,edge2,2
11863.45,-5,10,59.89,61,1764596314886.074,edge2,2
11462.23,10,12,59.89,59,1764596315885.67,edge2,2
10970.76,12,12,59.89,61,1764596316885.739,edge2,2
10892.8,-16,11,60.75,59,1764596317888.172,edge2,2
9581.15,3,13,60.75,59,1764596318887.276,edge2,2
9273.41,0,10,60.75,61,1764596319885.752,edge2,2
8435.98,-11,13,60.86,61,1764596320885.735,edge2,2
5386.52,-1,15,60.86,60,1764596321885.648,edge2,2
4687.67,0,14,62.05,60,1764596322888.11,edge2,2
5729.85,-2,13,62.05,58,1764596323885.476,edge2,2
5833.23,1,11,62.05,61,1764596324888.85,edge2,2
5629.16,2,12,61.65,60,1764596325885.574,edge2,2
6252.98,1,12,61.65,59,1764596326885.518,edge2,2
6644.02,2,11,60.96,61,1764596327885.546,edge2,2
6824.23,-1,13,60.96,59,1764596328885.51,edge2,2
8235.74,1,11,60.96,61,1764596329885.819,edge2,2
9222.61,4,13,60.76,60,1764596330887.702,edge2,2
8321.03,-3,11,60.76,61,1764596331885.676,edge2,2
8567.07,-1,11,60.76,60,1764596332885.671,edge2,2
8401.13,13,10,61.08,60,1764596333886.403,edge2,2
8079.45,-7,10,61.08,60,1764596334886.854,edge2,2
6217.11,-10,8,61.08,60,1764596335888.733,edge2,2
5373.23,2,13,62.22,61,1764596336887.71,edge2,2
5383.11,-2,13,62.22,58,1764596337885.593,edge2,2
6617.28,5,15,61.82,60,1764596338885.826,edge2,2
7951.27,13,12,61.82,58,1764596339885.994,edge2,2
9297.95,-10,11,61.82,61,1764596340885.735,edge2,2
9100.98,-8,9,60,59,1764596341885.862,edge2,2
9466.77,4,13,60,59,1764596342886.344,edge2,2
8258.95,13,11,60.7,60,1764596343886.009,edge2,2
9080.39,-11,10,60.7,59,1764596344887.012,edge2,2
8890.41,6,11,60.7,60,1764596345885.473,edge2,2
8510.34,-6,13,60.97,60,1764596346888.552,edge2,2
8324.23,0,13,60.97,59,1764596347886.2,edge2,2
7474.54,2,11,60.97,60,1764596348890.936,edge2,2
7511.67,-6,11,60.59,60,1764596349888.707,edge2,2
7829.4,23,16,60.59,60,1764596350891.679,edge2,2
7126.05,-22,11,60.06,61,1764596351885.63,edge2,2
6048.92,-7,11,60.06,60,1764596352885.481,edge2,2
6279.06,8,12,60.06,59,1764596353886.226,edge2,2
7669.61,11,9,60.47,60,1764596354885.65,edge2,2
12361.23,3,9,60.47,59,1764596355885.714,edge2,2
14882.03,10,9,60.47,60,1764596356886.805,edge2,2
14921.12,-7,10,60,61,1764596357885.568,edge2,2
14658.28,0,10,60,59,1764596358885.513,edge2,2
14401.31,4,10,60.61,59,1764596359886.404,edge2,2
12321.25,-10,8,60.61,61,1764596360887.448,edge2,2
8675.24,-7,13,60.61,60,1764596361888.016,edge2,2
8579.21,5,12,59.24,58,1764596362885.782,edge2,2
9389.64,4,10,59.24,60,1764596363886.072,edge2,2
10788.62,10,13,59.24,58,1764596364885.783,edge2,2
12073.74,-15,9,59.45,62,1764596365886.831,edge2,2
12951.62,-2,11,59.45,61,1764596366885.595,edge2,2
12679.32,4,11,59.23,60,1764596367886.181,edge2,1
9111.41,-2,14,59.23,59,1764596368885.923,edge2,1
8376.13,-11,11,59.23,61,1764596369885.484,edge2,1
6472.53,0,12,59.98,60,1764596370886.433,edge2,1
4821.66,-6,15,59.98,60,1764596371885.473,edge2,1
3091.89,1,14,59.98,60,1764596372888.226,edge2,1
3223.24,2,10,59.73,60,1764596373885.689,edge2,1
5077.37,0,11,59.73,61,1764596374887.349,edge2,1
5396.95,9,13,61.05,61,1764596375885.511,edge2,1
5620.91,7,14,61.05,58,1764596376885.634,edge2,1
6406.94,-10,13,61.05,60,1764596377885.826,edge2,1
7305.7,-1,15,61.12,59,1764596378885.95,edge2,1
6798.13,6,12,61.12,61,1764596379885.424,edge2,1
6103.8,-8,14,61.12,60,1764596380886.06,edge2,1
3445.05,-3,13,61.16,59,1764596381886.192,edge2,1
3264.32,0,10,61.16,61,1764596382885.601,edge2,1
3142.45,16,14,61.22,60,1764596383885.577,edge2,1
5712.68,-3,12,61.22,59,1764596384885.569,edge2,1
10064.31,7,11,61.22,60,1764596385885.667,edge2,1
13693.32,-5,7,60.7,60,1764596386885.848,edge2,1
15484.83,11,11,60.7,59,1764596387885.53,edge2,1
12541.7,-23,11,60.7,61,1764596388885.806,edge2,1
9231.42,-1,10,60.32,60,1764596389885.588,edge2,1
10313.61,12,10,60.32,60,1764596390885.445,edge2,1
10289.19,-9,12,60.06,57,1764596391885.435,edge2,1
11435.98,2,12,60.06,59,1764596392885.579,edge2,1
12651.52,25,8,60.06,62,1764596393885.543,edge2,1
12170.59,-12,9,60.73,59,1764596394885.659,edge2,1
11608.16,1,9,60.73,61,1764596395885.578,edge2,1
9938.49,-4,10,60.73,59,1764596396885.549,edge2,1
