bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
495.75,1,12,72,68,1764594891127.393,edge2,1
684.98,-1,14,62.5,59,1764594892127.177,edge2,1
746.55,1,15,57,60,1764594893127.147,edge2,1
982.73,0,13,57,58,1764594894127.28,edge2,1
1129.42,0,17,57,62,1764594895126.99,edge2,1
1063.91,3,20,51.83,59,1764594896127.422,edge2,1
1806.38,-1,19,51.83,60,1764594897127.029,edge2,1
1439.73,0,17,52.29,60,1764594898127.167,edge2,1
27091.05,39,8,52.29,59,1764594899127.797,edge2,1
20192.2,-41,14,52.29,57,1764594900127.449,edge2,1
1155.63,1,17,58.13,57,1764594901127.205,edge2,1
723.8,-2,17,58.13,60,1764594902127.698,edge2,1
2190.73,36,15,58.13,60,1764594903127.034,edge2,1
24448.93,-1,9,56.78,60,1764594904127.113,edge2,1
9073.88,-23,12,56.78,60,1764594905128.696,edge2,1
8051.39,0,12,55.8,60,1764594906127.157,edge2,1
7360.6,-7,12,55.8,60,1764594907127.247,edge2,1
10388.55,10,10,55.8,60,1764594908127.154,edge2,1
7755.44,-3,9,57.55,59,1764594909127.339,edge2,1
9344.65,7,12,57.55,61,1764594910127.151,edge2,1
9547.62,-2,11,57.55,58,1764594911127.168,edge2,1
11322.3,0,12,58,60,1764594912127.088,edge2,1
13306.63,0,9,58,60,1764594913127.128,edge2,1
13139.97,21,10,54.77,60,1764594914126.983,edge2,1
12306.89,1,8,54.77,61,1764594915127.575,edge2,1
11708.76,-20,11,54.77,59,1764594916127.347,edge2,1
10775.16,8,10,54.71,61,1764594917127.112,edge2,1
10570.89,-7,10,54.71,60,1764594918127.025,edge2,1
10911.33,5,13,54.71,59,1764594919127.183,edge2,1
10696.91,-2,10,52.8,60,1764594920128.34,edge2,1
10161.94,-6,10,52.8,59,1764594921127.74,edge2,1
10841.52,2,9,54.31,60,1764594922127.343,edge2,1
10798.92,8,11,54.31,61,1764594923127.146,edge2,1
10289.35,1,11,54.31,59,1764594924128.987,edge2,1
11144.1,-22,10,54.76,61,1764594925127.266,edge2,1
10907.4,25,10,54.76,60,1764594926127.881,edge2,1
10551.28,-20,10,54.76,59,1764594927127.224,edge2,1
10998.38,9,11,54.72,60,1764594928129.332,edge2,1
12516.97,-14,11,54.72,59,1764594929127.121,edge2,1
12002.66,9,12,56.53,60,1764594930127.066,edge2,1
11381.98,16,10,56.53,61,1764594931127.17,edge2,1
11280.82,-4,12,56.53,58,1764594932127.434,edge2,1
10506.67,-9,11,57.5,61,1764594933127.177,edge2,1
9872.24,-3,9,57.5,60,1764594934127.772,edge2,1
9307.8,-4,14,57.5,60,1764594935126.983,edge2,1
8152.16,-5,10,58.71,59,1764594936127.335,edge2,1
5267.38,0,11,58.71,61,1764594937127.258,edge2,1
4732.98,-1,12,58.64,60,1764594938127.205,edge2,1
5672.3,8,13,58.64,60,1764594939127.155,edge2,1
5884.51,-11,11,58.64,59,1764594940127.012,edge2,1
5777.54,4,12,57.78,61,1764594941127.089,edge2,1
6221.82,-1,13,57.78,60,1764594942127.206,edge2,1
6790.41,0,12,56.96,60,1764594943127.256,edge2,1
6892.24,12,10,56.96,60,1764594944127.13,edge2,1
8192.44,-6,10,56.96,60,1764594945127.111,edge2,1
9262.71,7,10,55.56,60,1764594946127.127,edge2,1
8324.79,-9,11,55.56,60,1764594947127.921,edge2,1
8570.95,11,11,55.56,60,1764594948127.094,edge2,1
8700.7,3,9,56.62,60,1764594949127.133,edge2,1
7727.23,-15,14,56.62,60,1764594950127.095,edge2,1
5934.93,8,14,56.62,60,1764594951127.117,edge2,1
5441.13,-9,13,57.74,59,1764594952127.304,edge2,1
5449.97,8,11,57.74,60,1764594953127.217,edge2,1
6688.91,-8,11,57.71,61,1764594954127.144,edge2,1
8446.18,15,11,57.71,60,1764594955126.987,edge2,1
9180.71,-8,12,57.71,60,1764594956127.095,edge2,1
9029.09,-1,11,58.28,60,1764594957127.14,edge2,1
9298.16,0,9,58.28,59,1764594958127.114,edge2,1
8489.73,4,10,58.77,61,1764594959127.063,edge2,1
9204.82,-1,12,58.77,60,1764594960127.592,edge2,1
8805.17,-1,9,58.77,60,1764594961127.206,edge2,1
8547.41,4,9,58.19,60,1764594962127.062,edge2,1
8290.16,-6,10,58.19,60,1764594963127.352,edge2,1
7671.71,2,10,58.19,60,1764594964128.515,edge2,1
7449.77,17,15,57.75,59,1764594965127.046,edge2,1
8274.33,-25,11,57.75,60,1764594966127.34,edge2,1
6635.84,1,10,57.76,60,1764594967128.662,edge2,1
5984.94,14,11,57.76,61,1764594968126.929,edge2,1
6245.8,-12,10,57.76,60,1764594969127.619,edge2,1
8027.45,1,9,58.12,60,1764594970127.025,edge2,1
12776.17,28,12,58.12,59,1764594971127.194,edge2,1
15054.13,-15,9,58.12,58,1764594972127.556,edge2,1
14889.74,16,10,58.06,60,1764594973127.142,edge2,1
14710.95,-18,11,58.06,61,1764594974127.149,edge2,1
14260.29,4,9,57.42,60,1764594975128.131,edge2,1
11994.15,3,11,57.42,61,1764594976127.74,edge2,1
8564.65,-21,12,57.42,60,1764594977127.005,edge2,1
8751.26,2,11,56.32,60,1764594978127.052,edge2,1
9515.05,13,11,56.32,59,1764594979127.851,edge2,1
10870.14,-9,10,56.32,61,1764594980127.303,edge2,1
11966.72,9,10,56.34,57,1764594981127.116,edge2,1
13031.63,5,9,56.34,61,1764594982127.128,edge2,1
12496.31,-6,10,57.33,62,1764594983127.06,edge2,1
9117.15,7,11,57.33,60,1764594984127.045,edge2,1
8008.02,-19,12,57.33,60,1764594985127.909,edge2,1
6521.67,-6,11,57.53,59,1764594986128.89,edge2,1
4616.07,5,14,57.53,62,1764594987127.374,edge2,1
2962.58,-4,17,57.53,58,1764594988127.557,edge2,1
3579.39,-1,11,57.61,54,1764594989127.575,edge2,1
5135,7,13,57.61,54,1764594990127.162,edge2,1
5502.13,-8,13,56.57,54,1764594991127.137,edge2,1
6115.01,7,11,56.57,53,1764594992130.731,edge2,1
6123.26,-2,9,56.57,54,1764594993127.549,edge2,1
7479.26,9,11,57.3,55,1764594994127.176,edge2,1
6953.86,-2,11,57.3,54,1764594995127.155,edge2,1
5946.65,-12,15,57.3,54,1764594996127.142,edge2,1
3350.25,-1,15,57.39,54,1764594997127.232,edge2,1
3312.45,0,10,57.39,53,1764594998127.27,edge2,1
3302.75,8,11,56.71,55,1764594999127.102,edge2,1
5903.6,-6,9,56.71,54,1764595000127.139,edge2,1
10348.75,11,9,56.71,54,1764595001128.364,edge2,1
13919.4,1,10,56.04,54,1764595002131.096,edge2,1
15799.15,33,13,56.04,55,1764595003127.076,edge2,1
11828.36,-30,11,56.04,53,1764595004127.713,edge2,1
9027.01,-1,10,56,54,1764595005127.042,edge2,1
10628.09,3,8,56,54,1764595006127.442,edge2,1
10229.58,-3,12,55.94,53,1764595007127.264,edge2,1
12024.23,7,9,55.94,19,1764595008128.256,edge2,1
