bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
205.59,0,13,19,47,1764747197264.469,edge3,2
445.93,0,15,22.5,41,1764747198264.981,edge3,2
456.2,0,11,22.2,49,1764747199263.127,edge3,2
687.98,1,13,22.2,52,1764747200261.604,edge3,2
751.02,-1,13,22.5,51,1764747201266.573,edge3,2
684.02,0,10,22.5,51,1764747202266.228,edge3,2
445.85,0,11,22.5,52,1764747203261.373,edge3,2
305.64,0,15,26,50,1764747204262.328,edge3,2
280.91,0,11,26,51,1764747205262.324,edge3,2
3666.77,0,14,26,44,1764747206261.326,edge3,2
10623.42,13,19,24.88,22,1764747207261.306,edge3,2
12550.52,0,19,24.88,26,1764747208261.488,edge3,2
16267.08,-5,22,24.11,23,1764747209263.728,edge3,2
1574.91,-8,20,24.11,33,1764747210261.224,edge3,2
581.09,0,17,24.11,37,1764747211261.563,edge3,2
347.65,0,17,24.3,41,1764747212262.287,edge3,2
376.23,0,14,24.3,40,1764747213262.776,edge3,2
191.75,0,13,24.3,38,1764747214262.607,edge3,2
5401.38,0,17,25.55,31,1764747215264.497,edge3,2
11187.42,0,17,25.55,25,1764747216262.672,edge3,2
7610.91,2,18,30,25,1764747217261.328,edge3,2
4727.17,-2,18,30,30,1764747218263.101,edge3,2
3859.66,4,16,30,30,1764747219266.215,edge3,2
3486.78,-4,18,28.31,31,1764747220261.562,edge3,2
3166.53,0,25,28.31,24,1764747221261.568,edge3,2
2616.72,0,21,28.31,23,1764747222265.962,edge3,2
2953.46,2,18,30.71,26,1764747223261.446,edge3,2
3954.65,-2,23,30.71,25,1764747224262.155,edge3,2
4185.66,0,18,30.47,29,1764747225264.728,edge3,2
2955.55,0,19,30.47,24,1764747226261.405,edge3,2
2923.62,0,21,30.47,24,1764747227261.524,edge3,2
2645.34,0,24,31.56,23,1764747228262.101,edge3,2
3325.43,1,19,31.56,27,1764747229261.479,edge3,2
3885.57,5,19,31.12,26,1764747230262.016,edge3,2
3915.53,-6,21,31.12,24,1764747231261.37,edge3,2
3378.97,0,21,31.12,27,1764747232262.087,edge3,2
3288.52,0,28,31.39,20,1764747233261.502,edge3,2
3074.8,2,30,31.39,19,1764747234264.499,edge3,2
3132.7,-1,32,31.39,16,1764747235263.276,edge3,2
4032.96,-1,31,31.21,19,1764747236264.012,edge3,2
3582.5,0,35,31.21,17,1764747237261.393,edge3,2
4691.98,0,30,30.5,19,1764747238261.585,edge3,2
4650.81,8,24,30.5,20,1764747239261.862,edge3,2
4617.84,-8,27,30.5,20,1764747240262.728,edge3,2
4278.67,0,29,32.05,19,1764747241262.168,edge3,2
4752.74,0,25,32.05,24,1764747242261.38,edge3,2
4563.31,2,23,32.05,24,1764747243261.288,edge3,2
4218.89,-2,27,31.09,20,1764747244261.366,edge3,2
4630.76,0,24,31.09,23,1764747245261.509,edge3,2
4045.87,0,25,32.52,22,1764747246266.086,edge3,2
3706.03,0,28,32.52,20,1764747247261.551,edge3,2
4752.93,0,25,32.52,22,1764747248261.531,edge3,2
3868.13,0,30,32.04,18,1764747249261.353,edge3,2
4226.7,0,28,32.04,21,1764747250262.26,edge3,2
4661.41,0,26,32.04,23,1764747251263.499,edge3,2
3223.86,0,27,32.68,16,1764747252264.279,edge3,2
3997.16,0,22,32.68,21,1764747253261.763,edge3,2
4702.06,0,24,32.42,21,1764747254261.452,edge3,2
5249.99,4,20,32.42,25,1764747255261.578,edge3,2
3492.13,-4,25,32.42,18,1764747256265.158,edge3,2
3367.57,0,29,31.96,21,1764747257263.993,edge3,2
4436.18,0,26,31.96,22,1764747258261.508,edge3,2
3924.78,3,25,31.96,21,1764747259261.381,edge3,2
3669.77,1,25,33.79,18,1764747260262.326,edge3,2
4011.42,-4,23,33.79,22,1764747261263.094,edge3,2
4836.03,3,23,33.41,25,1764747262261.461,edge3,2
5217.02,2,23,33.41,26,1764747263261.651,edge3,2
5270.93,-5,25,33.41,28,1764747264261.498,edge3,2
5918.67,3,26,34.7,26,1764747265262.096,edge3,2
5690.71,-2,22,34.7,26,1764747266261.392,edge3,2
4717.74,3,21,34.7,23,1764747267261.583,edge3,2
4530.56,-3,19,33.97,23,1764747268261.722,edge3,2
5028.27,2,28,33.97,25,1764747269262.181,edge3,2
5117.03,-1,28,34.59,26,1764747270261.644,edge3,2
5344.27,-2,19,34.59,26,1764747271261.559,edge3,2
4280.4,0,21,34.59,26,1764747272261.564,edge3,2
4817.45,0,20,34,27,1764747273261.79,edge3,2
3961.19,3,22,34,26,1764747274262.398,edge3,2
3992.44,0,21,34,25,1764747275263.051,edge3,2
3111.43,-3,24,34.09,25,1764747276261.686,edge3,2
2402.45,2,19,34.09,28,1764747277261.587,edge3,2
2106.95,-1,19,33.54,29,1764747278264.623,edge3,2
1904.96,-1,20,33.54,23,1764747279262.78,edge3,2
