bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
333.56,-2,4,12.67,62,1764745723365.586,edge3,2
485.43,0,5,16,60,1764745724365.209,edge3,2
587.57,0,4,15.4,60,1764745725365.106,edge3,2
798.96,0,5,15.4,60,1764745726364.875,edge3,2
841.7,0,5,15.67,60,1764745727365.554,edge3,2
452.41,0,6,15.67,60,1764745728365.044,edge3,2
413.08,0,5,15.67,60,1764745729365.778,edge3,2
1051.88,21,5,15.57,60,1764745730365.035,edge3,2
16067.8,-19,13,15.57,33,1764745731364.767,edge3,2
13570.79,28,16,15.57,26,1764745732365.25,edge3,2
13972.27,-30,16,15.38,33,1764745733365.241,edge3,2
849.23,0,12,15.38,49,1764745734364.858,edge3,2
482.4,0,16,20,42,1764745735365.384,edge3,2
366.89,0,13,20,47,1764745736364.894,edge3,2
262.45,0,16,20,44,1764745737364.798,edge3,2
8838.91,0,19,19.8,31,1764745738365.324,edge3,2
11042.94,0,20,19.8,27,1764745739364.721,edge3,2
8331.48,5,16,19.8,38,1764745740365.231,edge3,2
5801.84,-5,15,22.18,46,1764745741366.058,edge3,2
4614.21,0,17,22.18,38,1764745742366.929,edge3,2
4279.64,0,20,21.92,36,1764745743365.327,edge3,2
4388.96,1,20,21.92,40,1764745744365.422,edge3,2
6594.13,-1,15,21.92,40,1764745745364.856,edge3,2
4199.94,1,18,22.08,34,1764745746364.904,edge3,2
4464.62,5,16,22.08,38,1764745747364.988,edge3,2
5193.16,-3,16,21.29,40,1764745748364.742,edge3,2
6138.33,4,14,21.29,40,1764745749365.259,edge3,2
5827.17,-3,14,21.29,40,1764745750365.215,edge3,2
6598.88,0,15,20.53,40,1764745751364.992,edge3,2
6731.67,-4,17,20.53,36,1764745752365.219,edge3,2
8242.61,7,17,20.53,40,1764745753364.879,edge3,2
8216.37,-5,16,23.13,38,1764745754365.229,edge3,2
7859.28,1,16,23.13,39,1764745755365.052,edge3,2
7205.59,3,15,22.76,39,1764745756364.739,edge3,2
7078.3,-6,15,22.76,39,1764745757364.909,edge3,2
7009.09,1,16,22.76,40,1764745758364.722,edge3,2
6559.85,3,16,24.28,38,1764745759364.795,edge3,2
6545.89,-3,16,24.28,39,1764745760365.2,edge3,2
6486.67,2,17,24.28,39,1764745761366.375,edge3,2
6647.84,-1,16,23.68,40,1764745762365.036,edge3,2
4886.06,5,17,23.68,30,1764745763364.716,edge3,3
2547.52,-6,33,24.6,15,1764745764365.543,edge3,3
3050.53,2,29,24.6,19,1764745765364.904,edge3,3
3203.75,-3,28,24.6,21,1764745766365.183,edge3,3
2490.6,0,31,24.62,16,1764745767364.716,edge3,3
2945.62,0,30,24.62,19,1764745768365.152,edge3,3
1520.33,0,51,24.62,10,1764745769366.471,edge3,3
1707.68,0,53,24.45,11,1764745770365.091,edge3,3
1469.45,0,67,24.45,9,1764745771364.762,edge3,3
1795.67,0,68,27.52,11,1764745772365.203,edge3,3
1582.27,0,72,27.52,9,1764745773364.869,edge3,3
1540,0,74,27.52,10,1764745774364.862,edge3,3
6445.78,1,22,26.88,33,1764745775364.97,edge3,2
