bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
112.35,-2,22,18.67,20,1764749875171.323,edge3,3
63.76,0,39,23.75,17,1764749876171.042,edge3,3
97.34,0,41,30.4,16,1764749877171.08,edge3,3
188.3,0,44,30.4,17,1764749878170.563,edge3,3
210.09,0,37,30.4,18,1764749879170.608,edge3,3
254.98,0,29,42,20,1764749880171.256,edge3,3
134.39,0,42,42,21,1764749881171.472,edge3,3
59.2,0,60,43.29,13,1764749882174.206,edge3,3
365.53,0,23,43.29,25,1764749883177.969,edge3,3
260.2,0,37,43.29,23,1764749884170.603,edge3,3
225.06,0,58,49,19,1764749885170.76,edge3,3
199.23,0,53,49,15,1764749886170.705,edge3,3
132.66,0,56,49,12,1764749887177.031,edge3,3
239.55,0,53,47.67,16,1764749888171.001,edge3,3
312.81,0,46,47.67,17,1764749889171.044,edge3,3
228.8,0,46,50.3,17,1764749890172.396,edge3,3
200.81,0,40,50.3,19,1764749891171.207,edge3,3
101.3,0,55,50.3,14,1764749892173.07,edge3,3
83.98,0,61,47.45,12,1764749893171.001,edge3,3
128.94,0,47,47.45,19,1764749894175.068,edge3,3
117.26,0,42,47.45,19,1764749895170.614,edge3,3
247.7,0,21,48.25,20,1764749896170.541,edge3,3
159.33,0,24,48.25,18,1764749897172.168,edge3,3
81.48,0,35,45.62,17,1764749898170.745,edge3,3
68.98,0,42,45.62,18,1764749899170.856,edge3,3
2992.49,0,60,45.62,17,1764749900171.116,edge3,3
7824.08,0,42,46.57,18,1764749901170.849,edge3,3
7447.48,0,39,46.57,17,1764749902174.868,edge3,3
3229.76,0,70,46.57,17,1764749903172.457,edge3,3
6758.73,0,55,49.47,18,1764749904170.775,edge3,3
4088.44,0,76,49.47,15,1764749905170.963,edge3,3
6121.94,0,83,49,6,1764749906171.147,edge3,3
3487.51,0,89,49,8,1764749907170.619,edge3,3
1394.53,0,65,49,16,1764749908170.517,edge3,3
266.96,0,69,51.41,11,1764749909170.444,edge3,3
202.51,0,69,51.41,11,1764749910170.632,edge3,3
291.59,0,54,51.41,18,1764749911171.419,edge3,3
213.05,0,62,49.67,11,1764749912170.613,edge3,3
72.17,0,68,49.67,11,1764749913171.433,edge3,3
260.01,0,56,50.37,16,1764749914171.309,edge3,3
233.69,0,51,50.37,13,1764749915170.572,edge3,3
280.63,0,45,50.37,17,1764749916170.625,edge3,3
128.34,0,34,48.95,19,1764749917170.546,edge3,3
59.66,0,50,48.95,19,1764749918170.546,edge3,3
80.21,0,44,48.95,17,1764749919171.224,edge3,3
90.71,0,39,49.24,17,1764749920170.563,edge3,3
2425.17,0,38,49.24,17,1764749921170.791,edge3,3
4515.91,0,68,48.27,11,1764749922170.525,edge3,3
3673.35,0,73,48.27,9,1764749923170.738,edge3,3
3099.23,0,83,48.27,8,1764749924171.089,edge3,3
3095.8,0,87,47.87,7,1764749925170.491,edge3,3
2678.63,0,96,47.87,8,1764749926170.674,edge3,3
2834.39,0,88,47.87,8,1764749927171.44,edge3,3
2852.89,0,62,48.83,15,1764749928170.957,edge3,3
2231.12,0,51,48.83,15,1764749929171.034,edge3,3
1664.05,0,56,47.96,12,1764749930175.094,edge3,3
1818.98,0,51,47.96,13,1764749931170.915,edge3,3
1463.49,0,47,47.96,12,1764749932170.662,edge3,3
1115.75,0,64,48.92,10,1764749933170.641,edge3,3
2165.52,0,49,48.92,16,1764749934170.737,edge3,3
2098.75,0,39,47.7,17,1764749935172.263,edge3,4
1297.03,0,57,47.7,11,1764749936171.339,edge3,4
1293.73,0,55,47.7,12,1764749937170.745,edge3,4
1257.41,0,62,48.64,11,1764749938172.859,edge3,4
924.35,0,69,48.64,8,1764749939175.9,edge3,4
2251.59,0,63,48.64,13,1764749940170.813,edge3,4
1312.75,0,73,47.55,8,1764749941170.915,edge3,4
560.86,0,110,47.55,4,1764749942176.582,edge3,4
754.2,0,124,47.53,6,1764749943171.314,edge3,4
814.68,0,113,47.53,7,1764749944172.306,edge3,4
1092.68,0,109,47.53,7,1764749945171.491,edge3,4
686.72,0,120,49.26,6,1764749946170.634,edge3,4
1654.33,0,86,49.26,12,1764749947171.419,edge3,4
1033.06,0,94,49.26,8,1764749948170.597,edge3,4
721.6,0,113,48.59,5,1764749949170.639,edge3,4
748.11,0,115,48.59,6,1764749950171.283,edge3,4
731.67,0,124,49.45,5,1764749951171.44,edge3,4
1106.45,0,117,49.45,8,1764749952172.261,edge3,4
930.85,0,118,49.45,6,1764749953170.866,edge3,4
1605.2,0,100,48.68,9,1764749954170.964,edge3,4
1235.9,0,97,48.68,7,1764749955172.647,edge3,4
818.62,0,105,48.68,5,1764749956173.292,edge3,4
839.31,0,124,49.06,6,1764749957170.737,edge3,4
1286.52,0,107,49.06,8,1764749958174.449,edge3,4
1471.15,0,99,48.08,9,1764749959172.532,edge3,4
1438.83,0,98,48.08,8,1764749960173.101,edge3,4
973.16,0,111,48.08,5,1764749961170.812,edge3,4
741.53,0,130,48.46,5,1764749962172.363,edge3,4
1286.35,0,124,48.46,7,1764749963214.525,edge3,4
1092.97,0,119,48.46,7,1764749964173.389,edge3,4
1368.79,0,111,49.87,9,1764749965170.543,edge3,4
897.84,0,119,49.87,6,1764749966171.356,edge3,4
1204.8,0,114,49.59,7,1764749967175.703,edge3,4
1409.41,0,117,49.59,7,1764749968177.63,edge3,4
1183.56,0,116,49.59,6,1764749969170.924,edge3,4
791.05,0,134,50.32,5,1764749970172.317,edge3,4
1726.65,0,112,50.32,8,1764749971171.581,edge3,4
1305.11,0,121,50.32,7,1764749972211.656,edge3,4
893.8,0,127,50.12,4,1764749973171.3,edge3,4
1402.53,0,135,50.12,7,1764749974176.426,edge3,4
1582.2,0,118,50.6,7,1764749975170.752,edge3,4
1337.7,0,111,50.6,6,1764749976173.043,edge3,4
1921.72,0,117,50.6,8,1764749977170.659,edge3,4
976.45,0,135,50.37,5,1764749978170.716,edge3,4
1874.97,0,110,50.37,9,1764749979170.699,edge3,4
1118.55,0,125,50.37,5,1764749980170.789,edge3,4
1097.15,0,136,50.7,5,1764749981172.142,edge3,4
1143.12,0,132,50.7,6,1764749982175.102,edge3,4
1636.94,0,118,49.93,8,1764749983171.765,edge3,4
1100.64,0,126,49.93,6,1764749984171.338,edge3,4
967.49,0,136,49.93,5,1764749985171.135,edge3,4
1303.29,0,133,50.07,6,1764749986170.86,edge3,4
672.85,0,149,50.07,3,1764749987171.284,edge3,4
1797.16,0,126,50.07,9,1764749988174.752,edge3,4
1449.59,0,121,51.17,6,1764749989171.682,edge3,4
1478.04,0,111,51.17,9,1764749990170.47,edge3,4
1872.12,0,91,50.92,9,1764749991171.692,edge3,4
1904.63,0,99,50.92,9,1764749992171.534,edge3,5
