bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
342.55,0,18,134.67,67,1764683034926.495,edge1,1
841.18,-2,35,118.25,59,1764683035927.016,edge1,1
791.61,2,20,123.4,61,1764683036926.821,edge1,1
1161.86,3,28,123.4,59,1764683037926.293,edge1,1
1353.05,-2,30,123.4,59,1764683038926.063,edge1,1
1052.57,7,26,115,62,1764683039926.566,edge1,1
2354.34,-8,19,115,59,1764683040926.003,edge1,2
1833.11,4,26,115,61,1764683041926.776,edge1,2
21078.07,146,15,129.71,53,1764683042926.329,edge1,2
27148.19,-141,19,129.71,63,1764683043926.122,edge1,2
1271.04,-12,24,128.5,61,1764683044925.812,edge1,2
871.76,3,32,128.5,53,1764683045926.474,edge1,2
465.57,30,28,128.5,59,1764683046927.341,edge1,2
23735.06,28,15,126.22,51,1764683047925.894,edge1,2
11278.5,-25,13,126.22,66,1764683048925.995,edge1,2
8602.38,-7,18,125.8,61,1764683049926.085,edge1,2
7966.14,7,16,125.8,59,1764683050925.961,edge1,2
11085.37,-18,15,125.8,61,1764683051925.973,edge1,2
8667.05,14,13,123.82,61,1764683052926.676,edge1,2
9308.75,2,15,123.82,59,1764683053926.53,edge1,2
10345.64,-9,17,123.82,58,1764683054926.032,edge1,2
11931.84,39,16,127.25,60,1764683055926.475,edge1,2
13898.12,23,15,127.25,61,1764683056926.535,edge1,2
14865.98,-32,14,127.69,60,1764683057925.993,edge1,2
13455.84,-19,14,127.69,60,1764683058926.579,edge1,2
12679.31,-4,14,127.69,61,1764683059926.819,edge1,2
11950.03,-3,15,123.93,60,1764683060926.766,edge1,2
11360.71,9,18,123.93,59,1764683061927.033,edge1,2
12173.41,8,17,123.93,61,1764683062926.151,edge1,2
11438.47,-7,15,122,60,1764683063926.117,edge1,2
11495.93,8,19,122,59,1764683064929.191,edge1,2
11688.23,26,15,122.5,59,1764683065926.545,edge1,2
12232.7,-28,14,122.5,58,1764683066925.889,edge1,2
11269.64,3,16,122.5,61,1764683067928.036,edge1,2
11468.19,-1,15,123.29,61,1764683068926.636,edge1,2
12241.4,-17,16,123.29,59,1764683069931.399,edge1,2
12036.25,6,15,123.29,59,1764683070926.134,edge1,2
11473.61,5,17,122.39,61,1764683071926.87,edge1,2
13553.7,15,19,122.39,60,1764683072926.368,edge1,2
13346.76,-12,15,126.11,59,1764683073928.978,edge1,2
12416.55,11,13,126.11,59,1764683074926.053,edge1,2
11991.42,-1,16,126.11,63,1764683075926.64,edge1,2
11919.7,-7,16,122.95,58,1764683076926.335,edge1,2
10875.97,-23,17,122.95,62,1764683077929.24,edge1,2
10220.39,-5,22,122.95,56,1764683078928.243,edge1,2
9388.13,6,17,124.33,64,1764683079927.227,edge1,2
6330.73,5,27,124.33,60,1764683080925.871,edge1,2
5216.84,-17,15,121.45,59,1764683081926.125,edge1,2
5696.36,9,22,121.45,60,1764683082926.086,edge1,2
6517.05,8,19,121.45,59,1764683083926.501,edge1,2
6257,7,16,120.91,58,1764683084926.159,edge1,2
6316.06,-4,22,120.91,63,1764683085927.402,edge1,2
7412.45,9,16,120.91,58,1764683086927.675,edge1,2
7564.05,-17,14,119.33,60,1764683087926.244,edge1,2
8394.51,-6,17,119.33,60,1764683088926.48,edge1,2
9737.56,11,19,118.08,57,1764683089925.963,edge1,2
9370.63,-4,16,118.08,59,1764683090926.841,edge1,2
9031.15,7,18,118.08,62,1764683091926.279,edge1,2
9008.72,8,17,116.23,57,1764683092927.084,edge1,2
9373.82,-21,16,116.23,59,1764683093926.333,edge1,2
6929.86,-2,18,112.11,64,1764683094926.099,edge1,2
6006.5,4,18,112.11,60,1764683095929.013,edge1,2
5604.74,2,18,112.11,59,1764683096927.161,edge1,2
7103.07,2,20,109.5,61,1764683097927.985,edge1,2
8839.87,-5,22,109.5,58,1764683098925.935,edge1,2
9902.12,32,22,109.5,60,1764683099926.021,edge1,2
10108.25,-27,15,113.72,59,1764683100926.214,edge1,2
10441.63,-4,20,113.72,59,1764683101925.872,edge1,2
9296.06,21,14,113.72,60,1764683102926.157,edge1,2
9557.93,-20,15,112.4,61,1764683103926.158,edge1,2
10024.62,27,18,112.4,60,1764683104926.205,edge1,2
9318.22,-36,14,111.16,61,1764683105927.059,edge1,2
9434.25,10,15,111.16,57,1764683106926.263,edge1,2
7799.44,15,17,111.16,60,1764683107927.051,edge1,2
8801.45,12,22,110.31,57,1764683108926.287,edge1,2
8515.99,-14,18,110.31,63,1764683109926.151,edge1,2
8022.31,-4,23,110.31,58,1764683110925.8,edge1,2
6545.66,-14,16,114.7,59,1764683111926.777,edge1,2
7188.95,-9,20,114.7,63,1764683112929.022,edge1,2
7783.25,33,21,114.65,60,1764683113926.009,edge1,2
13144.52,12,13,114.65,56,1764683114926.14,edge1,2
15411.46,22,14,114.65,55,1764683115926.454,edge1,2
16007.69,-14,16,113.51,56,1764683116927.788,edge1,2
15901.87,0,16,113.51,58,1764683117926.406,edge1,2
15665.89,-4,14,113.51,56,1764683118927.021,edge1,2
14533.57,-2,12,114.03,61,1764683119926.462,edge1,2
9782.59,-18,18,114.03,61,1764683120930.004,edge1,2
8776.72,6,16,114.19,60,1764683121926.399,edge1,2
10395.21,2,14,114.19,59,1764683122927.028,edge1,2
11537.69,-8,17,114.19,58,1764683123926.148,edge1,2
12831.2,-5,15,115.79,63,1764683124925.879,edge1,2
14149.52,-5,14,115.79,56,1764683125926.347,edge1,2
14294.66,4,16,115.79,62,1764683126927.319,edge1,2
10132.55,8,15,117.23,51,1764683127926.133,edge1,2
9602.07,2,18,117.23,51,1764683128926.365,edge1,2
7328.57,-23,16,118.05,62,1764683129927.101,edge1,2
5844.97,-4,16,118.05,58,1764683130926.335,edge1,2
3498.96,-10,22,118.05,63,1764683131926.265,edge1,2
3391.62,3,20,119.59,55,1764683132931.219,edge1,2
5332.32,27,20,119.59,61,1764683133927.049,edge1,2
6193.27,-21,18,120.19,58,1764683134928.859,edge1,2
6271.8,16,18,120.19,61,1764683135926.074,edge1,2
6753.12,-7,21,120.19,52,1764683136930.154,edge1,2
8055.56,-1,18,118.49,51,1764683137928.673,edge1,2
6995.8,14,15,118.49,59,1764683138926.567,edge1,2
7311.95,-12,22,118.49,60,1764683139926.588,edge1,2
4507.52,-11,19,117.07,57,1764683140927.23,edge1,2
3577.84,-4,21,117.07,62,1764683141926.36,edge1,2
3397.88,2,27,116.58,60,1764683142926.554,edge1,2
5352.87,16,23,116.58,62,1764683143928.53,edge1,2
9755.63,48,17,116.58,56,1764683144926.397,edge1,2
14701.69,-19,13,115.22,55,1764683145928.051,edge1,2
16570.7,-17,15,115.22,58,1764683146926.436,edge1,2
14609.03,-6,16,115.22,60,1764683147928.044,edge1,2
10021.16,-3,15,114.02,60,1764683148926.414,edge1,2
11771.36,22,13,114.02,53,1764683149930.242,edge1,2
11348.99,-17,19,113.4,61,1764683150926.479,edge1,2
12437.96,14,16,113.4,58,1764683151926.214,edge1,2
14131.21,0,15,113.4,55,1764683152926.285,edge1,2
12981.35,22,16,112.96,53,1764683153926.496,edge1,2
12505.5,11,15,112.96,44,1764683154927.806,edge1,2
11858.38,-48,19,112.96,43,1764683155930.044,edge1,2
9152.28,-7,20,111.7,42,1764683156926.097,edge1,1
9529.41,-5,19,111.7,62,1764683157926.876,edge1,1
8186.85,15,17,110.92,64,1764683158926.47,edge1,1
8123.2,-22,17,110.92,54,1764683159927.303,edge1,1
6062.74,5,17,110.92,64,1764683160927.717,edge1,1
7605.41,9,23,109.77,60,1764683161926.687,edge1,1
6897.72,-12,18,109.77,61,1764683162928.189,edge1,1
7221.77,3,16,109.77,57,1764683163927.068,edge1,1
6998.43,8,21,110.09,61,1764683164926.13,edge1,1
6283.38,-9,22,110.09,60,1764683165929.075,edge1,1
6170.94,8,19,110.02,61,1764683166926.241,edge1,1
6884.03,4,25,110.02,59,1764683167926.043,edge1,1
6278.33,17,22,110.02,58,1764683168927.199,edge1,1
12012.63,-27,20,108.67,60,1764683169927.29,edge1,1
9452.48,18,15,108.67,62,1764683170927.866,edge1,1
11125.01,-1,16,108.67,59,1764683171926.238,edge1,1
11206.45,27,15,109.89,56,1764683172926.391,edge1,1
12730.17,-18,22,109.89,60,1764683173926.253,edge1,1
11112.45,-7,17,110.04,59,1764683174927.667,edge1,1
6235.64,-18,20,110.04,60,1764683175930.106,edge1,1
5310.16,-1,23,110.04,63,1764683176926.219,edge1,1
4521.04,0,21,110.86,57,1764683177928.576,edge1,1
4425.79,-9,21,110.86,59,1764683178926.067,edge1,1
4569.14,9,24,110.86,60,1764683179927.401,edge1,1
5420.02,-11,17,110.32,60,1764683180927.632,edge1,1
6788.14,8,19,110.32,60,1764683181929.172,edge1,1
6969.51,-6,17,110.42,60,1764683182926.785,edge1,1
4911.59,-6,21,110.42,57,1764683183925.843,edge1,1
3370.65,2,17,110.42,62,1764683184928.779,edge1,1
4173.83,8,20,108.9,63,1764683185927.308,edge1,1
4125.09,-6,25,108.9,58,1764683186926.084,edge1,1
3554.85,13,27,108.9,59,1764683187926.514,edge1,1
3450.38,-9,19,109.18,63,1764683188927.971,edge1,1
2990.2,-9,28,109.18,61,1764683189926.245,edge1,1
3728.78,10,23,109.95,57,1764683190927.194,edge1,1
2920.57,-7,18,109.95,62,1764683191926.445,edge1,1
3258.78,3,16,109.95,60,1764683192926.129,edge1,1
5194.07,22,18,109.75,61,1764683193927.663,edge1,1
8050.62,-7,17,109.75,57,1764683194926.368,edge1,1
6242.69,-13,22,109.75,61,1764683195926.357,edge1,1
5232.64,14,18,110.6,60,1764683196926.112,edge1,1
4678.41,-1,18,110.6,61,1764683197926.225,edge1,1
5473.38,18,26,110.24,58,1764683198926.21,edge1,1
7632.32,-30,18,110.24,62,1764683199930.296,edge1,1
7442.95,25,19,110.24,58,1764683200926.675,edge1,1
8968.64,11,19,109.88,58,1764683201926.168,edge1,1
10744.12,30,14,109.88,61,1764683202927.432,edge1,1
14152.3,-47,13,109.88,58,1764683203925.933,edge1,1
11996.98,1,20,110.81,62,1764683204927.068,edge1,1
7531.59,-17,19,110.81,59,1764683205930.653,edge1,1
10210.59,15,16,110.67,60,1764683206926.97,edge1,1
9967.17,7,18,110.67,58,1764683207926.77,edge1,1
17154.88,43,16,110.67,54,1764683208926.21,edge1,1
16036.13,-13,12,111.3,61,1764683209926.264,edge1,1
14744.61,-23,14,111.3,61,1764683210927.027,edge1,1
14070.78,-32,17,111.3,59,1764683211929.357,edge1,1
12547.1,41,16,112.61,60,1764683212928.996,edge1,1
12685.02,12,19,112.61,61,1764683213926.04,edge1,1
13504.68,1,13,111.88,58,1764683214926.666,edge1,1
16145.63,23,15,111.88,60,1764683215928.979,edge1,1
19485.35,-20,12,111.88,58,1764683216926.059,edge1,1
18921.3,20,12,112.78,63,1764683217926.331,edge1,1
14832.63,-46,15,112.78,60,1764683218926.819,edge1,1
9395.97,-8,17,112.78,62,1764683219925.844,edge1,1
9563.3,-6,21,112.78,57,1764683220926.168,edge1,1
8902.48,3,22,112.78,61,1764683221926.186,edge1,1
7580.56,-4,17,113.16,59,1764683222926.61,edge1,1
8786.41,0,18,113.16,61,1764683223926.638,edge1,1
8072.02,-12,16,113.16,60,1764683224926.227,edge1,1
6923.98,7,18,112.76,60,1764683225926.434,edge1,1
5372.79,-11,17,112.76,59,1764683226926.312,edge1,1
4019.48,-4,20,112.44,61,1764683227927.435,edge1,1
4311.35,11,26,112.44,55,1764683228926.514,edge1,1
3904.36,-16,19,112.44,65,1764683229928.348,edge1,1
2381.99,5,21,111.74,59,1764683230928.633,edge1,1
2479.68,-6,22,111.74,60,1764683231926.099,edge1,1
2547.99,5,26,111.74,58,1764683232926.648,edge1,1
2501.37,-6,23,112.49,61,1764683233927.283,edge1,1
2287.73,8,22,112.49,60,1764683234926.386,edge1,1
2318.46,4,25,112.56,58,1764683235927.105,edge1,1
2555.42,-6,22,112.56,59,1764683236926.264,edge1,1
3709.62,-2,19,112.56,64,1764683237926.235,edge1,1
5298.76,18,21,111.88,58,1764683238926.141,edge1,1
6179.31,12,18,111.88,59,1764683239926.42,edge1,1
5721.34,-19,15,111.88,60,1764683240926.246,edge1,1
3971.98,-12,20,111.52,60,1764683241926.172,edge1,1
3318.86,-2,18,111.52,61,1764683242926.214,edge1,1
2851.89,6,22,110.99,61,1764683243926.083,edge1,1
3556.48,8,21,110.99,61,1764683244926.341,edge1,1
4351.13,0,23,110.99,59,1764683245926.099,edge1,1
4010.47,-5,17,111.29,58,1764683246927.108,edge1,1
3039.85,-7,23,111.29,59,1764683247926.065,edge1,1
4015.38,7,21,111.29,59,1764683248930.06,edge1,1
6343.5,7,17,110.05,58,1764683249927.68,edge1,1
7868.5,2,18,110.05,63,1764683250926.406,edge1,1
8218.88,-8,20,109.53,58,1764683251926.256,edge1,1
7831.67,28,17,109.53,59,1764683252926.955,edge1,1
12674.55,-22,17,109.53,60,1764683253926.034,edge1,1
13107.21,24,13,109.79,60,1764683254926.246,edge1,1
15787.88,20,15,109.79,60,1764683255926.63,edge1,1
12026.38,3,16,109.79,61,1764683256925.929,edge1,1
10940.34,-23,18,110.03,58,1764683257926.846,edge1,1
9329.22,3,23,110.03,61,1764683258926.322,edge1,1
9150.67,-8,16,109.18,60,1764683259926.105,edge1,1
9350.53,0,17,109.18,59,1764683260926.278,edge1,1
