UE_ID,Avg_FPS,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,MOS,Samples
UE1,59.32,8179.87,116.75,19.92,3.73,25
UE2,59.81,8397.18,57.45,0.28,4.05,67
UE3,59.68,9671.45,119.91,0.78,3.98,41
UE4,58.50,8520.81,109.08,0.10,4.04,271
UE5,60.27,6107.81,76.26,0.33,3.40,15
UE6,59.87,7162.54,14.22,0.00,4.10,548
UE7,59.62,7786.48,51.09,0.35,3.78,26
UE8,59.63,7862.60,52.30,0.01,4.10,539
UE9,59.83,8236.37,58.98,1.10,3.88,29
UE10,59.61,8516.65,109.89,0.02,4.07,847
UE11,59.07,9085.66,120.09,0.44,4.05,111
UE12,59.42,7940.90,53.34,0.05,4.08,332
OVERALL,59.55,8122.36,78.28,1.95,3.94,2851
