bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
302.66,3,12,130.67,53,1764679746107.363,edge1,1
821.82,-1,31,133.75,62,1764679747106.639,edge1,1
734.42,4,33,123.6,58,1764679748106.665,edge1,1
1032.28,-3,26,123.6,57,1764679749107.525,edge1,1
1241.63,-1,29,123.6,62,1764679750107.156,edge1,1
1050.72,-2,30,113.83,62,1764679751106.859,edge1,1
2177.11,-1,22,113.83,59,1764679752107.118,edge1,1
1799.3,4,29,116,61,1764679753106.715,edge1,1
15765.13,152,13,116,55,1764679754106.457,edge1,1
32167.45,-148,13,116,63,1764679755106.611,edge1,1
1531.87,-5,27,115.88,53,1764679756106.911,edge1,1
775.77,-2,38,115.88,62,1764679757106.586,edge1,1
420.3,0,37,115.88,58,1764679758107.31,edge1,1
20009.65,118,15,117.67,57,1764679759107,edge1,1
13950.03,-76,18,117.67,62,1764679760106.493,edge1,1
8436.85,4,16,115.4,61,1764679761106.495,edge1,1
8307.4,-29,21,115.4,58,1764679762107.139,edge1,1
10881.61,36,16,115.4,61,1764679763107.264,edge1,1
8919.71,-21,13,127.55,57,1764679764106.468,edge1,1
