UE_ID,Avg_FPS,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,MOS,Samples
UE1,60.04,7480.39,20.05,0.11,3.79,28
UE2,59.94,9127.98,109.31,0.37,4.05,70
UE3,59.52,9761.00,116.97,0.86,3.99,44
UE4,51.65,6606.71,14.25,-0.01,3.78,273
UE5,59.00,6859.25,119.35,1.68,3.51,19
UE6,58.42,8523.51,100.71,-0.01,4.04,549
UE7,41.87,4598.55,21.44,0.07,3.10,30
UE8,59.01,7152.32,21.49,0.01,4.02,540
UE9,59.88,8286.04,61.15,1.06,3.85,32
UE10,59.77,7831.77,59.44,0.02,4.09,851
UE11,59.23,8546.26,58.29,0.18,4.10,114
UE12,59.35,8640.70,110.01,0.10,4.06,335
OVERALL,58.34,7864.94,63.47,0.07,3.87,2885
