UE_ID,Avg_FPS,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,MOS,Samples
UE1,59.96,7493.34,14.16,0.00,3.84,28
UE2,59.91,8486.82,55.07,0.16,4.08,70
UE3,59.89,9724.27,123.56,0.43,3.99,44
UE4,59.42,7108.82,16.23,-0.00,4.04,273
UE5,59.95,6587.62,52.97,0.32,3.59,19
UE6,59.35,8523.38,111.45,1.05,4.07,551
UE7,39.90,4171.40,27.31,0.10,2.91,30
UE8,59.62,7843.48,58.14,0.03,4.09,543
UE9,59.44,8923.53,108.34,1.78,3.87,32
UE10,59.69,7119.14,17.84,-0.00,4.08,851
UE11,57.57,8454.18,58.70,0.12,4.05,114
UE12,59.23,8620.35,112.39,0.06,4.05,335
OVERALL,59.25,7810.97,59.49,0.25,3.89,2890
