UE_ID,Avg_FPS,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,MOS,Samples
UE1,60.07,7476.13,11.72,0.14,3.81,28
UE2,48.46,6420.21,15.71,-0.03,3.61,70
UE3,48.00,6425.16,23.22,0.09,3.42,44
UE4,31.87,4454.58,23.41,-0.01,2.60,271
UE5,45.79,4461.79,19.71,-0.05,2.96,19
UE6,14.38,2026.70,36.91,0.00,1.55,551
UE7,16.43,372.90,39.29,0.00,1.04,30
UE8,10.74,1669.49,58.46,0.00,1.27,541
UE9,9.78,96.05,53.55,-0.06,1.00,32
UE10,44.70,6071.26,50.47,0.00,2.93,847
UE11,5.80,474.49,59.73,-0.01,1.00,114
UE12,7.97,1185.18,69.74,-0.00,1.14,332
OVERALL,25.15,3423.94,47.49,0.00,2.19,2879
