UE_ID,Avg_FPS,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,MOS,Samples
UE1,60.04,7495.31,14.21,0.18,3.81,28
UE2,49.46,6561.07,15.26,0.00,3.66,70
UE3,48.57,6625.33,19.22,0.18,3.53,44
UE4,33.17,4477.73,22.47,-0.00,2.68,273
UE5,49.11,4870.27,20.58,-0.05,3.19,19
UE6,14.56,2084.62,36.16,0.00,1.55,551
UE7,16.40,363.80,45.22,0.37,1.03,30
UE8,11.63,1693.32,53.05,-0.00,1.33,543
UE9,7.84,72.86,54.21,0.00,1.00,32
UE10,45.18,6069.46,49.31,0.00,2.92,848
UE11,5.90,637.65,52.52,-0.02,1.00,114
UE12,8.24,1219.06,61.38,0.01,1.14,333
OVERALL,29.17,3514.21,36.97,0.06,2.24,2885
