bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
434.78,-1,5,26.33,64,1764770378294.845,edge3,1
873.27,0,7,24,60,1764770379295.386,edge3,1
940.87,0,4,21.8,60,1764770380294.632,edge3,1
878.63,0,4,21.8,60,1764770381294.752,edge3,1
905.33,0,7,21,60,1764770382294.81,edge3,1
662.7,0,6,21,60,1764770383294.568,edge3,1
676.38,0,6,21,60,1764770384294.656,edge3,1
1635.06,39,5,18.43,59,1764770385294.494,edge3,1
29513.05,-25,9,18.43,60,1764770386294.594,edge3,1
14610.66,-13,7,18.43,60,1764770387294.696,edge3,1
978.29,-1,7,18,60,1764770388294.955,edge3,1
587.88,0,7,18,61,1764770389294.587,edge3,1
5580.15,30,7,17.67,58,1764770390295.19,edge3,1
21023.87,-21,8,17.67,60,1764770391294.728,edge3,1
7686.59,-9,7,17.67,61,1764770392294.499,edge3,1
7309.07,0,8,18.2,60,1764770393294.502,edge3,1
8470.45,2,7,18.2,60,1764770394294.495,edge3,1
7772.07,-1,7,18.2,61,1764770395294.502,edge3,1
7253.29,2,6,17.45,59,1764770396294.528,edge3,1
8757.17,3,7,17.45,60,1764770397294.494,edge3,1
8771.68,-6,7,16.92,60,1764770398296.4,edge3,1
10885.08,1,6,16.92,60,1764770399294.656,edge3,1
12746.3,3,6,16.92,60,1764770400294.471,edge3,1
12307.19,-3,7,16.69,60,1764770401294.495,edge3,1
11066.8,-1,6,16.69,60,1764770402295.022,edge3,1
10671.52,1,9,16.69,61,1764770403296.018,edge3,1
9762.56,6,7,17.07,60,1764770404294.447,edge3,1
10034.03,-2,8,17.07,59,1764770405294.57,edge3,1
10023.7,-1,7,16.8,61,1764770406294.672,edge3,1
9925.25,-4,7,16.8,60,1764770407294.736,edge3,1
9554.9,0,8,16.8,59,1764770408295.434,edge3,1
10136.45,5,9,16.25,60,1764770409294.581,edge3,1
9808.42,-3,6,16.25,61,1764770410294.555,edge3,1
9500.46,1,7,15.65,59,1764770411294.518,edge3,1
10134.24,-3,6,15.65,60,1764770412295.913,edge3,1
10426.66,7,6,15.65,60,1764770413294.951,edge3,1
9540.34,-5,8,15.44,60,1764770414294.547,edge3,1
10480.24,-2,8,15.44,60,1764770415294.501,edge3,1
11652.13,5,8,15.44,60,1764770416294.506,edge3,1
10969.9,4,7,16.16,60,1764770417294.648,edge3,1
10265.95,-9,7,16.16,60,1764770418294.878,edge3,1
10378.34,7,7,16,61,1764770419295.982,edge3,1
9656.48,-2,7,16,59,1764770420294.489,edge3,1
8749.24,1,9,16,60,1764770421294.587,edge3,1
8430.27,-2,6,15.81,60,1764770422294.568,edge3,1
7143.88,-1,6,15.81,60,1764770423295.072,edge3,1
4473.65,-3,5,15.81,61,1764770424296.063,edge3,1
4317.45,3,6,15.82,60,1764770425294.497,edge3,1
5435.82,-2,7,15.82,59,1764770426294.522,edge3,1
5400.66,1,7,15.7,60,1764770427294.655,edge3,1
4946.31,-2,7,15.7,61,1764770428295.495,edge3,1
5754.31,0,7,15.7,60,1764770429294.818,edge3,1
6038.1,0,7,15.79,60,1764770430294.708,edge3,1
6602.42,0,7,15.79,60,1764770431294.523,edge3,1
7835.12,0,7,15.79,60,1764770432295.952,edge3,1
8082.57,4,8,15.64,60,1764770433294.723,edge3,1
7656.26,1,6,15.64,60,1764770434294.723,edge3,1
