bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
282.37,0,7,12.67,62,1768304402988.589,edge1,3
750.71,0,8,12.5,59,1768304403990.188,edge1,3
1563.48,0,5,12.8,61,1768304404988.037,edge1,3
1460.52,0,8,12.8,59,1768304405988.42,edge1,3
1445.23,0,5,12.8,62,1768304406990.278,edge1,3
1201.56,0,4,11.67,60,1768304407988.236,edge1,3
1301.41,0,8,11.67,60,1768304408988.698,edge1,3
1075.3,0,9,12.71,58,1768304409988.396,edge1,3
15255.58,0,8,12.71,59,1768304410989.624,edge1,3
9481.09,0,9,12.71,58,1768304411989.615,edge1,3
639.07,0,8,14.88,60,1768304412990.785,edge1,3
468.86,0,5,14.88,60,1768304413988.909,edge1,3
1793.3,0,7,14.88,59,1768304414988.464,edge1,3
12596.91,0,9,13.67,60,1768304415989.215,edge1,3
4826.98,0,7,13.67,60,1768304416988.546,edge1,3
4155.99,0,8,13.5,60,1768304417988.812,edge1,3
4729.68,0,6,13.5,59,1768304418989.143,edge1,3
5217.49,0,8,13.5,59,1768304419988.526,edge1,3
4361.87,0,10,13,60,1768304420989.361,edge1,3
5048.97,0,6,13,61,1768304421988.035,edge1,3
5165.74,0,7,13,59,1768304422988.548,edge1,3
6108.89,0,8,13.33,60,1768304423989.574,edge1,3
7156.38,0,8,13.33,60,1768304424990.617,edge1,3
7208.67,0,6,13.85,59,1768304425989.304,edge1,3
6534.61,0,7,13.85,60,1768304426989.399,edge1,3
6125.02,0,6,13.85,60,1768304427988.262,edge1,3
5786.16,0,7,13.36,61,1768304428989.219,edge1,3
5576.14,0,5,13.36,60,1768304429988.681,edge1,3
5971.73,0,7,13.36,60,1768304430988.857,edge1,3
5762.61,0,5,13.6,59,1768304431988.233,edge1,3
5550.8,0,7,13.6,60,1768304432991.422,edge1,3
5588.02,0,6,13.19,60,1768304433988.368,edge1,3
5987.24,0,6,13.19,60,1768304434989.824,edge1,3
5540.89,0,7,13.19,60,1768304435988.27,edge1,3
5787.2,0,6,12.82,60,1768304436989.684,edge1,3
5888.25,0,8,12.82,59,1768304437989.205,edge1,3
5679.62,0,6,12.82,62,1768304438988.527,edge1,3
6007.97,0,6,12.56,59,1768304439988.306,edge1,3
6539.54,0,5,12.56,61,1768304440988.225,edge1,3
6517.6,0,8,12.53,61,1768304441988.207,edge1,3
5816.32,0,8,12.53,60,1768304442988.027,edge1,3
6230.38,0,5,12.53,59,1768304443988.409,edge1,3
5496.7,0,7,12.5,61,1768304444991.022,edge1,3
5121.87,0,5,12.5,60,1768304445988.476,edge1,3
5009.45,0,6,12.5,59,1768304446988.11,edge1,3
4478.77,0,7,12.71,61,1768304447988.191,edge1,3
2791.63,0,8,12.71,60,1768304448988.063,edge1,3
2645.12,0,6,12.73,60,1768304449988.027,edge1,3
3068.02,0,8,12.73,59,1768304450988.333,edge1,3
3433.72,0,8,12.73,60,1768304451989.289,edge1,3
3144.22,0,7,12.43,61,1768304452988.2,edge1,3
3401.68,0,6,12.43,59,1768304453988.076,edge1,3
3761.43,0,7,12.21,61,1768304454988.22,edge1,3
3860.11,0,7,12.21,60,1768304455988.942,edge1,3
4495.93,0,5,12.21,60,1768304456989.666,edge1,3
5061.36,0,7,12.08,60,1768304457988.31,edge1,3
4351.45,0,7,12.08,60,1768304458988.383,edge1,3
4674.83,0,7,12.08,59,1768304459988.45,edge1,3
4814.55,0,8,12.12,60,1768304460989.461,edge1,3
4180.15,0,8,12.12,60,1768304461988.806,edge1,3
3290.09,0,8,12.3,61,1768304462988.542,edge1,3
2864.99,0,8,12.3,60,1768304463988.415,edge1,3
2967.61,0,10,12.3,57,1768304464988.4,edge1,3
3865.59,0,6,12.32,62,1768304465988.204,edge1,3
4589.64,0,7,12.32,60,1768304466989.331,edge1,3
5007.47,0,5,12.32,61,1768304467988.282,edge1,3
4950.67,0,7,12.24,60,1768304468988.375,edge1,3
5152.16,0,6,12.24,60,1768304469987.882,edge1,3
4515.49,0,6,11.97,60,1768304470988.057,edge1,3
4979.76,0,7,11.97,60,1768304471987.992,edge1,3
4773.64,0,4,11.97,60,1768304472987.987,edge1,3
4564.99,0,5,11.74,60,1768304473988.094,edge1,3
4577.32,0,5,11.74,60,1768304474988.453,edge1,3
4344.38,0,7,11.74,60,1768304475988.314,edge1,3
4134.01,0,5,11.63,60,1768304476987.916,edge1,3
4296.95,0,10,11.63,58,1768304477988.148,edge1,3
3776.15,0,7,11.48,62,1768304478988.094,edge1,3
3117.77,0,7,11.48,60,1768304479988.083,edge1,3
3568.25,0,6,11.48,60,1768304480987.912,edge1,3
4416.4,0,5,11.35,60,1768304481988,edge1,3
7135.83,0,6,11.35,60,1768304482988.112,edge1,3
7879.6,0,6,11.35,60,1768304483988.015,edge1,3
7917.65,0,5,11.17,60,1768304484987.979,edge1,3
7563.84,0,7,11.17,59,1768304485988.304,edge1,3
7475.77,0,9,11.03,60,1768304486987.984,edge1,3
6514.59,0,7,11.03,60,1768304487988.06,edge1,3
4627.59,0,5,11.03,61,1768304488988.03,edge1,3
4478.55,0,8,10.97,58,1768304489987.996,edge1,3
5548.16,0,6,10.97,62,1768304490988.374,edge1,3
5741.05,0,7,10.97,60,1768304491988.599,edge1,3
6326.5,0,8,10.87,58,1768304492988.289,edge1,3
7155.84,0,5,10.87,62,1768304493988.064,edge1,3
6663.14,0,6,10.87,60,1768304494988.031,edge1,3
4985.97,0,6,10.87,60,1768304495988.157,edge1,3
4243.84,0,7,10.87,60,1768304496987.851,edge1,3
3517,0,6,10.82,60,1768304497987.894,edge1,3
2504.98,0,5,10.82,60,1768304498990.419,edge1,3
1721.63,0,9,10.82,60,1768304499988.226,edge1,3
2152.33,0,7,10.85,60,1768304500988.264,edge1,3
2802.76,0,6,10.85,60,1768304501988.149,edge1,3
3015.88,0,6,10.71,60,1768304502987.94,edge1,3
3459.91,0,4,10.71,60,1768304503988.128,edge1,3
3309.81,0,5,10.71,60,1768304504988.07,edge1,3
4204.64,0,6,10.58,60,1768304505988.183,edge1,3
3777.18,0,7,10.58,60,1768304506988.229,edge1,3
3140.43,0,5,10.58,60,1768304507988.302,edge1,3
1823.45,0,5,10.43,60,1768304508988.034,edge1,3
1967.26,0,6,10.43,60,1768304509987.881,edge1,3
1938.67,0,7,10.29,60,1768304510988.183,edge1,3
3246.19,0,6,10.29,60,1768304511988.277,edge1,3
5833.32,0,6,10.29,60,1768304512988.005,edge1,3
7703.32,0,6,10.15,60,1768304513988.388,edge1,3
8431.92,0,5,10.15,60,1768304514988.152,edge1,3
6098.23,0,6,10.15,59,1768304515988.16,edge1,3
5025.78,0,7,10.04,60,1768304516988.234,edge1,3
5868.54,0,7,10.04,60,1768304517988.199,edge1,3
5585.26,0,8,9.96,60,1768304518988.061,edge1,3
6568.1,0,6,9.96,60,1768304519988.136,edge1,3
6918.98,0,8,9.96,60,1768304520988.352,edge1,3
6115.53,0,6,9.84,59,1768304521987.944,edge1,3
6641.32,0,8,9.84,61,1768304522988.225,edge1,3
4872.66,0,5,9.84,60,1768304523988.79,edge1,3
4637.55,0,5,9.7,60,1768304524987.928,edge1,3
4505.61,0,7,9.7,60,1768304525988.064,edge1,3
4439.17,0,6,9.59,61,1768304526988.255,edge1,3
3528.37,0,9,9.59,60,1768304527988.329,edge1,3
3314.06,0,9,9.59,57,1768304528988.082,edge1,3
3822.91,0,5,9.5,63,1768304529988.168,edge1,3
3590.02,0,5,9.5,60,1768304530987.925,edge1,3
3389.51,0,6,9.43,60,1768304531988.11,edge1,3
3654.98,0,3,9.43,60,1768304532987.986,edge1,2
2839.66,0,5,9.43,60,1768304533987.914,edge1,2
3355.27,0,5,9.31,60,1768304534988.059,edge1,2
3488.55,0,3,9.31,60,1768304535988.056,edge1,2
3720.41,0,4,9.31,60,1768304536987.918,edge1,2
5826.7,0,5,9.22,60,1768304537987.91,edge1,2
4535.16,0,6,9.22,60,1768304538988.179,edge1,2
5508.7,0,6,9.11,60,1768304539988.422,edge1,2
6258,0,5,9.11,60,1768304540988.47,edge1,2
5354.89,0,7,9.11,59,1768304541988.156,edge1,2
5373.78,0,4,9.05,61,1768304542987.878,edge1,2
2658.2,0,6,9.05,59,1768304543988.135,edge1,2
2573.11,0,4,9.05,61,1768304544988.148,edge1,2
2333.88,0,5,8.98,60,1768304545988.985,edge1,2
2291.71,0,4,8.98,60,1768304546989.057,edge1,2
2511.59,0,3,8.93,60,1768304547987.931,edge1,2
3001.09,0,6,8.93,59,1768304548988.054,edge1,2
3677.79,0,6,8.93,61,1768304549987.922,edge1,2
3289.93,0,4,8.87,60,1768304550987.93,edge1,2
1988.83,0,2,8.87,60,1768304551991.372,edge1,2
1929.5,0,5,8.87,60,1768304552988.489,edge1,2
2309.27,0,4,8.77,60,1768304553988.226,edge1,2
1884.36,0,2,8.77,60,1768304554988.357,edge1,2
1873.09,0,3,8.69,60,1768304555988.732,edge1,2
1804.09,0,2,8.69,60,1768304556988.257,edge1,2
1587.83,0,5,8.69,60,1768304557988.184,edge1,2
1948.09,0,5,8.59,60,1768304558987.942,edge1,2
1462.05,0,2,8.59,59,1768304559988.362,edge1,2
1906.05,0,3,8.59,61,1768304560988.369,edge1,2
3109.05,0,5,8.5,60,1768304561988.185,edge1,2
4058.24,0,6,8.5,60,1768304562988.428,edge1,2
2908.19,0,2,8.43,60,1768304563988.155,edge1,1
2619.45,0,1,8.43,60,1768304564988.128,edge1,1
2408.82,0,1,8.43,60,1768304565987.962,edge1,1
3147.63,0,2,8.38,60,1768304566988.097,edge1,1
3774.57,0,2,8.38,60,1768304567988.264,edge1,1
3971.68,0,3,8.38,60,1768304568988.096,edge1,1
4637.21,0,2,8.3,60,1768304569988.197,edge1,1
6318.71,0,3,8.3,60,1768304570988.034,edge1,1
6301.13,0,3,8.24,60,1768304571988.586,edge1,1
5503.49,0,2,8.24,60,1768304572992.74,edge1,1
3961.57,0,2,8.24,60,1768304573987.996,edge1,1
5197.01,0,4,8.17,60,1768304574987.948,edge1,1
5642.35,0,3,8.17,60,1768304575988.079,edge1,1
8923.8,0,1,8.17,60,1768304576989.486,edge1,1
7555.27,0,2,8.17,60,1768304577988.38,edge1,1
7027.82,0,3,8.17,60,1768304578990.131,edge1,1
6546.52,0,4,8.1,59,1768304579988.965,edge1,1
6496.2,0,1,8.1,61,1768304580987.957,edge1,1
6078.08,0,2,8.1,60,1768304581989.536,edge1,1
6606.39,0,3,8.03,60,1768304582990.249,edge1,1
8757.82,0,3,8.03,60,1768304583988.394,edge1,1
10377.28,0,6,8.03,60,1768304584992.49,edge1,1
8319.89,0,5,7.97,59,1768304585987.995,edge1,1
6736.24,0,2,7.97,61,1768304586987.873,edge1,1
4366.73,0,1,7.92,60,1768304587988.494,edge1,1
4688.12,0,2,7.92,59,1768304588988.368,edge1,1
4252.93,0,3,7.92,61,1768304589988.18,edge1,1
3906.78,0,2,7.88,60,1768304590988.312,edge1,1
4540.11,0,2,7.88,60,1768304591988.297,edge1,1
3748.02,0,2,7.88,60,1768304592988.953,edge1,1
3179.9,0,2,7.84,60,1768304593992.267,edge1,1
2467.48,0,2,7.84,60,1768304594988.25,edge1,1
2145.84,0,2,7.79,59,1768304595999.448,edge1,1
2140.71,0,2,7.79,60,1768304596987.857,edge1,1
1820,0,2,7.79,60,1768304597988.795,edge1,1
1254.98,0,1,7.73,60,1768304598991.831,edge1,1
1243.07,0,1,7.73,60,1768304599991.445,edge1,1
1352.19,0,1,7.73,60,1768304600988.148,edge1,1
1321.33,0,2,7.7,60,1768304601987.838,edge1,1
1277.78,0,3,7.7,60,1768304602988.091,edge1,1
1416.58,0,1,7.66,60,1768304603994.971,edge1,1
1313.77,0,1,7.66,60,1768304604987.901,edge1,1
2046.95,0,1,7.66,60,1768304605988.555,edge1,1
2977.9,0,3,7.6,60,1768304606988.067,edge1,1
3216.32,0,2,7.6,60,1768304607988.034,edge1,1
2587.59,0,1,7.6,60,1768304608989.005,edge1,1
1951.34,0,1,7.57,60,1768304609988.056,edge1,1
1583.47,0,1,7.57,60,1768304610988.932,edge1,1
1441.5,0,2,7.53,60,1768304611988.472,edge1,1
2044.63,0,3,7.53,60,1768304612987.999,edge1,1
2348.99,0,2,7.53,60,1768304613988.393,edge1,1
1772.31,0,2,7.52,60,1768304614989.391,edge1,1
1797.71,0,3,7.52,60,1768304615992.681,edge1,1
2372.52,0,3,7.47,60,1768304616987.88,edge1,1
3352.98,0,8,7.47,58,1768304617987.922,edge1,1
4123.42,0,3,7.47,62,1768304618988.924,edge1,1
4012.47,0,2,7.43,60,1768304619989.574,edge1,1
4965.17,0,2,7.43,60,1768304620989.233,edge1,1
5944.55,0,2,7.43,60,1768304621988.178,edge1,1
7088.05,0,2,7.41,60,1768304622987.887,edge1,1
7529.42,0,3,7.41,60,1768304623987.848,edge1,1
6042.04,0,2,7.38,60,1768304624988.166,edge1,1
4845.94,0,2,7.38,60,1768304625988.281,edge1,1
4519.95,0,4,7.38,60,1768304626991.617,edge1,1
4402.38,0,7,7.33,59,1768304627988.009,edge1,1
4980.41,0,3,7.33,61,1768304628987.941,edge1,1
5883.99,0,2,7.33,60,1768304629989.393,edge1,1
3968.27,0,3,7.29,60,1768304630989.324,edge1,1
4860.93,0,3,7.29,60,1768304631988.428,edge1,1
5277.05,0,4,7.24,60,1768304632988.268,edge1,1
4997.86,0,2,7.24,60,1768304633988.2,edge1,1
4509.17,0,3,7.24,60,1768304634989.136,edge1,1
3966.65,0,2,7.21,60,1768304635988.664,edge1,1
3699.8,0,2,7.21,60,1768304636992.347,edge1,1
4050.58,0,3,7.21,60,1768304637988.022,edge1,1
3876.85,0,2,7.17,60,1768304638992.652,edge1,1
3691.73,0,3,7.17,60,1768304639989.606,edge1,1
4196.09,0,3,7.15,60,1768304640988.817,edge1,1
4729.59,0,3,7.15,60,1768304641988.296,edge1,1
4773.48,0,4,7.15,60,1768304642987.833,edge1,1
4495.41,0,2,7.11,60,1768304643988.033,edge1,1
3788.19,0,2,7.11,60,1768304644988.08,edge1,1
3850.41,0,3,7.11,60,1768304645988.727,edge1,1
4271.37,0,3,7.08,60,1768304646988.236,edge1,1
3680.32,0,2,7.08,60,1768304647988.072,edge1,1
3979.56,0,3,7.04,60,1768304648989.05,edge1,1
4894.54,0,4,7.04,60,1768304649987.856,edge1,1
4671.42,0,3,7.04,60,1768304650988.358,edge1,1
4465.63,0,2,7.01,60,1768304651991.349,edge1,1
3000.91,0,2,7.01,60,1768304652988.086,edge1,1
1964.1,0,2,7.01,60,1768304653987.966,edge1,1
1467.66,0,2,6.98,60,1768304654988.08,edge1,1
1496.91,0,1,6.98,60,1768304655988.585,edge1,1
1919.92,0,2,6.94,60,1768304656988.248,edge1,1
1076.27,0,1,6.94,60,1768304657988.056,edge1,1
1418.34,0,2,6.94,60,1768304658988.155,edge1,1
1924.55,0,1,6.93,60,1768304659988.143,edge1,1
2590.75,0,2,6.93,60,1768304660987.839,edge1,1
3571.02,0,2,6.93,59,1768304661988.078,edge1,1
3965.86,0,1,6.89,61,1768304662990.191,edge1,1
3968.9,0,2,6.89,60,1768304663987.823,edge1,1
5201.53,0,2,6.86,60,1768304664987.829,edge1,1
5434.63,0,4,6.86,60,1768304665988.034,edge1,1
6513.13,0,3,6.86,60,1768304666987.957,edge1,1
5228.98,0,2,6.84,60,1768304667988.214,edge1,1
5691.81,0,2,6.84,60,1768304668988.663,edge1,1
5123.86,0,2,6.84,60,1768304669987.898,edge1,1
4814.08,0,5,6.81,59,1768304670987.924,edge1,1
4595.2,0,2,6.81,61,1768304671988.279,edge1,1
4044.38,0,4,6.77,60,1768304672988.059,edge1,1
4103.35,0,5,6.77,60,1768304673988.055,edge1,1
