UE_ID,Avg_FPS,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,MOS,Samples
UE1,59.93,4356.91,3.11,0.00,3.66,28
UE2,60.01,4556.99,3.82,0.00,3.83,70
UE3,60.05,5061.73,5.09,0.00,3.87,44
UE4,52.47,3871.36,4.12,0.00,3.52,273
UE5,60.00,3555.25,4.40,0.00,3.40,19
UE6,59.93,4284.65,7.21,0.00,3.83,551
UE7,40.10,2525.14,14.48,0.00,2.79,30
UE8,56.62,4208.96,10.33,0.00,3.70,543
UE9,60.06,4703.13,7.51,0.00,3.76,32
UE10,59.94,4266.09,8.56,0.01,3.83,851
UE11,59.07,3200.37,13.99,0.00,3.14,14
UE12,59.92,4334.10,10.37,0.00,3.82,336
OVERALL,57.34,4077.06,7.75,0.00,3.60,2791
