bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
85.12,-2,28,39,16,1762535718344.047,edge3,3
61.57,0,47,43.5,13,1762535719344.871,edge3,3
123.63,0,38,52.4,20,1762535720345.512,edge3,3
203.26,0,41,52.4,20,1762535721344.157,edge3,3
168.02,0,43,47.33,20,1762535722347.348,edge3,3
244.72,0,33,47.33,20,1762535723344,edge3,3
126.69,0,42,47.33,21,1762535724343.775,edge3,3
176.99,0,40,50,20,1762535725348.154,edge3,3
157.03,0,39,50,20,1762535726344.513,edge3,3
317.37,0,35,50,20,1762535727345.172,edge3,3
307.66,0,41,46.63,20,1762535728343.727,edge3,3
270.36,0,36,46.63,20,1762535729346.34,edge3,3
199.32,0,50,47.78,18,1762535730343.859,edge3,3
374.83,0,39,47.78,21,1762535731344.552,edge3,3
275.26,0,36,47.78,20,1762535732345.074,edge3,3
167.63,0,34,45.3,21,1762535733344.806,edge3,3
152.25,0,35,45.3,20,1762535734344.401,edge3,3
149.74,0,29,45.3,21,1762535735345.473,edge3,3
136.73,0,36,45.82,20,1762535736344.011,edge3,3
120.46,0,33,45.82,20,1762535737347.704,edge3,3
106.33,0,31,45.25,20,1762535738343.722,edge3,3
123.9,0,30,45.25,20,1762535739347.119,edge3,3
94.8,0,42,45.25,20,1762535740345.393,edge3,3
2626.04,0,46,43.62,20,1762535741344.581,edge3,3
5599.82,4,55,43.62,20,1762535742345.127,edge3,3
5451.98,-4,50,43.62,17,1762535743343.979,edge3,3
5539.12,0,55,46.14,11,1762535744346.451,edge3,3
5197.48,0,60,46.14,11,1762535745344.411,edge3,3
8444.45,0,51,45.2,14,1762535746344.347,edge3,3
7434.05,0,67,45.2,8,1762535747344.357,edge3,4
3683.18,0,43,45.2,21,1762535748351.095,edge3,4
487.53,0,37,46.19,23,1762535749343.96,edge3,4
332.63,1,32,46.19,20,1762535750346.32,edge3,4
505.55,-1,41,44.24,10,1762535751343.853,edge3,4
493.92,0,32,44.24,5,1762535752346.42,edge3,4
1928.55,0,60,44.24,7,1762535753346.375,edge3,4
5437.53,0,70,44.33,5,1762535754344.994,edge3,4
4053.51,4,78,44.33,6,1762535755343.9,edge3,4
3292.59,4,88,44.33,10,1762535756343.766,edge3,4
3274.73,-8,83,46.47,9,1762535757345.563,edge3,4
2768.07,0,83,46.47,17,1762535758344.657,edge3,4
2330.3,4,78,46.55,20,1762535759343.702,edge3,4
1947.33,-4,66,46.55,20,1762535760343.826,edge3,4
1054.51,0,90,46.55,20,1762535761347.962,edge3,4
1396.36,0,83,48.57,11,1762535762345.183,edge3,4
1384.55,0,75,48.57,9,1762535763343.881,edge3,4
991.88,0,81,48.57,8,1762535764343.757,edge3,4
875.2,0,92,47.36,8,1762535765345.837,edge3,4
1169.12,2,82,47.36,7,1762535766346.098,edge3,4
1005.91,4,91,48.3,7,1762535767344.473,edge3,4
1171.67,0,86,48.3,8,1762535768344.689,edge3,4
1379.63,-1,79,48.3,9,1762535769345.603,edge3,4
1071.8,3,77,47.04,7,1762535770343.794,edge3,4
1017.28,0,92,47.04,6,1762535771343.758,edge3,4
1712.89,-8,76,47.04,9,1762535772344.04,edge3,4
1796.43,0,66,47,12,1762535773344.584,edge3,4
1303.23,0,73,47,6,1762535774343.685,edge3,4
1343.33,5,74,45.5,11,1762535775344.011,edge3,4
1102.39,-4,75,45.5,8,1762535776346.82,edge3,4
881.81,-1,96,45.5,6,1762535777343.801,edge3,5
1104.04,4,98,45.78,7,1762535778345.071,edge3,5
1324.02,-4,90,45.78,8,1762535779343.802,edge3,5
1964.84,3,79,45.78,11,1762535780346.277,edge3,5
1493.21,-2,82,47.18,9,1762535781344.148,edge3,5
1306.57,1,81,47.18,9,1762535782343.992,edge3,5
727.02,-2,86,46.83,6,1762535783343.65,edge3,5
435.44,0,135,46.83,3,1762535784348.936,edge3,5
395.28,0,159,46.83,4,1762535785343.803,edge3,5
639.49,0,178,47.93,3,1762535786346.338,edge3,5
1167.02,0,157,47.93,8,1762535787343.88,edge3,5
739.23,0,162,47.93,4,1762535788344.051,edge3,5
1223.1,0,141,46.81,7,1762535789343.785,edge3,5
528.04,3,162,46.81,3,1762535790346.335,edge3,5
1034.53,-3,170,47.28,5,1762535791345.541,edge3,5
348.76,3,202,47.28,2,1762535792343.845,edge3,5
592.86,-3,201,47.28,5,1762535793343.66,edge3,5
1481.34,0,158,46.48,7,1762535794343.84,edge3,5
1355.43,0,147,46.48,5,1762535795343.988,edge3,5
665.45,5,171,46.48,3,1762535796344.077,edge3,5
448.63,-5,193,46.5,2,1762535797344.471,edge3,5
1634.62,0,182,46.5,6,1762535798344.876,edge3,5
1741.95,0,151,45.49,6,1762535799346.563,edge3,5
2015.56,0,120,45.49,8,1762535800344.505,edge3,5
940.61,0,147,45.49,3,1762535801345.613,edge3,5
676.74,0,179,45.22,3,1762535802343.984,edge3,5
573.73,0,200,45.22,2,1762535803343.696,edge3,5
307.03,3,251,45.22,1,1762535804345.161,edge3,5
629.73,-3,257,46.43,3,1762535805343.722,edge3,5
491.04,0,275,46.43,2,1762535806343.811,edge3,5
1053.85,0,284,45.89,4,1762535807343.729,edge3,5
1052.89,0,265,45.89,4,1762535808343.809,edge3,5
392.55,0,266,45.89,2,1762535809343.628,edge3,5
1301.31,0,252,46.38,5,1762535810343.928,edge3,5
1261.53,1,217,46.38,5,1762535811346.228,edge3,5
1238.34,-1,196,46.38,6,1762535812346.114,edge3,5
575.51,0,227,45.92,2,1762535813343.663,edge3,5
1092.19,4,217,45.92,4,1762535814343.986,edge3,5
904.31,-4,205,46.1,5,1762535815344.354,edge3,5
1420.81,0,180,46.1,6,1762535816344.699,edge3,5
977.52,0,176,46.1,4,1762535817344.953,edge3,5
914.63,0,175,45.36,5,1762535818344.109,edge3,5
