bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
406.49,-2,13,54.67,60,1762536770038.829,edge2,1
737.98,0,21,54.5,61,1762536771038.438,edge2,1
686.41,2,17,51,60,1762536772039.357,edge2,1
1120.75,-2,15,51,60,1762536773039.149,edge2,1
1123.97,0,14,51,60,1762536774038.596,edge2,1
908.49,2,14,43.17,59,1762536775038.535,edge2,1
1684.52,1,12,43.17,61,1762536776038.261,edge2,1
1256.3,2,13,45.86,60,1762536777038.296,edge2,1
23904.02,57,8,45.86,58,1762536778039.942,edge2,1
23377.47,-57,10,45.86,61,1762536779038.43,edge2,1
958.57,-5,18,51.63,60,1762536780038.723,edge2,1
491.4,0,22,51.63,59,1762536781038.218,edge2,1
874.68,20,16,51.63,60,1762536782038.274,edge2,1
24250.21,4,10,50.22,59,1762536783040.015,edge2,1
9808.77,-18,10,50.22,61,1762536784039.054,edge2,1
7967.91,5,8,50,59,1762536785039.134,edge2,1
7443.09,-2,15,50,60,1762536786038.258,edge2,1
10283.02,-1,10,50,60,1762536787039.021,edge2,1
7877.62,5,12,51.09,61,1762536788038.531,edge2,1
9106.12,-3,13,51.09,59,1762536789038.241,edge2,1
9580.55,15,9,51.09,60,1762536790038.479,edge2,1
11113.52,-1,12,51.08,60,1762536791038.366,edge2,1
13293.9,15,8,51.08,60,1762536792038.376,edge2,1
13530.45,-22,10,48,61,1762536793038.589,edge2,1
12149.73,-1,10,48,58,1762536794038.499,edge2,1
11634.84,-7,11,48,62,1762536795038.22,edge2,1
10872.32,3,11,46.57,60,1762536796038.335,edge2,1
10344.1,6,9,46.57,60,1762536797038.079,edge2,1
11048.04,-2,10,46.57,60,1762536798038.205,edge2,1
10473.12,-6,11,45.67,60,1762536799038.207,edge2,1
10370.3,4,11,45.67,59,1762536800038.862,edge2,1
10693.91,11,12,49.19,60,1762536801038.951,edge2,1
10915.61,-4,9,49.19,59,1762536802038.947,edge2,1
10289.02,1,10,49.19,61,1762536803038.244,edge2,1
10973.24,11,11,51.06,60,1762536804038.455,edge2,1
10882.71,-14,14,51.06,60,1762536805038.797,edge2,1
10849.9,-8,10,51.06,61,1762536806038.702,edge2,1
10827.91,8,10,51.78,59,1762536807038.331,edge2,1
12475.41,3,10,51.78,61,1762536808038.509,edge2,1
11873.8,3,9,52.11,59,1762536809040.526,edge2,1
