bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
307.16,0,12,6,62,1761832750702.967,edge1,1
571.51,0,7,5.5,59,1761832751703.446,edge1,1
1564.65,0,8,4.8,60,1761832752702.395,edge1,1
1673.91,0,4,4.8,61,1761832753702.392,edge1,1
1419.38,0,7,4.8,59,1761832754703.653,edge1,1
1333.65,0,8,4.67,60,1761832755718.793,edge1,1
1347.95,0,8,4.67,59,1761832756703.63,edge1,1
1156.05,0,10,4.43,60,1761832757702.463,edge1,1
15548.59,0,10,4.43,59,1761832758702.88,edge1,1
9260.26,0,8,4.43,60,1761832759702.406,edge1,1
549.82,0,7,4.38,60,1761832760702.519,edge1,1
323.91,0,7,4.38,59,1761832761703.276,edge1,1
2074.45,0,10,4.38,60,1761832762702.637,edge1,1
12722.95,0,8,4.67,61,1761832763703.175,edge1,1
4382.39,0,8,4.67,59,1761832764702.455,edge1,1
4420.64,0,7,4.7,61,1761832765703.382,edge1,1
5543.29,0,9,4.7,60,1761832766702.815,edge1,1
4539.12,0,11,4.7,59,1761832767702.674,edge1,1
4136.34,0,7,4.55,61,1761832768702.656,edge1,1
4991.43,0,9,4.55,59,1761832769704.142,edge1,1
5307.95,0,9,4.55,60,1761832770702.544,edge1,1
6502.16,0,8,4.42,59,1761832771702.428,edge1,1
7114.81,0,7,4.42,60,1761832772703.314,edge1,1
6928.34,0,7,4.31,60,1761832773702.752,edge1,1
6647.52,0,6,4.31,61,1761832774702.612,edge1,1
6011.16,0,8,4.31,60,1761832775703.08,edge1,1
5613.09,0,9,4.21,60,1761832776702.34,edge1,1
5778.66,0,10,4.21,59,1761832777705.226,edge1,1
6039.23,0,8,4.21,60,1761832778702.383,edge1,1
5656.55,0,10,4.13,60,1761832779702.433,edge1,1
5579.27,0,5,4.13,60,1761832780702.562,edge1,1
5752.7,0,9,4.19,60,1761832781702.639,edge1,1
5765.16,0,8,4.19,60,1761832782702.809,edge1,1
5437.2,0,10,4.19,60,1761832783702.524,edge1,1
6044.31,0,7,4.12,60,1761832784702.662,edge1,1
6052.34,0,7,4.12,60,1761832785702.525,edge1,1
