bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
246.84,3,20,133.67,58,1762536800540.288,edge1,1
857.16,-3,28,134.25,58,1762536801541.096,edge1,1
799.33,1,30,137.2,62,1762536802539.602,edge1,1
1256.48,2,28,137.2,61,1762536803539.708,edge1,1
1231.81,1,33,137.2,58,1762536804539.891,edge1,1
1007.63,8,31,123.5,58,1762536805539.651,edge1,1
2186.89,0,29,123.5,62,1762536806539.777,edge1,1
1649.36,-1,25,123.5,62,1762536807539.631,edge1,1
19967.22,129,12,126.29,57,1762536808539.846,edge1,1
27943.34,-131,16,126.29,56,1762536809540.703,edge1,1
1422.23,-3,20,127.87,60,1762536810540.068,edge1,1
898.87,-5,23,127.87,59,1762536811539.741,edge1,1
380.68,5,31,127.87,58,1762536812539.848,edge1,1
23177.03,68,14,126,60,1762536813539.594,edge1,1
11927.34,-52,17,126,62,1762536814540.073,edge1,1
8267.12,26,13,116.5,59,1762536815541.311,edge1,1
8262.18,-22,18,116.5,61,1762536816539.745,edge1,1
11273.29,15,14,116.5,61,1762536817539.996,edge1,1
8501.01,-13,14,119.45,57,1762536818539.669,edge1,1
9188.83,5,17,119.45,60,1762536819539.759,edge1,1
10002.91,-3,17,119.45,60,1762536820539.971,edge1,1
11954.52,9,16,118,59,1762536821540.056,edge1,1
13961.55,32,10,118,62,1762536822543.543,edge1,1
14813.59,-14,13,110.62,61,1762536823539.712,edge1,1
13205.37,-19,16,110.62,58,1762536824539.634,edge1,1
12704.45,5,13,110.62,61,1762536825539.65,edge1,1
11641.05,-8,14,112.14,59,1762536826539.791,edge1,1
11077.24,6,12,112.14,61,1762536827539.583,edge1,1
12245.52,11,14,112.14,61,1762536828539.581,edge1,1
11359.82,-13,14,115.2,58,1762536829539.639,edge1,1
11467.54,15,15,115.2,58,1762536830540.172,edge1,1
11484.61,-1,16,112.81,60,1762536831543.778,edge1,1
12389.44,-15,13,112.81,60,1762536832540.582,edge1,1
10882.09,22,11,112.81,62,1762536833541.684,edge1,1
11652.76,-19,12,106.94,60,1762536834541.377,edge1,1
11838.42,-6,14,106.94,60,1762536835542.127,edge1,1
11889.48,9,15,106.94,60,1762536836540.326,edge1,1
11391.57,-10,19,106.39,61,1762536837543.458,edge1,1
13539.86,10,15,106.39,59,1762536838541.357,edge1,1
12915.49,6,14,106.53,59,1762536839539.915,edge1,1
12320.88,-3,21,106.53,61,1762536840541.029,edge1,1
12074.58,-2,14,106.53,60,1762536841540.781,edge1,1
11930.55,-7,15,108.35,61,1762536842540.539,edge1,1
10696.62,4,19,108.35,60,1762536843541.555,edge1,1
10005.73,-10,15,108.35,59,1762536844539.722,edge1,1
9374.39,-9,17,108.1,59,1762536845543.379,edge1,1
6354.58,2,20,108.1,60,1762536846541.36,edge1,1
5028.16,-17,20,106.73,60,1762536847542.89,edge1,1
5853.02,9,17,106.73,61,1762536848539.606,edge1,1
6478.02,-8,19,106.73,59,1762536849542.978,edge1,1
6096.3,16,20,105.43,60,1762536850540.363,edge1,1
6683.2,6,26,105.43,59,1762536851539.743,edge1,1
7366.87,-9,15,105.43,60,1762536852542.36,edge1,1
7420.56,-7,14,107.17,62,1762536853540.008,edge1,1
8564.69,28,14,107.17,58,1762536854540.522,edge1,1
10153.15,-11,20,109.76,60,1762536855539.606,edge1,1
9167.07,8,17,109.76,58,1762536856543.303,edge1,1
8915.6,-5,15,109.76,61,1762536857540.872,edge1,1
8970.21,1,14,111.96,60,1762536858542.588,edge1,1
9524.53,-14,13,111.96,60,1762536859544.493,edge1,1
6712.35,1,15,111.96,61,1762536860539.496,edge1,1
5848.91,1,16,112.56,57,1762536861539.912,edge1,1
5956.67,-14,15,112.56,63,1762536862540.254,edge1,1
6893.13,23,18,110.68,58,1762536863544.78,edge1,1
8479.09,0,19,110.68,62,1762536864541.791,edge1,1
9791.96,2,17,110.68,59,1762536865541.318,edge1,1
10333.11,9,16,107.66,61,1762536866539.612,edge1,1
10329.2,-13,16,107.66,60,1762536867540.566,edge1,1
9266.11,9,15,104.67,59,1762536868539.81,edge1,1
9310.89,-4,19,104.67,60,1762536869539.704,edge1,1
10049.48,1,15,104.67,60,1762536870539.572,edge1,1
9417.81,-9,15,108.13,60,1762536871539.638,edge1,1
9178.61,6,15,108.13,61,1762536872539.744,edge1,1
8025.98,-9,13,108.13,59,1762536873541.425,edge1,1
8529.66,14,14,108.59,59,1762536874542.39,edge1,1
8625.82,1,16,108.59,60,1762536875540.316,edge1,1
7964.68,-25,15,105.45,60,1762536876539.738,edge1,1
6430.38,15,22,105.45,60,1762536877539.877,edge1,1
7123.87,-12,19,105.45,60,1762536878539.572,edge1,1
7974.51,2,16,104.15,60,1762536879539.515,edge1,1
12676.23,16,14,104.15,59,1762536880539.649,edge1,1
15585.75,30,14,104.15,60,1762536881539.657,edge1,1
16128.77,26,20,107.14,60,1762536882540.302,edge1,1
15771.56,-12,13,107.14,59,1762536883539.679,edge1,1
15483.29,-7,13,107.14,60,1762536884539.662,edge1,1
14078.68,-51,12,107.5,59,1762536885542.237,edge1,1
10127.2,9,15,107.5,61,1762536886540.509,edge1,1
8957.98,14,15,108.81,60,1762536887539.515,edge1,1
10330.98,-12,16,108.81,60,1762536888539.591,edge1,1
11480.49,22,11,108.81,59,1762536889542.679,edge1,1
12799,-8,11,107.47,61,1762536890543.111,edge1,1
13923.95,6,14,107.47,59,1762536891539.746,edge1,1
14365.27,-22,18,107.47,60,1762536892541.302,edge1,1
10440.52,2,17,108.64,60,1762536893541.372,edge1,1
9594.98,-19,22,108.64,58,1762536894540.427,edge1,1
7191.98,11,19,109.38,62,1762536895541.658,edge1,1
5663.2,-13,21,109.38,60,1762536896539.774,edge1,1
3440.46,-2,23,109.38,60,1762536897540.282,edge1,1
3392.76,0,18,111.27,60,1762536898539.547,edge1,1
5432.7,20,15,111.27,60,1762536899543.691,edge1,1
5614.53,-12,21,109.43,60,1762536900539.611,edge1,1
6070.26,-1,22,109.43,60,1762536901542.674,edge1,1
7193.05,9,17,109.43,58,1762536902541.38,edge1,1
7942.46,3,11,111.21,60,1762536903540.084,edge1,1
7248.01,-6,20,111.21,60,1762536904540.253,edge1,1
7089.46,3,15,111.21,60,1762536905540.529,edge1,1
4172.37,-18,19,113.07,60,1762536906539.65,edge1,1
3634.73,2,21,113.07,59,1762536907539.614,edge1,1
3341.51,-3,22,113.76,60,1762536908539.487,edge1,1
5332.32,22,23,113.76,60,1762536909539.619,edge1,1
10068.75,36,16,113.76,60,1762536910539.658,edge1,1
14052.51,-5,13,112.72,60,1762536911539.607,edge1,1
16305.08,19,13,112.72,60,1762536912539.6,edge1,1
15045.23,-22,13,112.72,60,1762536913539.463,edge1,1
9873.43,-8,15,112.34,60,1762536914539.572,edge1,1
11497.55,-10,18,112.34,60,1762536915539.448,edge1,1
10804.34,5,17,112.69,60,1762536916539.562,edge1,1
12497.88,6,13,112.69,60,1762536917539.776,edge1,1
13870.91,-8,14,112.69,61,1762536918540.429,edge1,1
13055.3,24,18,112.61,60,1762536919540.032,edge1,1
12173.64,18,12,112.61,60,1762536920539.647,edge1,1
12176.39,-53,14,112.61,60,1762536921542.028,edge1,1
9063.46,8,17,111.84,60,1762536922541.774,edge1,1
9198.19,-13,14,111.84,60,1762536923539.527,edge1,1
8441.15,3,19,111.73,60,1762536924540.368,edge1,1
8122.6,-7,17,111.73,59,1762536925539.647,edge1,1
6148.94,14,18,111.73,60,1762536926539.577,edge1,1
7598.69,-16,15,110.71,60,1762536927539.686,edge1,1
6921.8,2,17,110.71,60,1762536928539.754,edge1,1
7304.27,9,20,110.71,60,1762536929539.564,edge1,1
6770.1,-11,17,109.62,60,1762536930539.747,edge1,1
6395.45,-11,22,109.62,60,1762536931539.621,edge1,1
6191.8,13,19,108.74,60,1762536932540.342,edge1,1
6572.31,1,13,108.74,60,1762536933539.709,edge1,1
6500.45,8,19,108.74,60,1762536934539.707,edge1,1
12034.63,2,15,107.82,60,1762536935539.49,edge1,1
9004.23,-7,18,107.82,60,1762536936540.153,edge1,1
10736.84,36,14,107.82,60,1762536937541.294,edge1,1
11095.27,3,17,108.13,60,1762536938539.573,edge1,1
12794.27,-7,17,108.13,60,1762536939539.651,edge1,1
11137.93,-14,15,108.65,60,1762536940539.485,edge1,1
6468.77,-32,17,108.65,60,1762536941540.622,edge1,1
5103.37,1,23,108.65,59,1762536942541.55,edge1,1
4518.63,-1,19,107.98,60,1762536943539.48,edge1,1
4536.92,-3,15,107.98,60,1762536944539.56,edge1,1
4643.65,9,19,107.98,60,1762536945540.34,edge1,1
5563.5,-1,19,107.61,60,1762536946539.569,edge1,1
6892.96,-7,16,107.61,60,1762536947539.998,edge1,1
6895.98,11,17,108.32,60,1762536948539.66,edge1,1
4803.28,-14,23,108.32,60,1762536949539.561,edge1,1
3464.67,-2,23,108.32,60,1762536950539.637,edge1,1
4185.17,16,20,109.44,60,1762536951539.479,edge1,1
4028.1,-11,20,109.44,60,1762536952539.7,edge1,1
3346.95,5,24,109.44,67,1762536953539.491,edge1,1
3653.85,0,26,110.06,58,1762536954539.713,edge1,1
2847.47,-4,20,110.06,62,1762536955540.01,edge1,1
3763.73,1,18,111.65,61,1762536956539.713,edge1,1
2934.1,1,19,111.65,58,1762536957539.475,edge1,1
3275.23,-5,19,111.65,60,1762536958539.622,edge1,1
5063.33,26,18,111.16,57,1762536959539.647,edge1,1
7972.28,-9,16,111.16,62,1762536960539.678,edge1,1
6339.04,-7,17,109.66,59,1762536961539.791,edge1,1
5014.95,1,22,109.66,59,1762536962539.809,edge1,1
4672.41,4,16,109.66,64,1762536963539.491,edge1,1
5747.85,-6,26,110.42,57,1762536964539.529,edge1,1
7268.08,2,16,110.42,59,1762536965541.242,edge1,1
7610.37,-2,21,110.42,61,1762536966539.618,edge1,1
9016.84,11,17,110.85,56,1762536967539.472,edge1,1
10535.91,33,16,110.85,62,1762536968539.461,edge1,1
14410.25,-23,11,110.63,59,1762536969539.92,edge1,1
11556.77,-25,14,110.63,60,1762536970539.494,edge1,1
7463.17,7,16,110.63,61,1762536971539.453,edge1,1
10317.38,9,11,110.51,58,1762536972539.531,edge1,1
9714.3,12,14,110.51,61,1762536973539.529,edge1,1
17063.91,37,14,110.51,60,1762536974539.496,edge1,1
15829.59,-21,12,110.46,59,1762536975539.47,edge1,1
14710.73,-12,12,110.46,60,1762536976540.264,edge1,1
13641.45,20,15,110.41,60,1762536977540.036,edge1,1
12259.6,-16,16,110.41,60,1762536978539.478,edge1,1
12674.69,-10,15,110.41,59,1762536979539.471,edge1,1
13115.13,2,14,109.17,60,1762536980539.6,edge1,1
16128.55,20,9,109.17,60,1762536981539.61,edge1,1
18978.39,17,12,109.17,59,1762536982539.495,edge1,1
19494.77,-29,15,108.75,60,1762536983539.475,edge1,1
14497.35,-5,13,108.75,59,1762536984541.481,edge1,1
9463.79,-25,16,108.16,61,1762536985539.489,edge1,1
9375.35,29,17,108.16,60,1762536986539.645,edge1,1
9394.3,-22,14,108.16,59,1762536987540.371,edge1,1
7353.52,15,20,109.41,60,1762536988539.449,edge1,1
8515.3,-8,17,109.41,60,1762536989539.515,edge1,1
8045.69,-14,22,109.41,59,1762536990539.77,edge1,1
6742.95,1,22,109.42,60,1762536991539.893,edge1,1
4973.45,4,24,109.42,59,1762536992540,edge1,1
4376.27,-6,23,110.39,60,1762536993539.865,edge1,1
3965.23,-6,16,110.39,60,1762536994539.476,edge1,1
3747.52,-4,20,110.39,59,1762536995539.485,edge1,1
2557.84,-2,23,110.74,72,1762536996539.436,edge1,1
2274.97,8,24,110.74,57,1762536997539.508,edge1,1
2717.04,-1,26,110.74,61,1762536998540.86,edge1,1
2424.61,-7,23,110.77,60,1762536999539.432,edge1,1
2134.85,2,28,110.77,60,1762537000539.874,edge1,1
2393.88,11,21,110.29,57,1762537001539.511,edge1,1
2458.55,-16,20,110.29,63,1762537002539.559,edge1,1
3732.54,6,18,110.29,62,1762537003539.499,edge1,1
5054.94,25,20,109.88,57,1762537004539.778,edge1,1
6278.94,-18,16,109.88,57,1762537005539.83,edge1,1
5789.51,7,17,109.88,63,1762537006539.594,edge1,1
4011.19,-21,22,110.99,61,1762537007539.543,edge1,1
3159.13,1,19,110.99,60,1762537008539.908,edge1,1
2807.32,4,16,111.34,62,1762537009539.531,edge1,1
3530.88,4,21,111.34,55,1762537010539.508,edge1,1
4207.82,8,22,111.34,61,1762537011541.886,edge1,1
4084.7,-16,21,111.39,59,1762537012542.782,edge1,1
3022.22,12,24,111.39,62,1762537013539.829,edge1,1
4136.44,9,22,111.39,61,1762537014539.559,edge1,1
6007.57,7,16,111.45,60,1762537015539.87,edge1,1
8104.19,2,12,111.45,58,1762537016539.906,edge1,1
8067.9,-14,14,110.24,61,1762537017539.489,edge1,1
7848.63,33,15,110.24,59,1762537018539.572,edge1,1
12304.12,-6,15,110.24,60,1762537019539.951,edge1,1
13275.63,6,13,111.66,61,1762537020539.467,edge1,1
16017.34,7,12,111.66,59,1762537021539.559,edge1,1
