bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
268.43,0,13,11.33,46,1761834878984.111,edge2,3
417.23,0,20,11.25,41,1761834879984.15,edge2,3
472.35,0,18,18.8,35,1761834880984.442,edge2,3
609.81,0,16,18.8,41,1761834881984.61,edge2,3
676.51,0,16,18.8,50,1761834882984.971,edge2,3
588.74,0,20,16.33,47,1761834883983.662,edge2,3
789.44,0,14,16.33,48,1761834884984.61,edge2,3
606.2,0,18,19.14,44,1761834885983.813,edge2,3
595.76,0,24,19.14,44,1761834886984.314,edge2,3
655.9,0,16,19.14,48,1761834887983.891,edge2,3
4331.45,0,20,17.63,46,1761834888984.04,edge2,3
6013.55,0,22,17.63,24,1761834889984.041,edge2,3
3578.86,0,43,17.63,14,1761834890984.863,edge2,3
7887.94,0,37,18.67,20,1761834891983.621,edge2,3
3469.09,0,22,18.67,37,1761834892984.231,edge2,3
610.57,0,19,17.8,32,1761834893985.019,edge2,3
46.18,0,80,17.8,2,1761834894983.901,edge2,3
809.94,0,21,17.8,39,1761834895983.611,edge2,3
208.32,0,41,17,16,1761834896984.087,edge2,3
548.38,0,24,17,33,1761834897983.88,edge2,3
758.73,0,16,17,45,1761834898983.665,edge2,3
4480.71,0,23,15.92,29,1761834899983.594,edge2,3
6870.34,0,18,15.92,30,1761834900983.99,edge2,3
3407.05,0,26,15.85,25,1761834901983.597,edge2,3
2636.19,0,22,15.85,31,1761834902983.623,edge2,3
2583.19,0,19,15.85,37,1761834903983.746,edge2,3
901.89,0,41,17.79,13,1761834904986.19,edge2,3
2942.97,0,48,17.79,24,1761834905983.813,edge2,3
2295.4,0,59,17.79,25,1761834906983.604,edge2,3
1363.41,0,53,16.93,20,1761834907983.629,edge2,3
2060.53,0,28,16.93,28,1761834908983.646,edge2,3
580.17,0,66,17.75,7,1761834909984.04,edge2,3
1501,0,35,17.75,18,1761834910983.656,edge2,3
2611.43,0,41,17.75,27,1761834911983.819,edge2,3
3247.55,0,27,17.06,34,1761834912983.889,edge2,3
2767.45,0,33,17.06,22,1761834913983.866,edge2,3
