bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
358.91,0,2,3.33,61,1761835386792.334,edge2,1
500.25,0,1,3.5,60,1761835387791.429,edge2,1
528.05,0,1,3.6,60,1761835388791.37,edge2,1
685.91,0,1,3.6,60,1761835389791.657,edge2,1
642.57,0,0,3.6,60,1761835390791.17,edge2,1
536.41,0,0,3.67,60,1761835391791.433,edge2,1
549.66,0,0,3.67,60,1761835392791.239,edge2,1
2125.8,0,2,3.86,59,1761835393791.378,edge2,1
15909.38,0,2,3.86,60,1761835394792.107,edge2,1
7236.01,0,1,3.86,60,1761835395793.129,edge2,1
711.43,0,0,3.75,60,1761835396791.158,edge2,1
779.02,0,1,3.75,60,1761835397791.81,edge2,1
4514.94,0,2,3.75,60,1761835398791.441,edge2,1
11316.41,0,1,4,59,1761835399791.426,edge2,1
4559.52,0,1,4,60,1761835400791.277,edge2,1
4413.03,0,1,4,60,1761835401793.388,edge2,1
4412.05,0,1,4,60,1761835402791.369,edge2,1
4619.55,0,0,4,60,1761835403794.132,edge2,1
4163.96,0,0,4,60,1761835404792.888,edge2,1
5094.88,0,0,4,60,1761835405791.597,edge2,1
5132.49,0,1,4,60,1761835406791.531,edge2,1
6059.59,0,0,4.08,60,1761835407791.472,edge2,1
7140.92,0,0,4.08,60,1761835408791.345,edge2,1
6814.46,0,0,4.15,60,1761835409791.143,edge2,1
6310.33,0,1,4.15,60,1761835410791.448,edge2,1
6068.26,0,0,4.15,60,1761835411791.38,edge2,1
5660.17,0,0,4.07,60,1761835412791.779,edge2,1
5739.74,0,0,4.07,60,1761835413791.667,edge2,1
5746.14,0,0,4.07,60,1761835414791.393,edge2,1
5698.61,0,0,4,61,1761835415794.086,edge2,1
5540.61,0,0,4,60,1761835416791.3,edge2,1
5891.1,0,0,4,60,1761835417792.206,edge2,1
5524.86,0,1,4,59,1761835418791.904,edge2,1
5551.14,0,1,4,60,1761835419791.54,edge2,1
5788.59,0,1,4.06,60,1761835420791.389,edge2,1
5953.33,0,0,4.06,61,1761835421791.366,edge2,1
5516.58,0,1,4.06,60,1761835422793.498,edge2,1
6019.14,0,0,4.06,60,1761835423791.379,edge2,1
6633.14,0,1,4.06,60,1761835424791.162,edge2,1
6201.38,0,1,4.26,60,1761835425791.343,edge2,1
5977.67,0,1,4.26,60,1761835426791.373,edge2,1
5910.63,0,1,4.26,60,1761835427791.471,edge2,1
5513.49,0,0,4.45,60,1761835428791.249,edge2,1
5196.84,0,2,4.45,60,1761835429791.882,edge2,1
4870.35,0,1,4.48,60,1761835430791.482,edge2,1
4240.27,0,1,4.48,60,1761835431791.264,edge2,1
2675.44,0,1,4.48,60,1761835432791.254,edge2,1
2680.22,0,1,4.55,60,1761835433791.302,edge2,1
3283.09,0,1,4.55,60,1761835434792.063,edge2,1
3249.62,0,1,4.55,60,1761835435796.016,edge2,1
3109.84,0,2,4.65,60,1761835436791.25,edge2,1
3479.86,0,1,4.65,60,1761835437792.505,edge2,1
3722.03,0,1,4.63,60,1761835438791.42,edge2,1
3920.61,0,1,4.63,60,1761835439791.918,edge2,1
4563.16,0,3,4.63,59,1761835440792.631,edge2,1
4897.05,0,1,4.56,61,1761835441791.426,edge2,1
4491.26,0,0,4.56,60,1761835442791.302,edge2,1
4588.46,0,0,4.56,60,1761835443791.066,edge2,1
4745.49,0,0,4.5,60,1761835444791.262,edge2,1
4086.23,0,0,4.5,60,1761835445792.804,edge2,1
3208.95,0,2,4.52,60,1761835446791.654,edge2,1
2981.1,0,1,4.52,59,1761835447791.131,edge2,1
3062.49,0,1,4.52,61,1761835448791.393,edge2,1
3739.4,0,2,4.82,60,1761835449793.36,edge2,1
4695.54,0,1,4.82,59,1761835450791.755,edge2,1
5063.73,0,2,4.82,61,1761835451791.231,edge2,1
4818.19,0,2,5.14,60,1761835452791.127,edge2,1
5193.94,0,2,5.14,60,1761835453791.278,edge2,1
4492.83,0,1,5.07,60,1761835454794.109,edge2,1
5107.03,0,2,5.07,60,1761835455791.559,edge2,1
4656.56,0,2,5.07,60,1761835456791.133,edge2,1
4568.54,0,3,5.35,60,1761835457791.461,edge2,1
4832.87,0,2,5.35,60,1761835458791.138,edge2,1
4680.51,0,2,5.35,60,1761835459791.574,edge2,1
4483.67,0,2,5.31,60,1761835460791.319,edge2,1
4799.17,0,2,5.31,60,1761835461791.204,edge2,1
3939.13,0,1,5.55,60,1761835462791.34,edge2,1
3595.63,0,3,5.55,60,1761835463791.27,edge2,1
3774.36,0,2,5.55,60,1761835464791.173,edge2,1
5429.43,0,3,5.59,60,1761835465791.416,edge2,1
6706.65,0,2,5.59,60,1761835466791.313,edge2,1
8076.13,0,2,5.59,60,1761835467791.92,edge2,1
7900.5,0,3,5.66,60,1761835468791.304,edge2,1
7749.08,0,2,5.66,60,1761835469793.163,edge2,1
7503.83,0,2,5.78,60,1761835470792.379,edge2,1
6166.84,0,2,5.78,60,1761835471791.114,edge2,1
4364.17,0,2,5.78,60,1761835472791.268,edge2,1
4966.38,0,3,5.81,60,1761835473791.32,edge2,1
5129.78,0,3,5.81,60,1761835474793.557,edge2,1
6057.73,0,3,5.81,60,1761835475791.097,edge2,1
6417.84,0,2,6.11,60,1761835476791.502,edge2,2
7349.93,0,2,6.11,60,1761835477791.042,edge2,2
6171.28,0,1,6.05,60,1761835478791.433,edge2,2
4917.36,0,2,6.05,60,1761835479791.332,edge2,2
4177.97,0,1,6.05,60,1761835480791.23,edge2,2
3571.96,0,6,6.3,60,1761835481791.334,edge2,2
2216.55,0,4,6.3,60,1761835482791.217,edge2,2
1667.98,0,3,6.3,60,1761835483793.445,edge2,2
2304.39,0,3,6.37,60,1761835484791.476,edge2,2
2918.63,0,4,6.37,60,1761835485791.576,edge2,2
3042.8,0,5,6.55,60,1761835486791.187,edge2,2
3461.37,0,4,6.55,59,1761835487791.793,edge2,2
3432.97,0,4,6.55,61,1761835488791.709,edge2,2
4086.45,0,6,6.67,60,1761835489792.295,edge2,2
3816.58,0,6,6.67,60,1761835490791.281,edge2,2
2986.4,0,3,6.67,60,1761835491791.521,edge2,2
1886.21,0,3,6.7,60,1761835492791.352,edge2,2
1879.7,0,4,6.7,60,1761835493791.643,edge2,2
1995.64,0,6,6.93,60,1761835494791.383,edge2,2
