bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
307.74,0,8,4,61,1761816809329.324,edge1,1
489.11,0,8,4,60,1761816810328.599,edge1,1
599.97,0,10,4.2,61,1761816811328.747,edge1,1
670.83,0,7,4.2,59,1761816812328.694,edge1,1
679.65,0,9,4.2,59,1761816813330.702,edge1,1
571.71,0,10,3.83,60,1761816814328.837,edge1,1
658.11,0,10,3.83,59,1761816815332.812,edge1,1
511.72,0,10,3.71,61,1761816816328.799,edge1,1
15787.57,0,9,3.71,58,1761816817329.325,edge1,1
9027.42,0,9,3.71,61,1761816818328.738,edge1,1
832.94,0,9,3.75,59,1761816819329.541,edge1,1
775.56,0,10,3.75,61,1761816820328.769,edge1,1
2354.45,0,12,3.75,59,1761816821329.224,edge1,1
13489.57,0,7,3.78,60,1761816822328.979,edge1,1
4618.72,0,10,3.78,60,1761816823328.625,edge1,1
4408.29,0,7,3.7,60,1761816824328.847,edge1,1
3719.37,0,9,3.7,59,1761816825329.868,edge1,1
5121.76,0,9,3.7,61,1761816826328.762,edge1,1
4268.88,0,8,3.73,60,1761816827329.056,edge1,1
4935.62,0,8,3.73,60,1761816828328.692,edge1,1
5282.2,0,10,3.73,60,1761816829329.334,edge1,1
5852.68,0,9,4.08,60,1761816830328.716,edge1,1
7171.15,0,6,4.08,60,1761816831328.633,edge1,1
6888.09,0,7,4,60,1761816832329.966,edge1,1
6339,0,6,4,60,1761816833328.867,edge1,1
5885.35,0,8,4,60,1761816834330.722,edge1,1
5726.27,0,9,3.93,60,1761816835328.572,edge1,1
5839.52,0,6,3.93,60,1761816836328.703,edge1,1
5787.1,0,5,3.93,60,1761816837328.705,edge1,1
5676.37,0,8,3.87,60,1761816838329.467,edge1,1
5391.32,0,8,3.87,60,1761816839329.987,edge1,1
5808.88,0,5,3.81,60,1761816840328.777,edge1,1
5798.16,0,8,3.81,60,1761816841329.956,edge1,1
5335.44,0,9,3.81,60,1761816842328.727,edge1,1
5939.48,0,6,3.71,60,1761816843329.238,edge1,1
6000.73,0,8,3.71,60,1761816844329.491,edge1,1
5462.4,0,8,3.71,60,1761816845328.953,edge1,1
5927.13,0,9,3.83,60,1761816846328.673,edge1,1
6765.47,0,9,3.83,60,1761816847329.252,edge1,1
6231.02,0,9,3.79,60,1761816848328.904,edge1,1
5896.48,0,10,3.79,60,1761816849329.334,edge1,1
6020.93,0,8,3.79,60,1761816850328.596,edge1,1
5555.09,0,8,3.75,60,1761816851329.904,edge1,1
5038.05,0,6,3.75,60,1761816852328.702,edge1,1
4964.7,0,8,3.75,60,1761816853328.95,edge1,1
4392.62,0,7,3.86,60,1761816854329.039,edge1,1
2705.83,0,9,3.86,61,1761816855329.408,edge1,1
2690.69,0,7,3.95,59,1761816856328.963,edge1,1
3206.46,0,9,3.95,60,1761816857328.721,edge1,1
3239.67,0,10,3.95,60,1761816858328.69,edge1,1
3167.91,0,8,3.91,60,1761816859328.725,edge1,1
3461.29,0,7,3.91,60,1761816860328.695,edge1,1
3732.99,0,10,3.91,60,1761816861328.758,edge1,1
3756.27,0,10,3.92,60,1761816862328.667,edge1,1
4580.04,0,8,3.92,60,1761816863329.163,edge1,1
5008.46,0,7,3.92,61,1761816864328.825,edge1,1
4476.81,0,9,3.92,60,1761816865328.665,edge1,1
4443.8,0,7,3.92,60,1761816866328.826,edge1,1
4872.41,0,8,3.96,60,1761816867328.704,edge1,1
4180.53,0,8,3.96,60,1761816868329.793,edge1,1
3269.7,0,8,4.19,60,1761816869328.888,edge1,1
2883.33,0,8,4.19,60,1761816870329.425,edge1,1
3161.68,0,11,4.19,59,1761816871330.614,edge1,1
3625.67,0,8,4.25,61,1761816872328.743,edge1,1
4736.45,0,10,4.25,60,1761816873328.982,edge1,1
5035.96,0,8,4.25,60,1761816874329.167,edge1,1
4873.44,0,8,4.31,60,1761816875329.493,edge1,1
5093.53,0,9,4.31,60,1761816876328.83,edge1,1
4581.47,0,9,4.47,60,1761816877328.851,edge1,1
5084.45,0,9,4.47,60,1761816878329.253,edge1,1
4605.28,0,9,4.47,60,1761816879329.781,edge1,1
4572.23,0,9,4.45,59,1761816880329.06,edge1,1
4757.74,0,11,4.45,61,1761816881330.415,edge1,1
4791.79,0,8,4.45,60,1761816882329.419,edge1,1
4463.44,0,7,4.56,60,1761816883328.925,edge1,1
4923.48,0,8,4.56,60,1761816884329.903,edge1,1
4001.18,0,8,4.58,60,1761816885328.822,edge1,1
3413.46,0,7,4.58,60,1761816886328.823,edge1,1
3882.08,0,8,4.58,60,1761816887328.907,edge1,1
4707.63,0,8,4.59,60,1761816888328.618,edge1,1
7095.37,0,9,4.59,60,1761816889329.052,edge1,1
8069.82,0,8,4.59,60,1761816890329.059,edge1,1
8072.55,0,8,4.63,60,1761816891329.252,edge1,1
7623.34,0,6,4.63,60,1761816892328.77,edge1,1
7702.09,0,7,4.64,60,1761816893328.687,edge1,1
6282.35,0,7,4.64,60,1761816894329.39,edge1,1
4437.34,0,5,4.64,60,1761816895329.473,edge1,1
4861.9,0,9,4.73,60,1761816896329.17,edge1,1
5006.77,0,8,4.73,60,1761816897328.687,edge1,1
6096.5,0,9,4.73,60,1761816898328.949,edge1,1
6397.15,0,6,4.95,60,1761816899329.646,edge1,1
7270.48,0,10,4.95,60,1761816900328.909,edge1,1
6465.07,0,6,5.21,60,1761816901329.27,edge1,1
4974.01,0,6,5.21,60,1761816902329.065,edge1,1
4098.66,0,8,5.21,60,1761816903329.439,edge1,1
3664.36,0,9,5.38,60,1761816904329.481,edge1,1
2305.97,0,8,5.38,60,1761816905330.28,edge1,1
1752.72,0,8,5.38,60,1761816906329.331,edge1,1
2161.79,0,7,5.49,60,1761816907328.729,edge1,1
2918.2,0,10,5.49,60,1761816908329.605,edge1,1
2998.02,0,10,5.67,60,1761816909329.69,edge1,1
3510.92,0,8,5.67,60,1761816910328.805,edge1,1
3366.93,0,10,5.67,59,1761816911328.873,edge1,1
4000.84,0,9,5.81,61,1761816912329.044,edge1,1
3610.66,0,9,5.81,60,1761816913328.879,edge1,1
3104.5,0,9,5.81,59,1761816914328.788,edge1,1
1933.01,0,8,5.84,61,1761816915328.777,edge1,1
1941.89,0,10,5.84,59,1761816916333.369,edge1,1
1950.55,0,10,5.82,60,1761816917329.474,edge1,1
3280.17,0,8,5.82,58,1761816918328.987,edge1,1
6101.97,0,8,5.82,61,1761816919329.157,edge1,1
7626.02,0,10,5.98,60,1761816920328.669,edge1,1
8263.84,0,10,5.98,60,1761816921329.331,edge1,1
6213.45,0,6,5.98,60,1761816922329.688,edge1,1
4793.33,0,8,6.15,59,1761816923328.985,edge1,1
6178.95,0,9,6.15,60,1761816924329.748,edge1,1
5569.05,0,10,6.15,61,1761816925330.522,edge1,1
6629,0,9,6.15,59,1761816926328.879,edge1,1
7060.13,0,10,6.15,59,1761816927329.173,edge1,1
6269.63,0,6,6.35,61,1761816928329.475,edge1,1
6481.07,0,9,6.35,56,1761816929330.143,edge1,1
4756.09,0,11,6.35,64,1761816930328.674,edge1,2
4703.48,0,6,6.42,60,1761816931328.681,edge1,2
4596.52,0,7,6.42,60,1761816932329.356,edge1,2
4343.6,0,7,6.35,60,1761816933329.313,edge1,2
3571.96,0,8,6.35,60,1761816934328.618,edge1,2
3564.11,0,9,6.35,60,1761816935328.822,edge1,2
3605.51,0,8,6.37,59,1761816936331.106,edge1,2
4041.88,0,7,6.37,61,1761816937330.115,edge1,2
3001.21,0,8,6.37,60,1761816938330.641,edge1,2
3547,0,7,6.62,60,1761816939328.792,edge1,2
2748.86,0,7,6.62,59,1761816940329.81,edge1,2
3503.36,0,8,6.72,61,1761816941331.616,edge1,2
3479.4,0,8,6.72,60,1761816942330.976,edge1,2
3743.13,0,8,6.72,59,1761816943330.453,edge1,2
5745.33,0,10,6.98,60,1761816944329.234,edge1,2
4707.73,0,9,6.98,61,1761816945330.517,edge1,2
5536.3,0,8,6.98,60,1761816946329.549,edge1,2
6417.39,0,6,7.13,60,1761816947331.426,edge1,2
5335.77,0,10,7.13,60,1761816948331.291,edge1,2
5248.84,0,11,7.18,57,1761816949328.752,edge1,2
2696.62,0,7,7.18,60,1761816950331.672,edge1,2
2548.05,0,9,7.18,60,1761816951331.93,edge1,2
2323.8,0,8,7.41,60,1761816952331.477,edge1,2
2232.79,0,11,7.41,59,1761816953330.094,edge1,2
2389.42,0,8,7.41,61,1761816954329.282,edge1,2
2959.02,0,8,7.69,57,1761816955329.068,edge1,2
3599.05,0,9,7.69,59,1761816956330.703,edge1,2
3324.05,0,9,7.83,60,1761816957328.723,edge1,2
1991.16,0,8,7.83,63,1761816958335.349,edge1,2
1878.83,0,7,7.83,59,1761816959329.243,edge1,2
2372.01,0,6,7.79,61,1761816960332.617,edge1,2
1851.79,0,9,7.79,60,1761816961328.823,edge1,2
1910.59,0,9,8.08,59,1761816962330.259,edge1,2
1780.84,0,10,8.08,61,1761816963330.913,edge1,2
1523.73,0,8,8.08,59,1761816964332.368,edge1,2
1831.94,0,10,8.24,60,1761816965332.556,edge1,2
1442.87,0,9,8.24,61,1761816966330.49,edge1,2
1923.7,0,10,8.24,60,1761816967329.57,edge1,2
3210.02,0,8,8.33,59,1761816968329.266,edge1,2
4118.02,0,7,8.33,58,1761816969332.383,edge1,2
2840.13,0,7,8.32,61,1761816970332.759,edge1,2
2615.19,0,8,8.32,61,1761816971329.142,edge1,2
2441.12,0,7,8.32,58,1761816972331.481,edge1,2
3199.03,0,8,8.27,60,1761816973330.555,edge1,2
3781.77,0,8,8.27,50,1761816974328.707,edge1,3
3983.9,0,10,8.27,63,1761816975331.893,edge1,3
4604.23,0,6,8.36,60,1761816976329.601,edge1,3
6277.29,0,7,8.36,60,1761816977328.836,edge1,3
6245.87,0,7,8.46,60,1761816978328.784,edge1,3
5510.52,0,5,8.46,60,1761816979330.617,edge1,3
3933.16,0,7,8.46,59,1761816980329.902,edge1,3
5267.75,0,8,8.62,61,1761816981329.445,edge1,3
5600.45,0,10,8.62,60,1761816982329.167,edge1,3
8966.95,0,9,8.62,59,1761816983328.753,edge1,3
7688.27,0,9,8.7,60,1761816984332.277,edge1,3
7215.93,0,7,8.7,60,1761816985329.538,edge1,3
6829.15,0,7,8.76,60,1761816986329.814,edge1,3
6428.17,0,8,8.76,60,1761816987329.022,edge1,3
6098.2,0,6,8.76,60,1761816988328.643,edge1,3
6814.66,0,8,8.85,60,1761816989328.928,edge1,3
8549.23,0,8,8.85,60,1761816990329.657,edge1,3
10291.95,0,5,8.85,60,1761816991330.302,edge1,3
8800.32,0,7,8.84,60,1761816992329.659,edge1,3
6266.87,0,7,8.84,58,1761816993328.718,edge1,3
4283.48,0,9,8.85,61,1761816994331.03,edge1,3
4954.35,0,6,8.85,61,1761816995329.738,edge1,3
4204.69,0,7,8.85,60,1761816996329.242,edge1,3
3985.95,0,5,8.89,60,1761816997330.06,edge1,3
4420.69,0,7,8.89,60,1761816998328.595,edge1,3
3819.66,0,6,8.89,60,1761816999330.329,edge1,3
3089.25,0,7,8.96,58,1761817000332.042,edge1,3
2531.3,0,5,8.96,61,1761817001329.329,edge1,3
2152.81,0,7,8.91,59,1761817002330.77,edge1,3
2138.17,0,6,8.91,60,1761817003329.429,edge1,3
1790.09,0,7,8.91,60,1761817004330.065,edge1,3
1338.71,0,9,8.86,60,1761817005328.623,edge1,3
1254.9,0,4,8.86,60,1761817006328.913,edge1,3
1300.01,0,6,8.86,60,1761817007328.901,edge1,3
1277.91,0,6,8.84,60,1761817008329.531,edge1,3
1217.27,0,9,8.84,59,1761817009329.439,edge1,3
1452.59,0,6,8.81,60,1761817010328.651,edge1,3
1349.6,0,7,8.81,61,1761817011328.659,edge1,3
1970.2,0,7,8.81,58,1761817012332.04,edge1,3
3172.51,0,5,8.78,61,1761817013330.905,edge1,3
3128.66,0,7,8.78,61,1761817014329.29,edge1,3
2613.43,0,6,8.78,60,1761817015328.858,edge1,3
1951.34,0,7,8.78,59,1761817016332.345,edge1,3
1552.71,0,5,8.78,60,1761817017328.743,edge1,3
1468.45,0,6,8.78,60,1761817018328.751,edge1,3
2052.63,0,9,8.78,60,1761817019328.649,edge1,3
2415.16,0,9,8.78,60,1761817020330.331,edge1,3
1729.63,0,6,8.82,60,1761817021328.865,edge1,3
1822.89,0,7,8.82,60,1761817022328.831,edge1,3
2371.77,0,8,8.82,60,1761817023330.963,edge1,3
3563.05,0,6,8.86,60,1761817024328.975,edge1,3
3937.85,0,8,8.86,60,1761817025328.711,edge1,3
3991.48,0,6,8.81,60,1761817026328.979,edge1,3
4978.29,0,7,8.81,59,1761817027328.992,edge1,3
5841.49,0,6,8.81,60,1761817028330.262,edge1,3
7141.72,0,8,8.79,60,1761817029330.167,edge1,3
7617.66,0,9,8.79,59,1761817030328.979,edge1,3
6018.25,0,7,8.79,61,1761817031328.81,edge1,3
4686.37,0,7,8.75,60,1761817032329.519,edge1,3
4546.02,0,7,8.75,60,1761817033329.73,edge1,3
4443.26,0,7,8.74,60,1761817034328.776,edge1,3
4975.6,0,6,8.74,60,1761817035328.813,edge1,3
5815.03,0,7,8.74,60,1761817036328.747,edge1,3
3924.51,0,6,8.73,60,1761817037329.372,edge1,3
4918.41,0,7,8.73,60,1761817038329.296,edge1,3
5114.63,0,8,8.76,60,1761817039332.19,edge1,3
4995.41,0,6,8.76,60,1761817040329.672,edge1,3
4421.05,0,10,8.76,59,1761817041328.828,edge1,3
4049.23,0,8,8.77,61,1761817042328.798,edge1,3
3699.97,0,9,8.77,60,1761817043331.339,edge1,3
3963.62,0,8,8.77,60,1761817044328.691,edge1,3
3803.25,0,7,8.8,60,1761817045328.703,edge1,3
3677.43,0,7,8.8,60,1761817046329.555,edge1,3
4279.34,0,8,8.76,60,1761817047329.367,edge1,3
4698.21,0,9,8.76,60,1761817048328.67,edge1,3
4602.86,0,6,8.76,59,1761817049329.527,edge1,3
4608.27,0,6,8.73,61,1761817050329.165,edge1,3
3779.77,0,9,8.73,60,1761817051329.185,edge1,3
