bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
338.95,0,2,4,62,1761816839283.263,edge2,1
499.19,0,1,3.75,60,1761816840283.442,edge2,1
526.02,0,1,3.6,60,1761816841283.136,edge2,1
659.17,0,0,3.6,60,1761816842283.181,edge2,1
681.66,0,1,3.6,60,1761816843283.13,edge2,1
532.44,0,0,3.67,59,1761816844283.37,edge2,1
568.03,0,1,3.67,61,1761816845282.854,edge2,1
516.52,0,0,3.57,60,1761816846283.344,edge2,1
16103.56,0,2,3.57,59,1761816847283.336,edge2,1
8665.2,0,1,3.57,60,1761816848283.315,edge2,1
756.72,0,1,3.63,59,1761816849283.062,edge2,1
874.72,0,1,3.63,61,1761816850283.262,edge2,1
2838.1,0,1,3.63,59,1761816851283.783,edge2,1
12503.41,0,1,3.78,60,1761816852283.021,edge2,1
4677.17,0,1,3.78,60,1761816853283.15,edge2,1
4205.76,0,0,3.8,60,1761816854283.793,edge2,1
4669.8,0,1,3.8,60,1761816855283.006,edge2,1
4768.88,0,0,3.8,60,1761816856282.909,edge2,1
4098.8,0,0,3.73,60,1761816857283.07,edge2,1
5077.8,0,1,3.73,60,1761816858283.142,edge2,1
5104.7,0,1,3.73,60,1761816859283.003,edge2,1
5970.73,0,1,3.75,60,1761816860283.223,edge2,1
7096.99,0,1,3.75,60,1761816861283.443,edge2,1
6886.13,0,1,3.85,60,1761816862283.454,edge2,1
6339.4,0,1,3.85,60,1761816863283.012,edge2,1
6101.66,0,1,3.85,60,1761816864282.891,edge2,1
5722.46,0,0,3.79,60,1761816865283.069,edge2,1
5739.87,0,1,3.79,60,1761816866283.146,edge2,1
5704.23,0,0,3.79,61,1761816867283.199,edge2,1
5784.09,0,1,3.8,59,1761816868283.038,edge2,1
5468.35,0,1,3.8,59,1761816869283.1,edge2,1
5840.44,0,1,3.94,60,1761816870283.467,edge2,1
5655.22,0,1,3.94,60,1761816871283.139,edge2,1
5484.66,0,1,3.94,60,1761816872283.042,edge2,1
5818.04,0,1,3.94,60,1761816873283.883,edge2,1
5930.49,0,1,3.94,60,1761816874283.216,edge2,1
5532.16,0,1,3.94,60,1761816875283.144,edge2,1
5952.42,0,1,4.06,60,1761816876283.656,edge2,1
6664.11,0,1,4.06,60,1761816877284.549,edge2,1
6236.73,0,1,4.16,60,1761816878283.263,edge2,1
6001.23,0,1,4.16,61,1761816879283.54,edge2,1
5922.76,0,1,4.16,60,1761816880283.22,edge2,1
5540.77,0,1,4.25,60,1761816881283.831,edge2,1
5198.68,0,2,4.25,60,1761816882283.025,edge2,1
4873.91,0,1,4.25,60,1761816883283.507,edge2,1
4367.61,0,1,4.81,60,1761816884283.364,edge2,1
2742.42,0,1,4.81,60,1761816885283.123,edge2,1
2625.68,0,1,5.05,60,1761816886283.364,edge2,1
3252.23,0,2,5.05,60,1761816887283.158,edge2,1
3234.96,0,1,5.05,60,1761816888284.134,edge2,1
3175.86,0,1,5.04,60,1761816889283.83,edge2,1
3464.73,0,1,5.04,60,1761816890283.002,edge2,1
3669.37,0,2,5,60,1761816891283.071,edge2,1
3899.34,0,2,5,60,1761816892283.021,edge2,1
4592.63,0,2,5,59,1761816893283.845,edge2,2
4918.49,0,0,4.92,61,1761816894283.112,edge2,2
4426.8,0,0,4.92,59,1761816895283.126,edge2,2
4570.98,0,0,4.92,59,1761816896283.17,edge2,2
4809.04,0,1,4.92,60,1761816897284.537,edge2,2
4132.14,0,3,4.92,61,1761816898283.256,edge2,2
3272.8,0,3,5.07,60,1761816899283.745,edge2,2
2943.64,0,2,5.07,60,1761816900283.445,edge2,2
3071.21,0,3,5.07,60,1761816901283.294,edge2,2
3688.34,0,3,5.21,59,1761816902284.382,edge2,2
4738.38,0,2,5.21,60,1761816903287.157,edge2,2
5001.53,0,2,5.21,60,1761816904284.018,edge2,2
4871.03,0,1,5.21,60,1761816905283.09,edge2,2
5179.55,0,2,5.21,60,1761816906283.146,edge2,2
4523.16,0,4,5.4,60,1761816907284.193,edge2,2
5104.02,0,4,5.4,59,1761816908283.639,edge2,2
4688.3,0,3,5.4,61,1761816909283.278,edge2,2
4586.8,0,2,5.58,60,1761816910283.363,edge2,2
4828.84,0,3,5.58,59,1761816911287.683,edge2,2
4731.98,0,3,5.58,60,1761816912283.06,edge2,2
4503.52,0,3,5.69,60,1761816913284.265,edge2,2
4798.31,0,4,5.69,60,1761816914283.543,edge2,2
4059.36,0,2,5.79,60,1761816915283.044,edge2,2
3483.2,0,2,5.79,59,1761816916283.247,edge2,2
3759.6,0,2,5.79,61,1761816917284.771,edge2,2
4795.62,0,3,5.85,59,1761816918284.041,edge2,2
7110.65,0,3,5.85,60,1761816919283.168,edge2,2
8076.13,0,5,5.85,61,1761816920283.371,edge2,2
7925.55,0,3,6.03,59,1761816921284.987,edge2,2
7719,0,3,6.03,60,1761816922283.402,edge2,2
7562.38,0,3,6.17,59,1761816923283.588,edge2,2
6336.6,0,3,6.17,61,1761816924287.664,edge2,2
4413.5,0,3,6.17,60,1761816925284.726,edge2,2
4933.82,0,3,6.11,59,1761816926283.571,edge2,2
5100.34,0,5,6.11,59,1761816927283.529,edge2,2
6022.36,0,3,6.11,59,1761816928283.565,edge2,2
6402.53,0,4,6.34,59,1761816929285.473,edge2,2
7167.92,0,2,6.34,62,1761816930283.152,edge2,2
6516.6,0,1,6.33,60,1761816931282.943,edge2,2
4936.17,0,1,6.33,60,1761816932284.217,edge2,2
4142.66,0,1,6.33,60,1761816933283.145,edge2,2
3586.33,0,2,6.3,60,1761816934283.337,edge2,2
