bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
340.3,0,1,3.33,61,1762536208353.402,edge3,1
471.22,0,1,3.25,60,1762536209352.774,edge3,1
530.82,0,3,3.2,60,1762536210353.542,edge3,1
697.78,0,3,3.2,60,1762536211357.377,edge3,1
640.44,0,1,2.83,60,1762536212353.404,edge3,1
531.15,0,1,2.83,60,1762536213352.867,edge3,1
546.94,0,1,2.83,60,1762536214352.903,edge3,1
1857.88,0,2,2.71,60,1762536215352.78,edge3,1
16114.02,0,2,2.71,60,1762536216353.031,edge3,1
7232.94,0,2,2.71,59,1762536217353.698,edge3,1
721.52,0,3,3,60,1762536218352.631,edge3,1
860.61,0,2,3,60,1762536219353.285,edge3,1
4368.2,0,2,2.89,60,1762536220353.437,edge3,1
11155.96,0,2,2.89,60,1762536221355.37,edge3,1
4584.48,0,2,2.89,60,1762536222354.535,edge3,1
4408.71,0,3,2.9,59,1762536223353.557,edge3,1
4528.7,0,1,2.9,61,1762536224352.852,edge3,1
4607.99,0,1,2.9,60,1762536225352.911,edge3,1
4221.95,0,1,3.09,60,1762536226352.782,edge3,1
5089.89,0,1,3.09,60,1762536227353.459,edge3,1
5134.75,0,2,3.08,60,1762536228353.154,edge3,1
6082.88,0,1,3.08,60,1762536229353.109,edge3,1
7180.07,0,2,3.08,60,1762536230352.886,edge3,1
6792.65,0,1,3,60,1762536231352.959,edge3,1
6321.91,0,1,3,60,1762536232352.689,edge3,1
6062.42,0,1,3,60,1762536233352.833,edge3,1
5647.05,0,0,3,60,1762536234352.814,edge3,1
5723.35,0,1,3,60,1762536235352.892,edge3,1
5745.73,0,0,2.93,60,1762536236358.433,edge3,1
5697.69,0,1,2.93,60,1762536237353.225,edge3,1
5556.6,0,2,2.93,60,1762536238352.799,edge3,1
5891.41,0,2,3.06,60,1762536239352.825,edge3,1
5507.08,0,1,3.06,60,1762536240355.919,edge3,1
5551.27,0,1,3.06,60,1762536241352.86,edge3,1
5798.36,0,1,3.06,60,1762536242353.661,edge3,1
5954.34,0,2,3.06,60,1762536243352.778,edge3,1
5499.7,0,2,3,60,1762536244353.046,edge3,1
6000.73,0,1,3,60,1762536245352.851,edge3,1
6642.17,0,1,3,60,1762536246352.827,edge3,1
6224.3,0,1,3.05,61,1762536247352.842,edge3,1
6000.4,0,1,3.05,59,1762536248353.472,edge3,1
5915.31,0,1,3.25,60,1762536249352.893,edge3,1
5514.37,0,2,3.25,60,1762536250352.68,edge3,1
5178.03,0,1,3.25,60,1762536251352.776,edge3,1
4861.34,0,2,3.29,60,1762536252352.787,edge3,1
4219.94,0,1,3.29,60,1762536253353.305,edge3,1
2692.74,0,1,3.29,60,1762536254353.359,edge3,1
2689.33,0,2,3.27,60,1762536255352.943,edge3,1
3284.61,0,2,3.27,60,1762536256353.368,edge3,1
3242.8,0,1,3.22,60,1762536257353.156,edge3,1
3112.44,0,3,3.22,60,1762536258352.691,edge3,1
3489.63,0,1,3.22,60,1762536259352.759,edge3,1
3729.14,0,1,3.17,60,1762536260352.825,edge3,1
3927.81,0,2,3.17,60,1762536261352.777,edge3,1
4571.57,0,3,3.17,60,1762536262353.067,edge3,1
4899.39,0,1,3.12,60,1762536263352.805,edge3,1
4510.86,0,1,3.12,61,1762536264352.842,edge3,1
4595.62,0,1,3.15,60,1762536265353.401,edge3,1
4746.43,0,1,3.15,60,1762536266352.774,edge3,1
4090.31,0,1,3.15,60,1762536267352.782,edge3,1
3212.59,0,1,3.19,60,1762536268353.347,edge3,1
2989.38,0,1,3.19,60,1762536269352.695,edge3,1
3078.97,0,2,3.19,60,1762536270353.656,edge3,1
3735.49,0,2,3.18,60,1762536271353.031,edge3,1
4741.95,0,1,3.18,60,1762536272352.714,edge3,1
5086.05,0,2,3.21,60,1762536273352.818,edge3,1
4822.28,0,1,3.21,60,1762536274353.337,edge3,1
5187.92,0,2,3.21,60,1762536275352.781,edge3,1
4512.45,0,3,3.17,60,1762536276352.809,edge3,1
5118.69,0,2,3.17,60,1762536277352.776,edge3,1
4598.85,0,3,3.17,59,1762536278353.006,edge3,1
4624.3,0,2,3.13,61,1762536279353.011,edge3,1
4819.63,0,1,3.13,60,1762536280353.274,edge3,1
4481.36,0,4,3.25,58,1762536281353.994,edge3,1
4695.9,0,4,3.25,62,1762536282353.837,edge3,1
4810.89,0,2,3.25,60,1762536283353.024,edge3,1
3954.48,0,2,3.27,60,1762536284352.874,edge3,1
3587.77,0,1,3.27,60,1762536285352.847,edge3,1
3696.73,0,2,3.27,60,1762536286353.158,edge3,1
5512.59,0,3,3.29,59,1762536287352.867,edge3,1
6690.41,0,3,3.29,60,1762536288353,edge3,1
8040.05,0,3,3.4,60,1762536289355.788,edge3,1
7921.59,0,2,3.4,60,1762536290353.777,edge3,1
7612.69,0,2,3.4,60,1762536291352.796,edge3,1
7515.52,0,4,3.61,59,1762536292353.926,edge3,1
6280.46,0,1,3.61,62,1762536293352.782,edge3,2
4365.84,0,1,3.61,60,1762536294352.713,edge3,2
4942.96,0,1,3.81,60,1762536295352.82,edge3,2
5157.52,0,1,3.81,60,1762536296352.731,edge3,2
6060.36,0,1,3.79,60,1762536297352.845,edge3,2
3903.97,0,14,3.79,38,1762536298352.797,edge3,2
3150.5,0,15,3.79,28,1762536299353.343,edge3,2
3620.46,0,17,4.87,29,1762536300352.907,edge3,2
3819.98,0,15,4.87,31,1762536301354.489,edge3,2
3505.3,0,17,4.87,32,1762536302353.85,edge3,2
2719.99,0,15,4.9,31,1762536303353.949,edge3,2
2580.55,0,13,4.9,34,1762536304352.887,edge3,2
2582.33,0,16,5.51,30,1762536305358.222,edge3,2
2265.03,0,15,5.51,33,1762536306352.965,edge3,2
2075.95,0,12,5.51,35,1762536307353.374,edge3,2
2021.29,0,15,5.5,35,1762536308353.038,edge3,2
1605.35,0,15,5.5,34,1762536309355.92,edge3,2
1016.94,0,15,5.5,33,1762536310355.588,edge3,2
1084.07,0,16,6.21,35,1762536311352.887,edge3,2
990.9,0,14,6.21,39,1762536312352.884,edge3,2
1285.41,0,17,6.27,32,1762536313353.861,edge3,2
1746.66,0,13,6.27,37,1762536314353.071,edge3,2
1749.98,0,12,6.27,36,1762536315353.204,edge3,2
1805.25,0,11,6.29,37,1762536316352.908,edge3,2
1812.49,0,14,6.29,33,1762536317352.88,edge3,2
2164.38,0,14,6.29,35,1762536318352.785,edge3,2
1943.98,0,13,7.24,38,1762536319353.724,edge3,2
2042.58,0,16,7.24,31,1762536320354.847,edge3,2
2215.77,0,16,7.32,33,1762536321354.394,edge3,2
1737.31,0,19,7.32,27,1762536322353.121,edge3,2
1789.18,0,17,7.32,30,1762536323354.117,edge3,2
2010.35,0,16,7.98,30,1762536324352.818,edge3,2
1644.64,0,13,7.98,30,1762536325357.689,edge3,2
1407.02,0,15,7.9,31,1762536326353.878,edge3,2
1021.12,0,22,7.9,30,1762536327352.869,edge3,3
1550.23,0,20,7.9,45,1762536328352.837,edge3,3
1921.2,0,21,8.26,52,1762536329352.714,edge3,3
3648.59,0,19,8.26,39,1762536330353.412,edge3,3
5072.81,0,17,8.26,44,1762536331354.573,edge3,3
5722.56,0,15,8.24,46,1762536332352.748,edge3,3
2110.72,0,39,8.24,20,1762536333352.799,edge3,3
2368.36,0,37,8.35,15,1762536334353.265,edge3,3
2255.26,0,31,8.35,17,1762536335353.004,edge3,3
1702.36,0,42,8.35,15,1762536336353.185,edge3,3
1586.77,0,42,9.3,14,1762536337353.451,edge3,3
1285.48,0,41,9.3,16,1762536338353.063,edge3,3
1321.28,0,39,9.3,16,1762536339353.901,edge3,3
1237.76,0,44,9.26,15,1762536340353.26,edge3,3
1350.45,0,47,9.26,15,1762536341353.885,edge3,3
1399.13,0,42,9.87,16,1762536342352.922,edge3,3
1718.62,0,47,9.87,14,1762536343352.773,edge3,3
1430.39,0,47,9.87,15,1762536344353.059,edge3,3
1449.23,0,42,9.88,17,1762536345353.546,edge3,3
1610.5,0,37,9.88,17,1762536346353.537,edge3,3
1634.12,0,36,9.88,19,1762536347353.277,edge3,3
2023.48,0,34,10.25,18,1762536348353.146,edge3,3
1170.13,0,46,10.25,14,1762536349352.754,edge3,3
1450.55,0,47,10.19,14,1762536350352.817,edge3,3
1850.13,0,49,10.19,14,1762536351355.322,edge3,3
1609.52,0,49,10.19,11,1762536352353.141,edge3,3
2318.17,0,33,10.37,19,1762536353354.196,edge3,3
1687.52,0,40,10.37,15,1762536354352.853,edge3,3
2308.31,0,29,10.37,19,1762536355352.691,edge3,3
1758.58,0,40,11.35,12,1762536356352.96,edge3,3
1279.69,0,47,11.35,12,1762536357352.674,edge3,3
1532.86,0,36,11.28,16,1762536358353.286,edge3,3
2114.52,0,46,11.28,14,1762536359353.029,edge3,3
1476.47,0,50,11.28,13,1762536360352.827,edge3,3
928.59,0,62,11.19,9,1762536361357.553,edge3,3
1319.35,0,56,11.19,13,1762536362354.639,edge3,3
1873.31,0,39,11.19,16,1762536363353.108,edge3,4
1815.23,0,35,11.48,23,1762536364352.739,edge3,4
1347.3,0,42,11.48,15,1762536365352.6,edge3,4
1610.5,0,36,11.88,18,1762536366353.225,edge3,4
1488.45,0,38,11.88,20,1762536367352.97,edge3,4
845.23,0,43,11.88,13,1762536368352.933,edge3,4
592.55,0,68,13.08,7,1762536369353.728,edge3,4
538.23,0,85,13.08,7,1762536370352.76,edge3,4
531.84,0,86,13.08,8,1762536371352.734,edge3,4
701.76,0,75,13.32,10,1762536372352.712,edge3,4
707.69,0,65,13.32,10,1762536373352.694,edge3,4
453.91,0,88,14.16,5,1762536374352.993,edge3,4
380.84,0,119,14.16,4,1762536375352.657,edge3,4
641.78,0,102,14.16,8,1762536376352.731,edge3,4
565.38,0,105,14.25,6,1762536377352.664,edge3,4
605.48,0,90,14.25,9,1762536378352.704,edge3,4
751.83,0,72,14.25,11,1762536379352.716,edge3,4
408.91,0,84,14.99,6,1762536380352.675,edge3,4
750.05,0,73,14.99,10,1762536381353.257,edge3,4
