bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
303.19,0,1,4.67,60,1761467838221.689,,
501.14,0,1,4.75,60,1761467839221.258,,
517.63,0,2,4.6,61,1761467840221.466,,
691.7,0,1,4.6,60,1761467841221.075,,
671.41,0,4,4.6,60,1761467842221.248,,
510.8,0,0,4.33,59,1761467843221.277,,
548.53,0,0,4.33,60,1761467844221.134,,
466.35,0,2,4.43,60,1761467845221.068,,
7576.14,0,15,4.43,29,1761467846221.232,,
7926.89,0,17,4.43,30,1761467847222.833,,
9056.22,0,12,4.75,43,1761467848222.061,,
480.23,0,18,4.75,41,1761467849221.097,,
491.86,0,18,4.75,33,1761467850220.993,,
648.72,0,20,4.67,40,1761467851221.289,,
857.85,0,14,4.67,57,1761467852221.063,,
2214.1,0,22,4.5,27,1761467853221.115,,
7690.73,0,21,4.5,26,1761467854221.389,,
2102.64,0,57,4.5,12,1761467855221.1,,
2090.32,0,49,4.82,13,1761467856221.243,,
2171.69,0,37,4.82,22,1761467857222.406,,
2445.91,0,23,4.82,33,1761467858226.246,,
695.66,0,48,4.92,11,1761467859221.299,,
1720.45,0,30,4.92,26,1761467860221.087,,
1704.71,0,35,8.69,23,1761467861221.629,,
731.47,0,51,8.69,11,1761467862221.519,,
575.16,0,67,8.69,9,1761467863221.703,,
1786.63,0,37,8.36,27,1761467864221.332,,
771.4,0,52,8.36,12,1761467865221.425,,
1503.2,0,47,8.36,17,1761467866221.63,,
2611.89,0,23,11.07,32,1761467867221.998,,
866.7,0,41,11.07,12,1761467868221.133,,
2431.23,0,24,10.88,33,1761467869221.415,,
566.07,0,56,10.88,8,1761467870221.204,,
1052.79,0,34,10.88,16,1761467871221.065,,
1501.74,0,36,12,21,1761467872221.173,,
1438.08,0,36,12,18,1761467873221.51,,
2268.8,0,25,12,24,1761467874221.269,,
686.51,0,64,15.39,8,1761467875221.127,,
2895.4,0,38,15.39,24,1761467876223.314,,
3498.36,0,55,15.53,30,1761467877221.281,,
760.04,0,84,15.53,6,1761467878222.26,,
1899.33,0,65,15.53,13,1761467879221.109,,
701.86,0,73,17.8,5,1761467880221.163,,
3366.84,0,54,17.8,27,1761467881221.269,,
2966.52,0,46,17.8,25,1761467882221.78,,
2829.38,0,25,17.38,26,1761467883221.081,,
3294.62,0,29,17.38,29,1761467884221.91,,
777.04,0,69,18.77,7,1761467885221.389,,
1933.39,0,39,18.77,18,1761467886221.38,,
3000.68,0,51,18.77,25,1761467887221.089,,
2504.92,0,49,18.26,22,1761467888221.193,,
602.99,0,86,18.26,6,1761467889221.316,,
2180.16,0,42,18.96,18,1761467890223.433,,
3721.63,0,33,18.96,12,1761467891221.435,,
1638.72,0,29,18.96,38,1761467892221.364,,
