bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
316.31,0,1,4.33,62,1761468721261.598,,
506.16,0,1,4.5,60,1761468722260.894,,
534.13,0,1,4.2,59,1761468723261.158,,
696.9,0,2,4.2,60,1761468724260.707,,
651.47,0,0,4.2,60,1761468725260.664,,
591.16,0,0,4,61,1761468726261.474,,
569.65,0,0,4,60,1761468727260.83,,
514.31,0,1,4,60,1761468728260.947,,
15334.83,0,1,4,60,1761468729260.904,,
8682.28,0,1,4,59,1761468730261.12,,
721.63,0,1,4,61,1761468731260.714,,
824.38,0,2,4,60,1761468732261.619,,
2914.18,0,1,4,59,1761468733260.673,,
12707.92,0,1,5.22,60,1761468734260.847,,
4636.03,0,1,5.22,60,1761468735260.889,,
4223.64,0,0,5.1,60,1761468736260.952,,
4328.82,0,0,5.1,60,1761468737261.096,,
4683.64,0,1,5.1,60,1761468738261.516,,
4164.68,0,1,5.55,60,1761468739260.701,,
5103.5,0,0,5.55,60,1761468740260.722,,
5127.78,0,0,5.55,60,1761468741261.543,,
5970.05,0,1,5.42,60,1761468742260.787,,
7080.22,0,0,5.42,60,1761468743261.446,,
6870.55,0,1,5.38,60,1761468744260.776,,
6332.95,0,1,5.38,60,1761468745262.419,,
6088.77,0,1,5.38,60,1761468746260.841,,
5673.44,0,1,5.29,60,1761468747261.811,,
5691.04,0,0,5.29,60,1761468748260.759,,
5786.67,0,0,5.29,60,1761468749260.754,,
5570.42,0,1,5.53,60,1761468750260.959,,
5633.52,0,1,5.53,60,1761468751260.986,,
5843.96,0,0,5.63,60,1761468752262.207,,
5588.64,0,0,5.63,60,1761468753260.785,,
5514.75,0,0,5.63,60,1761468754260.989,,
5852.88,0,0,5.76,60,1761468755260.963,,
5822.51,0,1,5.76,60,1761468756260.941,,
5632.42,0,0,5.76,60,1761468757260.878,,
5958.22,0,1,5.72,60,1761468758260.713,,
6646.52,0,1,5.72,60,1761468759260.754,,
6257.18,0,0,5.79,60,1761468760260.825,,
6014.17,0,1,5.79,60,1761468761260.81,,
5885.41,0,1,5.79,60,1761468762260.813,,
5537.13,0,1,5.8,60,1761468763261.993,,
5189.8,0,0,5.8,60,1761468764261.28,,
4865.24,0,0,5.67,60,1761468765261.017,,
4291.52,0,0,5.67,60,1761468766261.114,,
2729.96,0,0,5.67,60,1761468767260.779,,
2665.59,0,0,5.64,60,1761468768261.003,,
3264.04,0,1,5.64,60,1761468769261.367,,
3248.52,0,1,5.64,60,1761468770261.336,,
3122.02,0,0,5.61,60,1761468771260.771,,
3400.54,0,0,5.61,60,1761468772261.02,,
3773.16,0,1,5.54,60,1761468773260.902,,
3903.11,0,0,5.54,60,1761468774261.366,,
4530.58,0,0,5.54,60,1761468775260.873,,
4904.15,0,0,5.48,60,1761468776260.947,,
4489,0,1,5.48,60,1761468777260.711,,
4601.11,0,1,5.48,60,1761468778263.215,,
4708.88,0,1,5.38,60,1761468779260.658,,
4154.57,0,1,5.38,60,1761468780260.896,,
3239.96,0,0,5.41,60,1761468781260.682,,
2979.87,0,0,5.41,60,1761468782260.872,,
3057.45,0,1,5.41,60,1761468783260.808,,
3703.07,0,1,5.36,60,1761468784260.858,,
4657.69,0,0,5.36,60,1761468785262.377,,
5069.56,0,0,5.36,60,1761468786260.934,,
4828.77,0,0,5.31,60,1761468787260.811,,
5149.41,0,0,5.31,60,1761468788260.719,,
4525.31,0,0,5.27,60,1761468789261.291,,
5088.65,0,1,5.27,60,1761468790260.832,,
4681.12,0,0,5.27,60,1761468791263.899,,
4559.76,0,0,5.26,60,1761468792260.712,,
4799.02,0,0,5.26,60,1761468793261.151,,
4692.46,0,2,5.26,60,1761468794261.061,,
4504.17,0,1,5.28,60,1761468795261.775,,
4786.59,0,1,5.28,60,1761468796260.779,,
3982,0,0,5.21,60,1761468797260.759,,
3550.56,0,0,5.21,60,1761468798261.079,,
3768.27,0,0,5.21,60,1761468799260.741,,
4847.86,0,0,5.18,60,1761468800260.75,,
7127.71,0,1,5.18,61,1761468801260.795,,
7925.78,0,2,5.18,60,1761468802261.704,,
8063.56,0,0,5.26,60,1761468803260.538,,
7752.48,0,0,5.26,60,1761468804261.43,,
7530.94,0,1,5.22,60,1761468805260.663,,
6254.82,0,0,5.22,60,1761468806260.661,,
4450.87,0,0,5.22,60,1761468807260.913,,
4864.62,0,2,5.41,60,1761468808260.779,,
5192.66,0,2,5.41,59,1761468809260.769,,
6003.42,0,2,5.41,60,1761468810261.899,,
6411.88,0,2,5.39,61,1761468811261.563,,
7138.4,0,3,5.39,59,1761468812263.304,,
6347.05,0,2,5.51,60,1761468813260.899,,
4939.85,0,3,5.51,60,1761468814260.886,,
4184.85,0,1,5.51,60,1761468815261.073,,
3564.21,0,1,5.42,60,1761468816261.68,,
2349.82,0,1,5.42,60,1761468817261.339,,
1657.96,0,2,5.42,60,1761468818260.833,,
2283.6,0,3,5.49,59,1761468819265.343,,
2886.91,0,3,5.49,61,1761468820261.993,,
3053.39,0,3,5.67,60,1761468821260.949,,
3418.04,0,5,5.67,60,1761468822260.657,,
3407.51,0,5,5.67,59,1761468823260.967,,
4086.79,0,6,6.21,60,1761468824262.292,,
3789.19,0,3,6.21,61,1761468825261.657,,
3098.24,0,5,6.21,60,1761468826263.033,,
