UE_ID,Avg_FPS,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,MOS,Samples
UE1,60.07,4304.82,6.13,0.00,3.61,27
UE2,59.94,4552.45,4.35,0.00,3.82,67
UE3,60.05,4964.12,3.73,0.00,3.83,41
UE4,59.97,4287.57,5.53,0.00,3.83,271
UE5,60.07,3376.57,5.73,0.00,3.28,15
UE6,58.74,4237.37,6.68,0.00,3.81,548
UE7,59.85,4261.27,6.97,0.00,3.59,26
UE8,59.71,4327.13,10.53,0.00,3.83,541
UE9,59.79,4384.77,9.55,0.00,3.63,29
UE10,59.77,4333.95,10.13,0.11,3.83,848
UE11,59.85,4568.91,10.17,0.00,3.83,111
UE12,59.50,4413.50,11.79,0.03,3.83,332
OVERALL,59.56,4336.83,8.98,0.04,3.73,2856
