bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
328.07,0,10,11,62,1764865435683.617,edge1,1
1044.52,0,9,9,61,1764865436682.844,edge1,1
872.63,0,10,8.8,59,1764865437682.697,edge1,1
1138.06,0,10,8.8,57,1764865438682.643,edge1,1
1227.29,0,11,8.8,62,1764865439682.489,edge1,1
1073.8,0,8,7.67,60,1764865440683.535,edge1,1
1294.64,0,10,7.67,60,1764865441682.492,edge1,1
1058.38,0,10,7,60,1764865442682.846,edge1,1
15507.8,0,7,7,59,1764865443682.518,edge1,1
9251.7,0,10,7,60,1764865444690.82,edge1,1
530.98,0,9,6.63,59,1764865445682.566,edge1,1
396.8,0,4,6.63,61,1764865446682.477,edge1,1
2086.62,0,7,6.63,59,1764865447683.166,edge1,1
12398.52,0,7,6.22,61,1764865448682.761,edge1,1
4727.34,0,8,6.22,60,1764865449682.536,edge1,1
4300.14,0,4,6.1,61,1764865450682.474,edge1,1
5298.02,0,7,6.1,59,1764865451682.967,edge1,1
4477.94,0,6,6.1,59,1764865452683.014,edge1,1
4215.14,0,6,6,60,1764865453682.579,edge1,1
5051.04,0,7,6,59,1764865454683.232,edge1,1
5230.02,0,8,6,60,1764865455684.842,edge1,1
6219.81,0,7,5.83,60,1764865456682.866,edge1,1
7197.09,0,6,5.83,60,1764865457682.613,edge1,1
7058.01,0,6,5.62,60,1764865458682.6,edge1,1
6425.05,0,9,5.62,60,1764865459682.747,edge1,1
6003.09,0,11,5.62,59,1764865460683.479,edge1,1
5905.45,0,7,5.43,61,1764865461683.049,edge1,1
5679.37,0,8,5.43,59,1764865462682.68,edge1,1
