UE_ID,Avg_FPS,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,MOS,Samples
UE1,59.89,4499.90,6.81,0.00,3.69,28
UE2,60.03,4662.23,5.27,0.00,3.85,70
UE3,59.93,4874.80,6.42,0.00,3.81,44
UE4,48.28,3668.93,8.45,0.00,3.25,273
UE5,60.11,3627.67,10.25,0.00,3.47,19
UE6,54.81,4068.66,11.96,0.00,3.56,550
UE7,21.90,1704.13,19.25,0.00,1.50,30
UE8,53.02,4102.01,15.72,0.00,3.53,542
UE9,60.03,4570.78,3.86,0.00,3.75,32
UE10,48.25,3930.73,15.83,0.00,3.32,850
UE11,25.19,2037.05,14.64,0.00,2.06,114
UE12,28.21,2443.40,27.57,0.00,2.35,336
OVERALL,47.67,3736.20,15.07,0.00,3.18,2888
