bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
316.31,0,2,8,62,1764863826225.581,edge2,2
497.37,0,2,8.5,59,1764863827224.994,edge2,2
537.69,0,2,9.4,60,1764863828225.875,edge2,2
678.25,0,3,9.4,60,1764863829226.792,edge2,2
653.3,0,2,9.4,60,1764863830225.068,edge2,2
569.23,0,3,9.33,60,1764863831224.667,edge2,2
553.47,0,1,9.33,60,1764863832225.669,edge2,2
541.48,0,3,9.86,60,1764863833224.698,edge2,2
15326.7,0,3,9.86,58,1764863834224.412,edge2,2
9105.98,0,1,9.86,58,1764863835224.728,edge2,2
745.37,0,3,9.13,60,1764863836225.172,edge2,2
761,0,2,9.13,60,1764863837224.718,edge2,2
3018.38,0,4,9.13,59,1764863838224.561,edge2,2
11981.72,0,2,8.67,61,1764863839225.715,edge2,2
4638.41,0,2,8.67,60,1764863840225.382,edge2,2
4474.48,0,4,8.7,60,1764863841225.165,edge2,2
4191.98,0,4,8.7,60,1764863842227.471,edge2,2
4758.53,0,3,8.7,59,1764863843224.716,edge2,2
4102.54,0,6,9.55,61,1764863844225.173,edge2,2
5167.14,0,4,9.55,59,1764863845225.197,edge2,2
5031.53,0,2,9.55,59,1764863846224.619,edge2,2
5968.78,0,3,9.5,61,1764863847225.026,edge2,2
7185.69,0,3,9.5,61,1764863848225.137,edge2,2
6870.45,0,3,10.15,60,1764863849224.554,edge2,2
6225.73,0,2,10.15,60,1764863850224.746,edge2,2
6180.91,0,2,10.15,60,1764863851224.962,edge2,2
5652.59,0,2,10.14,60,1764863852224.501,edge2,2
5705.7,0,3,10.14,60,1764863853226.14,edge2,2
5769.1,0,2,10.14,60,1764863854224.979,edge2,2
5688.25,0,2,9.73,60,1764863855224.98,edge2,2
5546.63,0,3,9.73,60,1764863856228.349,edge2,2
5742.84,0,2,9.69,60,1764863857224.377,edge2,2
5668.42,0,3,9.69,60,1764863858224.578,edge2,2
5510.8,0,3,9.69,60,1764863859225.551,edge2,2
5839.98,0,2,9.65,59,1764863860224.669,edge2,2
5941.56,0,2,9.65,60,1764863861224.593,edge2,2
5431.92,0,2,9.65,61,1764863862224.799,edge2,2
6034.53,0,4,10.11,59,1764863863224.833,edge2,2
6649.83,0,6,10.11,59,1764863864224.377,edge2,2
6151.6,0,3,10.21,61,1764863865224.715,edge2,2
6017.05,0,2,10.21,60,1764863866224.759,edge2,2
6026.27,0,2,10.21,60,1764863867226.322,edge2,2
5543.63,0,2,10.25,61,1764863868225.338,edge2,2
5209.34,0,3,10.25,59,1764863869225.058,edge2,2
4871.63,0,2,10.29,60,1764863870224.633,edge2,2
4298.1,0,2,10.29,60,1764863871224.717,edge2,2
2726.91,0,3,10.29,60,1764863872224.888,edge2,2
