UE_ID,Avg_FPS,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,MOS,Samples
UE1,60.07,4514.23,8.08,0.00,3.71,28
UE2,60.01,4575.63,4.49,0.00,3.83,70
UE3,59.98,4863.61,6.11,0.00,3.78,44
UE4,58.26,4237.17,5.33,0.00,3.77,273
UE5,60.05,3558.16,5.67,0.00,3.41,19
UE6,59.79,4288.91,8.39,0.00,3.83,551
UE7,39.17,2479.29,9.35,0.00,2.75,30
UE8,59.93,4276.28,9.19,0.00,3.84,543
UE9,59.94,4452.60,9.22,0.00,3.64,31
UE10,59.60,4250.74,9.39,0.00,3.83,851
UE11,59.63,4635.48,10.33,0.00,3.85,114
UE12,59.81,4339.06,12.67,0.00,3.81,335
OVERALL,58.02,4205.93,8.19,0.00,3.67,2889
