UE_ID,Avg_FPS,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,MOS,Samples
UE1,60.04,4501.46,7.03,0.07,3.70,28
UE2,48.64,3773.16,5.11,0.00,3.40,70
UE3,45.89,3809.03,10.71,0.00,3.21,44
UE4,30.43,2771.13,12.64,0.00,2.34,270
UE5,47.26,2741.47,6.62,0.00,2.86,19
UE6,11.62,1221.36,25.70,0.00,1.36,546
UE7,17.50,608.57,29.29,0.00,1.17,30
UE8,9.74,999.17,42.01,0.00,1.18,532
UE9,6.84,53.12,47.55,0.00,1.00,32
UE10,29.11,3628.09,40.14,0.00,2.33,783
UE11,4.98,253.68,47.18,0.00,1.00,114
UE12,8.01,733.80,54.31,0.00,1.10,333
OVERALL,19.46,2031.60,35.07,0.00,2.05,2801
