bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
337.29,0,2,10.67,63,1764932024354.914,edge3,1
500.05,0,2,9,59,1764932025355.147,edge3,1
539.58,0,3,7.8,60,1764932026355.333,edge3,1
678.55,0,3,7.8,59,1764932027354.847,edge3,1
646.15,0,1,7,61,1764932028355.219,edge3,1
565.96,0,2,7,60,1764932029355.334,edge3,1
545.53,0,4,7,59,1764932030355.504,edge3,1
1237.98,0,5,6.57,60,1764932031363.776,edge3,1
15619.04,0,2,6.57,60,1764932032355.003,edge3,1
7971.22,0,1,6.57,61,1764932033354.728,edge3,1
739.05,0,1,6.13,60,1764932034356.941,edge3,1
725.38,0,2,6.13,60,1764932035356.049,edge3,1
4359.82,0,2,5.78,59,1764932036355.043,edge3,1
11400.78,0,2,5.78,61,1764932037354.633,edge3,1
4588.65,0,1,5.78,60,1764932038355.156,edge3,1
4445.78,0,2,5.5,60,1764932039359.499,edge3,1
4402.33,0,2,5.5,60,1764932040355.206,edge3,1
4623.03,0,1,5.5,59,1764932041362.594,edge3,1
4172.73,0,1,5.27,60,1764932042355.023,edge3,1
5116.23,0,2,5.27,60,1764932043355.469,edge3,1
5118.32,0,1,5.08,60,1764932044354.738,edge3,1
6030.23,0,1,5.08,60,1764932045355.334,edge3,1
7146.26,0,1,5.08,60,1764932046363.708,edge3,1
6837.78,0,2,5,61,1764932047355.173,edge3,1
6321.78,0,1,5,59,1764932048355.234,edge3,1
6067.56,0,1,5,60,1764932049354.84,edge3,1
5663.49,0,1,4.79,61,1764932050355.113,edge3,1
5713.27,0,1,4.79,60,1764932051354.872,edge3,1
