UE_ID,Avg_FPS,Avg_Bitrate_kbps,Avg_RTT_ms,Avg_PacketLost,MOS,Samples
UE1,60.07,4361.21,6.16,0.00,3.65,28
UE2,49.56,3835.01,7.11,0.00,3.44,70
UE3,48.16,3977.52,9.32,0.00,3.29,44
UE4,31.68,2836.62,10.24,0.00,2.41,270
UE5,47.00,2766.89,8.07,0.00,2.92,19
UE6,14.57,1254.18,27.15,0.00,1.47,542
UE7,17.37,509.31,22.20,0.00,1.09,30
UE8,12.75,1078.22,38.01,0.00,1.31,536
UE9,8.00,64.95,39.72,0.00,1.00,32
UE10,29.54,3637.04,38.54,0.00,2.27,803
UE11,6.64,383.68,50.14,0.00,1.01,113
UE12,8.76,824.65,46.80,0.00,1.16,324
OVERALL,21.18,2095.40,33.01,0.00,2.08,2811
