bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
332.43,0,9,6.67,61,1764827152571.992,edge1,1
1012.63,0,9,6,61,1764827153570.901,edge1,1
1628.52,0,11,5.4,60,1764827154570.755,edge1,1
1499.95,0,8,5.4,58,1764827155571.57,edge1,1
1563.38,0,11,5.4,60,1764827156570.736,edge1,1
1290.22,0,9,5.17,60,1764827157571.034,edge1,1
1339.7,0,11,5.17,60,1764827158571.298,edge1,1
1159.94,0,8,4.71,60,1764827159571.028,edge1,1
16166.83,0,8,4.71,58,1764827160571.03,edge1,1
8667,0,7,4.71,59,1764827161575.03,edge1,1
565.88,0,7,4.5,61,1764827162570.774,edge1,1
327.23,0,6,4.5,60,1764827163571.172,edge1,1
2772.11,0,7,4.5,59,1764827164570.588,edge1,1
11992.02,0,8,4.33,60,1764827165570.631,edge1,1
4561.65,0,8,4.33,60,1764827166571.181,edge1,1
4322.98,0,9,4.4,60,1764827167570.78,edge1,1
5403.96,0,9,4.4,59,1764827168570.707,edge1,1
4647.34,0,6,4.4,61,1764827169570.692,edge1,1
4205.19,0,8,4.55,60,1764827170570.718,edge1,1
5160.65,0,7,4.55,60,1764827171570.587,edge1,1
5158.96,0,6,4.55,60,1764827172571.215,edge1,1
6395.53,0,7,4.42,60,1764827173571.01,edge1,1
6786.45,0,6,4.42,60,1764827174570.692,edge1,1
7169.77,0,8,4.54,60,1764827175570.707,edge1,1
6719.53,0,4,4.54,60,1764827176570.882,edge1,1
6118.9,0,8,4.54,60,1764827177570.585,edge1,1
5699.94,0,6,4.57,60,1764827178570.695,edge1,1
5722.66,0,8,4.57,60,1764827179570.795,edge1,1
5866.2,0,7,4.57,61,1764827180570.956,edge1,1
5743.26,0,9,4.47,59,1764827181571.111,edge1,1
5562.73,0,7,4.47,61,1764827182571.203,edge1,1
5839.05,0,6,4.44,60,1764827183570.858,edge1,1
5752.65,0,7,4.44,59,1764827184570.844,edge1,1
5530.55,0,8,4.44,60,1764827185570.764,edge1,1
5699.88,0,5,4.41,60,1764827186570.944,edge1,1
5949.51,0,6,4.41,60,1764827187572.169,edge1,1
5753.55,0,7,4.41,61,1764827188571.159,edge1,1
5960.63,0,7,4.44,59,1764827189571.065,edge1,1
6789.5,0,8,4.44,60,1764827190572.368,edge1,1
6386.47,0,7,4.53,60,1764827191571.22,edge1,1
5938.25,0,7,4.53,60,1764827192570.892,edge1,1
6011.43,0,8,4.53,60,1764827193571.402,edge1,1
5652.91,0,8,4.6,60,1764827194570.758,edge1,1
5223.98,0,6,4.6,60,1764827195570.9,edge1,1
4870.26,0,8,4.6,60,1764827196570.708,edge1,1
4382.45,0,5,4.52,60,1764827197571.225,edge1,1
2749.75,0,6,4.52,60,1764827198570.656,edge1,1
2609.02,0,4,4.45,60,1764827199570.774,edge1,1
3279,0,5,4.45,60,1764827200570.642,edge1,1
3280.75,0,6,4.45,60,1764827201570.78,edge1,1
3013.16,0,10,4.39,60,1764827202571.075,edge1,1
3562.45,0,7,4.39,60,1764827203570.629,edge1,1
3706.1,0,7,4.42,60,1764827204570.805,edge1,1
3830.66,0,10,4.42,60,1764827205570.526,edge1,1
4677.72,0,8,4.42,60,1764827206571.172,edge1,1
4970.39,0,9,4.36,60,1764827207571.105,edge1,1
4500.52,0,6,4.36,60,1764827208571.316,edge1,1
4581.27,0,8,4.36,60,1764827209571.167,edge1,1
4773.15,0,7,4.46,60,1764827210570.9,edge1,1
4179.46,0,8,4.46,60,1764827211570.792,edge1,1
3263.72,0,7,4.41,60,1764827212570.67,edge1,1
2833.91,0,6,4.41,60,1764827213570.667,edge1,1
3123.09,0,8,4.41,60,1764827214570.965,edge1,1
3669.42,0,7,4.46,61,1764827215571.976,edge1,1
4797.54,0,5,4.46,59,1764827216570.972,edge1,1
4969.29,0,5,4.46,61,1764827217570.986,edge1,1
4966.59,0,6,4.41,60,1764827218570.965,edge1,1
5198.64,0,8,4.41,59,1764827219572.052,edge1,1
4496.59,0,8,4.4,60,1764827220570.74,edge1,1
5096.57,0,9,4.4,60,1764827221570.981,edge1,1
4692.56,0,10,4.4,60,1764827222574.983,edge1,1
4519.27,0,8,4.35,60,1764827223570.955,edge1,1
4669.08,0,7,4.35,59,1764827224572.382,edge1,1
4210.74,0,7,4.35,60,1764827225570.957,edge1,1
4249.58,0,6,4.44,62,1764827226571.388,edge1,1
4479.34,0,7,4.44,59,1764827227570.742,edge1,1
3603.12,0,5,4.36,59,1764827228571.362,edge1,1
3275.09,0,7,4.36,60,1764827229570.884,edge1,1
3365.1,0,7,4.36,60,1764827230570.964,edge1,1
4478.27,0,7,4.35,59,1764827231570.946,edge1,1
7186.36,0,8,4.35,61,1764827232571.212,edge1,1
7932.57,0,8,4.35,59,1764827233571.168,edge1,1
8039.76,0,7,4.31,61,1764827234570.93,edge1,1
7872.16,0,9,4.31,60,1764827235571.135,edge1,1
7466.59,0,6,4.28,60,1764827236570.834,edge1,1
6303.27,0,6,4.28,60,1764827237570.832,edge1,1
4520.28,0,8,4.28,59,1764827238572.429,edge1,1
4878.78,0,7,4.35,59,1764827239573.747,edge1,1
5171.87,0,9,4.35,60,1764827240571.994,edge1,1
5922.87,0,7,4.35,60,1764827241570.531,edge1,1
6509.38,0,6,4.34,59,1764827242571.255,edge1,1
7045.88,0,8,4.34,60,1764827243570.641,edge1,1
6540.02,0,7,4.54,60,1764827244571.314,edge1,1
4987.37,0,8,4.54,59,1764827245570.992,edge1,1
4111.3,0,7,4.54,60,1764827246572.048,edge1,1
3658.55,0,7,4.55,60,1764827247571.249,edge1,1
2380.77,0,7,4.55,60,1764827248570.715,edge1,1
1692.42,0,6,4.55,60,1764827249571.135,edge1,1
2230,0,7,4.71,60,1764827250570.748,edge1,1
2827.17,0,7,4.71,60,1764827251570.685,edge1,1
3021.23,0,8,4.69,59,1764827252570.779,edge1,1
3430.63,0,6,4.69,60,1764827253570.741,edge1,1
3302.32,0,7,4.69,59,1764827254570.713,edge1,1
3953.09,0,6,4.67,60,1764827255570.72,edge1,1
3726.2,0,6,4.67,60,1764827256570.729,edge1,1
3195.7,0,8,4.67,60,1764827257570.773,edge1,1
1856.16,0,7,4.75,60,1764827258570.955,edge1,1
1899.52,0,7,4.75,60,1764827259571.975,edge1,1
1945.79,0,7,4.84,60,1764827260570.875,edge1,1
3396.07,0,9,4.84,60,1764827261570.963,edge1,1
5961.25,0,9,4.84,60,1764827262570.751,edge1,1
7627.97,0,5,4.8,61,1764827263571.219,edge1,1
8511.06,0,5,4.8,60,1764827264570.969,edge1,1
6011.55,0,9,4.8,60,1764827265572.358,edge1,1
4871.98,0,7,4.96,60,1764827266571.521,edge1,1
6077.62,0,6,4.96,60,1764827267570.757,edge1,1
5362.79,0,7,5.04,59,1764827268570.694,edge1,1
6884.39,0,9,5.04,60,1764827269570.827,edge1,1
6989.85,0,7,5.04,61,1764827270570.819,edge1,1
6194.01,0,7,5.1,60,1764827271571.135,edge1,1
6658.42,0,9,5.1,60,1764827272571.731,edge1,1
4888.44,0,7,5.1,60,1764827273570.883,edge1,1
4386.27,0,10,5.16,58,1764827274570.803,edge1,1
4818.69,0,6,5.16,62,1764827275571.208,edge1,1
4379.6,0,8,5.16,60,1764827276570.864,edge1,1
3508.4,0,10,5.16,60,1764827277571.116,edge1,1
3563.06,0,6,5.16,60,1764827278570.991,edge1,1
3647.98,0,8,5.21,60,1764827279571.327,edge1,1
3996.99,0,8,5.21,60,1764827280570.761,edge1,1
3023.45,0,5,5.21,60,1764827281572.792,edge1,1
3596.59,0,6,5.23,60,1764827282573.996,edge1,1
2815.04,0,7,5.23,60,1764827283570.979,edge1,1
3369.22,0,9,5.19,60,1764827284571.438,edge1,1
3546.34,0,6,5.19,60,1764827285572.466,edge1,1
4039.93,0,5,5.19,60,1764827286570.577,edge1,1
5461.37,0,8,5.15,60,1764827287570.782,edge1,1
4646.27,0,7,5.15,60,1764827288570.575,edge1,1
5479.63,0,8,5.11,60,1764827289570.995,edge1,1
6487.21,0,8,5.11,59,1764827290574.02,edge1,1
5334.43,0,9,5.11,60,1764827291571.491,edge1,1
5257.61,0,6,5.18,60,1764827292571.749,edge1,1
2692.45,0,6,5.18,60,1764827293573.112,edge1,1
2498.39,0,6,5.18,60,1764827294571.495,edge1,1
2369.25,0,6,5.17,60,1764827295571.732,edge1,1
2228.66,0,7,5.17,60,1764827296571.176,edge1,1
2454.03,0,7,5.19,60,1764827297572.346,edge1,1
