bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
121.45,0,16,26.67,27,1764839754644.554,edge3,3
88.85,0,30,27.25,23,1764839755644.99,edge3,3
172.8,0,34,33,20,1764839756645.024,edge3,3
164.49,0,36,33,18,1764839757644.316,edge3,3
126.43,0,44,29.67,15,1764839758644.489,edge3,3
169.55,0,43,29.67,16,1764839759645.214,edge3,3
146.07,0,35,29.67,19,1764839760644.285,edge3,3
110.34,0,39,32.86,17,1764839761645.195,edge3,3
119.92,0,45,32.86,15,1764839762647.317,edge3,3
180.8,0,41,32.86,19,1764839763645.081,edge3,3
248.9,0,35,30,18,1764839764644.394,edge3,3
178.8,0,44,30,18,1764839765644.446,edge3,3
167.31,0,49,30.67,17,1764839766644.652,edge3,3
172.34,0,50,30.67,15,1764839767646.144,edge3,3
259.91,0,40,30.67,19,1764839768644.789,edge3,3
188.07,0,40,28.6,18,1764839769644.587,edge3,3
127.88,0,46,28.6,15,1764839770645.462,edge3,3
118.33,0,45,28.6,16,1764839771645.069,edge3,3
107.89,0,46,27.36,15,1764839772645.475,edge3,3
136.23,0,34,27.36,21,1764839773648.096,edge3,3
132.96,0,42,25.5,19,1764839774646.407,edge3,3
88.19,0,44,25.5,17,1764839775644.716,edge3,3
95.55,0,44,25.5,17,1764839776645.158,edge3,3
83.57,0,41,24.38,18,1764839777646.073,edge3,3
94.81,0,33,24.38,17,1764839778644.718,edge3,3
98.99,0,34,24.38,18,1764839779644.336,edge3,3
967.59,0,59,26.43,17,1764839780644.31,edge3,3
2510.12,0,70,26.43,11,1764839781649.355,edge3,3
2147.23,0,75,25.47,8,1764839782649.355,edge3,3
2250.49,0,81,25.47,9,1764839783644.256,edge3,3
1736.02,0,93,25.47,6,1764839784649.238,edge3,3
2505.72,0,84,26.56,9,1764839785646.527,edge3,3
2568.69,0,84,26.56,9,1764839786644.365,edge3,3
2556.98,0,85,25.12,8,1764839787645.135,edge3,3
2891.46,0,96,25.12,6,1764839788644.686,edge3,3
2817.11,0,104,25.12,6,1764839789648.072,edge3,3
1859.2,0,84,25.22,11,1764839790644.402,edge3,3
303.98,0,82,25.22,10,1764839791644.541,edge3,3
174.33,0,81,25.22,10,1764839792645.184,edge3,3
172.34,0,64,27.58,15,1764839793646.001,edge3,3
124.45,0,69,27.58,11,1764839794645.098,edge3,3
100.04,0,76,27.05,10,1764839795645.019,edge3,3
146.13,0,69,27.05,14,1764839796644.795,edge3,3
88.95,0,71,27.05,7,1764839797644.725,edge3,3
99.59,0,72,25.9,15,1764839798644.479,edge3,3
118.87,0,63,25.9,13,1764839799644.405,edge3,3
252.56,0,28,25.9,21,1764839800646.348,edge3,3
350.55,0,21,24.95,17,1764839801644.377,edge3,3
141.28,0,49,24.95,18,1764839802646.372,edge3,3
152.86,0,56,25.96,17,1764839803646.256,edge3,3
679.65,0,44,25.96,17,1764839804649.933,edge3,3
1832.16,0,63,25.96,18,1764839805646.881,edge3,3
3212.79,0,73,25.38,9,1764839806644.425,edge3,3
1564.44,0,89,25.38,6,1764839807644.824,edge3,3
2290.16,0,98,25.38,7,1764839808650.97,edge3,3
2340.25,0,90,25.6,8,1764839809645.558,edge3,3
1735.44,0,102,25.6,7,1764839810645.494,edge3,3
2138.76,0,65,25.04,15,1764839811646.721,edge3,3
1898.7,0,53,25.04,18,1764839812644.846,edge3,3
775.01,0,64,25.04,10,1764839813645.742,edge3,3
1305.88,0,61,24.93,14,1764839814645.018,edge3,3
724.91,0,70,24.93,10,1764839815646.998,edge3,3
674.09,0,75,24.93,10,1764839816646.513,edge3,3
387.91,0,91,26.71,7,1764839817644.806,edge3,3
636.07,0,83,26.71,10,1764839818644.815,edge3,3
932.38,0,67,26.07,14,1764839819651.019,edge3,3
761.82,0,71,26.07,9,1764839820650.457,edge3,3
892.89,0,63,26.07,11,1764839821644.923,edge3,3
687.09,0,66,27.1,12,1764839822644.992,edge3,3
643.5,0,68,27.1,10,1764839823645.057,edge3,3
1333.05,0,44,27.1,20,1764839824649.227,edge3,3
656.63,0,65,26.74,10,1764839825644.322,edge3,3
657.66,0,73,26.74,10,1764839826644.445,edge3,3
619.48,0,82,27.34,9,1764839827644.667,edge3,3
1235.24,0,71,27.34,12,1764839828644.398,edge3,3
1414,0,61,27.34,17,1764839829645.517,edge3,3
1084.32,0,51,26.97,15,1764839830645.298,edge3,3
982.66,0,59,26.97,13,1764839831644.774,edge3,4
969.09,0,61,26.97,13,1764839832644.678,edge3,4
871.31,0,67,26.24,12,1764839833644.59,edge3,4
1662.95,0,43,26.24,15,1764839834644.389,edge3,4
1335.2,0,45,27.54,8,1764839835648.306,edge3,4
850.55,0,64,27.54,11,1764839836644.435,edge3,4
534.75,0,80,27.54,10,1764839837645.286,edge3,4
592.96,0,111,27.31,14,1764839838645.023,edge3,4
552.06,0,117,27.31,8,1764839839645.228,edge3,4
296.68,0,152,27.31,3,1764839840644.78,edge3,4
