bitrate,packetlost,jitter,rtt,framespersecond,timestamp,server,size
307.59,0,9,11.33,62,1761467856061.92,edge1,1
442.05,0,7,9.5,59,1761467857063.432,edge1,1
538.91,0,8,13.8,59,1761467858062.096,edge1,1
703.62,0,11,13.8,60,1761467859062.052,edge1,1
642.77,0,6,13.8,61,1761467860063.984,edge1,1
563.04,0,7,12,59,1761467861062.024,edge1,1
537.58,0,5,12,61,1761467862061.9,edge1,1
491.62,0,11,10.86,59,1761467863062.32,edge1,1
15018.82,0,9,10.86,59,1761467864063.03,edge1,1
9634.66,0,7,10.86,60,1761467865063.773,edge1,1
703.44,0,6,10,59,1761467866061.933,edge1,1
734.96,0,8,10,60,1761467867062.633,edge1,1
2211.03,0,10,10,60,1761467868062.03,edge1,1
12583.44,0,8,10.22,60,1761467869062.441,edge1,1
4705.91,0,7,10.22,61,1761467870061.972,edge1,1
4436.57,0,7,9.8,60,1761467871061.991,edge1,1
4123.02,0,9,9.8,59,1761467872062.47,edge1,1
4771.47,0,7,9.8,60,1761467873068.991,edge1,1
4214.47,0,6,9.27,60,1761467874062.479,edge1,1
5063.55,0,6,9.27,61,1761467875062.78,edge1,1
5092.7,0,7,9.27,60,1761467876061.84,edge1,1
5759.31,0,10,9.17,59,1761467877064.314,edge1,1
7282.14,0,7,9.17,61,1761467878063.641,edge1,1
6911.27,0,7,8.77,60,1761467879061.972,edge1,1
6348.18,0,7,8.77,60,1761467880062.002,edge1,1
5976.76,0,6,8.77,60,1761467881066.539,edge1,1
5785.1,0,6,8.93,60,1761467882063.28,edge1,1
5687.17,0,8,8.93,60,1761467883061.908,edge1,1
5523.81,0,7,8.93,60,1761467884063.298,edge1,1
5853.3,0,6,8.8,60,1761467885062.579,edge1,1
5665.3,0,8,8.8,60,1761467886062.165,edge1,1
5837.44,0,8,8.56,59,1761467887062.641,edge1,1
5618.85,0,6,8.56,59,1761467888064.275,edge1,1
5510.38,0,7,8.56,60,1761467889062.73,edge1,1
5774.66,0,8,8.24,60,1761467890062.679,edge1,1
5869.18,0,8,8.24,59,1761467891062.257,edge1,1
5648.61,0,8,8.24,60,1761467892062.277,edge1,1
5914.84,0,7,8.44,59,1761467893062.023,edge1,1
6535.1,0,8,8.44,61,1761467894062.216,edge1,1
6362.58,0,6,8.42,60,1761467895062.347,edge1,1
6001.97,0,6,8.42,60,1761467896062.315,edge1,1
5824.27,0,8,8.42,60,1761467897062.288,edge1,1
5665.53,0,7,8.3,60,1761467898062.132,edge1,1
5224.13,0,8,8.3,60,1761467899064.91,edge1,1
4810.38,0,7,8.3,60,1761467900062.434,edge1,1
4354.59,0,8,8.95,60,1761467901063.662,edge1,1
2835.5,0,5,8.95,60,1761467902061.951,edge1,1
2660.72,0,8,8.86,59,1761467903064.992,edge1,1
3252.74,0,7,8.86,60,1761467904063.727,edge1,1
3129.02,0,8,8.86,60,1761467905061.939,edge1,1
3133,0,7,9.17,60,1761467906062.934,edge1,1
3489.82,0,10,9.17,59,1761467907063.887,edge1,1
3720.26,0,8,8.96,60,1761467908062.408,edge1,1
3957.28,0,7,8.96,60,1761467909064.466,edge1,1
4368.26,0,8,8.96,60,1761467910064.462,edge1,1
5087.14,0,7,9.2,61,1761467911064.484,edge1,1
4500.29,0,7,9.2,59,1761467912063.771,edge1,1
4586.36,0,6,9.2,60,1761467913063.333,edge1,1
4709.9,0,6,9.04,60,1761467914066.488,edge1,1
4123.93,0,8,9.04,59,1761467915062.118,edge1,1
3345.34,0,9,9,60,1761467916062.537,edge1,1
2962.03,0,6,9,60,1761467917062.777,edge1,1
2952.89,0,6,9,60,1761467918062.027,edge1,1
3736.71,0,7,8.96,61,1761467919064.07,edge1,1
4620,0,7,8.96,59,1761467920062.057,edge1,1
5028.71,9,9,8.96,59,1761467921063.743,edge1,1
4798.89,0,7,9,62,1761467922064.294,edge1,1
5205.31,0,6,9,60,1761467923062.891,edge1,1
4584.46,0,7,9,60,1761467924062.462,edge1,1
4908.12,0,8,9,59,1761467925063.966,edge1,1
4865.18,6,9,9,61,1761467926061.971,edge1,1
4586.84,0,6,8.81,60,1761467927062.134,edge1,1
4809.63,7,5,8.81,60,1761467928062.12,edge1,1
4682.88,0,7,8.81,59,1761467929063.074,edge1,1
4514.78,0,8,8.97,61,1761467930063.536,edge1,1
4701.7,0,6,8.97,60,1761467931062.843,edge1,1
4088.77,0,11,8.94,59,1761467932080.86,edge1,1
3547.97,0,8,8.94,60,1761467933062.687,edge1,1
3635.71,0,8,8.94,60,1761467934076.519,edge1,1
4895.55,0,7,8.97,60,1761467935062.689,edge1,1
7058.46,0,7,8.97,61,1761467936070.031,edge1,1
7897.97,0,5,8.97,60,1761467937063.694,edge1,1
7929.47,0,7,8.83,60,1761467938065.485,edge1,1
7856.63,0,6,8.83,60,1761467939061.91,edge1,1
7522.84,0,6,8.75,60,1761467940063.817,edge1,1
6274.65,0,7,8.75,60,1761467941063.028,edge1,1
4464.83,0,6,8.75,60,1761467942062.292,edge1,1
4797.09,0,7,8.86,60,1761467943062.993,edge1,1
5176.05,0,7,8.86,60,1761467944062.237,edge1,1
6015.16,0,8,8.86,60,1761467945063.408,edge1,1
6405.62,0,7,8.87,60,1761467946063.637,edge1,1
7142.69,0,8,8.87,60,1761467947062.155,edge1,1
6460.89,0,6,9.03,60,1761467948062.052,edge1,1
4996.19,0,8,9.03,60,1761467949063.424,edge1,1
4126.94,0,7,9.03,59,1761467950061.931,edge1,1
3704.39,0,8,8.92,61,1761467951065.504,edge1,1
2396.41,0,8,8.92,60,1761467952063.001,edge1,1
1766.24,0,9,8.92,60,1761467953063.299,edge1,1
2142.3,0,8,9.05,60,1761467954062.245,edge1,1
2914.56,0,9,9.05,60,1761467955063.292,edge1,1
2871.89,0,6,8.95,59,1761467956062.658,edge1,1
3540.46,0,6,8.95,61,1761467957061.815,edge1,1
3382.96,0,7,8.95,60,1761467958067.051,edge1,1
4137.04,0,7,8.86,60,1761467959062.52,edge1,1
3796.27,0,9,8.86,60,1761467960062.069,edge1,1
3110.82,0,8,8.86,60,1761467961062.051,edge1,1
1846.42,0,4,8.84,60,1761467962061.892,edge1,1
1927.86,0,5,8.84,60,1761467963062.301,edge1,1
1921.84,0,8,8.76,60,1761467964063.131,edge1,1
3204.53,0,8,8.76,59,1761467965063.404,edge1,1
5922.38,0,10,8.76,61,1761467966064.498,edge1,1
7495.2,0,10,8.87,59,1761467967063.033,edge1,1
8531.05,0,8,8.87,60,1761467968065.363,edge1,1
6094.52,0,6,8.87,61,1761467969062.016,edge1,1
5093.88,0,5,8.87,60,1761467970062.083,edge1,1
5629.42,0,9,8.87,59,1761467971061.924,edge1,1
5701.27,0,7,8.9,61,1761467972062.559,edge1,1
6640.95,0,8,8.9,60,1761467973062.355,edge1,1
7025.67,0,7,8.9,60,1761467974062.557,edge1,1
6331.05,0,7,8.86,60,1761467975061.851,edge1,1
6256.28,0,8,8.86,60,1761467976062.042,edge1,1
5019.08,0,7,8.86,60,1761467977064.624,edge1,1
4503.09,0,9,8.94,60,1761467978062.111,edge1,1
4487.8,0,6,8.94,60,1761467979063.857,edge1,1
4506.95,0,7,9,60,1761467980063.533,edge1,1
3515.98,0,7,9,60,1761467981061.898,edge1,1
3542.33,0,8,9,60,1761467982064.509,edge1,1
3521.66,0,7,9.02,60,1761467983061.928,edge1,1
3596.23,0,5,9.02,61,1761467984062.118,edge1,1
3448.04,0,6,8.98,60,1761467985067.093,edge1,1
3647.72,0,7,8.98,60,1761467986061.823,edge1,1
2857.48,0,7,8.98,60,1761467987061.885,edge1,1
3368.2,0,9,8.87,60,1761467988061.832,edge1,1
3442.29,0,6,8.87,60,1761467989063.957,edge1,1
3799.07,0,7,8.87,60,1761467990061.812,edge1,1
5625.26,0,6,8.76,60,1761467991062.353,edge1,1
4755.27,0,7,8.76,59,1761467992061.905,edge1,1
5552.12,0,7,8.86,61,1761467993063.893,edge1,1
6243.35,0,8,8.86,60,1761467994065.283,edge1,1
5533.84,0,6,8.86,60,1761467995065.839,edge1,1
5240.09,0,4,8.79,60,1761467996061.947,edge1,1
2706.05,0,8,8.79,59,1761467997062.968,edge1,1
2513.03,0,7,8.79,60,1761467998061.756,edge1,1
2435.48,0,7,8.71,60,1761467999065.07,edge1,1
2273.05,0,8,8.71,60,1761468000062.525,edge1,1
2522.54,0,6,8.73,59,1761468001061.897,edge1,1
3012.32,0,7,8.73,60,1761468002065.311,edge1,1
3580.58,0,6,8.73,60,1761468003062.439,edge1,1
3343.73,0,6,8.73,60,1761468004061.77,edge1,1
1985.8,0,6,8.73,60,1761468005061.957,edge1,1
1936.91,0,6,8.73,59,1761468006062.427,edge1,1
2318.37,0,8,8.69,60,1761468007062.857,edge1,1
1906.08,0,6,8.69,60,1761468008064.782,edge1,1
1856.34,0,9,8.77,60,1761468009063.014,edge1,1
1795.63,0,7,8.77,61,1761468010062.337,edge1,1
1581.64,0,6,8.77,60,1761468011061.95,edge1,1
1981.09,0,8,8.7,59,1761468012062.893,edge1,1
1470.03,0,7,8.7,59,1761468013063.527,edge1,1
1849.66,0,6,8.7,60,1761468014062.011,edge1,1
3047.84,0,7,8.69,60,1761468015062.953,edge1,1
4182.98,0,6,8.69,61,1761468016061.939,edge1,1
2822.22,0,7,8.63,60,1761468017063.573,edge1,1
2623.18,0,6,8.63,60,1761468018061.968,edge1,1
2437.48,0,5,8.63,60,1761468019061.852,edge1,1
3099.94,0,8,8.61,60,1761468020064.125,edge1,1
3849.41,0,6,8.61,60,1761468021062.1,edge1,1
3998.09,0,6,8.61,60,1761468022062.122,edge1,1
4525.18,0,6,8.61,60,1761468023062.513,edge1,1
6355.86,0,5,8.61,60,1761468024062.171,edge1,1
6328.78,0,7,8.65,60,1761468025062.307,edge1,1
5422.05,0,8,8.65,60,1761468026062.715,edge1,1
3904.36,0,5,8.65,60,1761468027062.595,edge1,1
5349.06,0,6,8.8,60,1761468028062.14,edge1,1
5668.54,0,9,8.8,60,1761468029061.94,edge1,1
8956.93,0,8,8.8,60,1761468030062.56,edge1,1
7344.52,0,5,8.79,60,1761468031061.948,edge1,1
7247.63,0,6,8.79,60,1761468032062.36,edge1,1
6777.85,0,5,8.8,60,1761468033062.374,edge1,1
6432.38,0,6,8.8,60,1761468034061.906,edge1,1
6045.15,0,9,8.8,60,1761468035061.854,edge1,1
6731.77,0,5,8.81,60,1761468036063.091,edge1,1
8674.16,0,7,8.81,60,1761468037063.342,edge1,1
10362.83,0,8,8.81,58,1761468038062.983,edge1,1
8260.07,0,7,8.78,60,1761468039061.972,edge1,1
6690.49,0,8,8.78,60,1761468040062.34,edge1,1
4362.08,0,8,8.74,60,1761468041063.927,edge1,1
4690.62,0,8,8.74,60,1761468042064.957,edge1,1
4203.19,0,7,8.74,60,1761468043062.717,edge1,1
3948.89,0,7,8.71,60,1761468044061.9,edge1,1
4463.97,0,6,8.71,60,1761468045061.963,edge1,1
3736.14,0,7,8.71,60,1761468046062.1,edge1,1
3165.49,0,7,8.74,60,1761468047062.16,edge1,1
2454.8,0,6,8.74,60,1761468048062.033,edge1,1
2119.56,0,6,8.78,60,1761468049062.569,edge1,1
2166.48,0,7,8.78,60,1761468050066.742,edge1,1
1760.91,0,10,8.78,59,1761468051063.715,edge1,1
1287.4,0,8,8.77,60,1761468052062.071,edge1,1
1270.84,0,11,8.77,61,1761468053062.695,edge1,1
1316.29,0,9,8.77,60,1761468054062.314,edge1,1
1307.23,0,7,8.78,60,1761468055062.374,edge1,1
1157.02,0,8,8.78,60,1761468056062.109,edge1,1
1443.94,0,7,8.74,60,1761468057061.988,edge1,1
1317,0,6,8.74,60,1761468058062.421,edge1,1
2071.63,0,7,8.74,60,1761468059064.18,edge1,1
2964.51,0,9,8.78,59,1761468060064.338,edge1,1
3272.06,0,5,8.78,61,1761468061063.323,edge1,1
2447.72,0,8,8.78,59,1761468062062.3,edge1,1
2061.24,0,9,8.77,61,1761468063062.359,edge1,1
1592.73,0,6,8.77,60,1761468064062.516,edge1,1
1405.16,0,6,8.72,60,1761468065062.693,edge1,1
2062.24,0,8,8.72,60,1761468066062.144,edge1,1
2344.68,0,6,8.72,60,1761468067063.251,edge1,1
1753.97,0,8,8.85,60,1761468068066.619,edge1,1
1790.67,0,9,8.85,59,1761468069062.632,edge1,1
2384.08,0,7,8.85,61,1761468070064.968,edge1,1
3564.56,0,8,8.89,59,1761468071064.001,edge1,1
3939.65,0,8,8.89,61,1761468072062.974,edge1,1
3864.38,0,7,8.9,59,1761468073063.076,edge1,1
5058.65,0,6,8.9,61,1761468074062.004,edge1,1
5927.72,0,8,8.9,59,1761468075063.98,edge1,1
6926.09,0,8,8.83,60,1761468076061.97,edge1,1
7646.31,0,6,8.83,61,1761468077062.04,edge1,1
6061.8,0,10,8.9,59,1761468078062.818,edge1,1
4746.03,0,8,8.9,61,1761468079062.701,edge1,1
4491.96,0,8,8.9,60,1761468080062.013,edge1,1
4323.16,0,8,8.85,59,1761468081062.101,edge1,1
5044.89,0,7,8.85,61,1761468082063.587,edge1,1
5825.77,0,7,8.85,60,1761468083062.816,edge1,1
3947.05,0,6,8.8,60,1761468084062.153,edge1,1
4703.93,0,8,8.8,60,1761468085062.039,edge1,1
5358.48,0,5,8.77,60,1761468086062.05,edge1,1
4990.63,0,6,8.77,60,1761468087062.236,edge1,1
4470.44,0,7,8.77,60,1761468088061.838,edge1,1
3840.16,0,7,8.8,60,1761468089061.924,edge1,1
3812.14,0,7,8.8,60,1761468090062.605,edge1,1
3893.01,0,5,8.8,60,1761468091062.002,edge1,1
3952.23,0,5,8.77,60,1761468092062.295,edge1,1
3701.94,0,6,8.77,60,1761468093062.458,edge1,1
4241.38,0,7,8.76,60,1761468094062.607,edge1,1
4658.73,0,7,8.76,60,1761468095062.016,edge1,1
4751.8,0,5,8.76,60,1761468096061.92,edge1,1
4481.73,0,8,8.72,60,1761468097063.187,edge1,1
3683.36,0,8,8.72,60,1761468098062.065,edge1,1
3907.52,0,5,8.72,60,1761468099062.289,edge1,1
